player_name,player_id,draft_year,draft_team
Chad Pennington,PennCh01,2000,NYJ
Michael Vick,VickMi00,2001,ATL
David Carr,CarrDa00,2002,HOU
Joey Harrington,HarrJo00,2002,DET
Patrick Ramsey,RamsPa00,2002,WAS
Carson Palmer,PalmCa00,2003,CIN
Byron Leftwich,LeftBy00,2003,JAX
Kyle Boller,BollKy00,2003,BAL
Rex Grossman,GrosRe00,2003,CHI
Eli Manning,MannEl00,2004,SDG
Philip Rivers,RivePh00,2004,NYG
Ben Roethlisberger,RoetBe00,2004,PIT
J.P. Losman,LosmJ.00,2004,BUF
Alex Smith,SmitAl02,2005,SFO
Aaron Rodgers,RodgAa00,2005,GNB
Jason Campbell,CampJa00,2005,WAS
Vince Young,YounVi00,2006,TEN
Matt Leinart,LeinMa00,2006,ARI
Jay Cutler,CutlJa00,2006,DEN
JaMarcus Russell,RussJa00,2007,OAK
Brady Quinn,QuinBr00,2007,CLE
Matt Ryan,RyanMa00,2008,ATL
Joe Flacco,FlacJo00,2008,BAL
Matthew Stafford,StafMa00,2009,DET
Mark Sanchez,SancMa00,2009,NYJ
Josh Freeman,FreeJo00,2009,TAM
Sam Bradford,BradSa00,2010,STL
Tim Tebow,TeboTi00,2010,DEN
Cam Newton,NewtCa00,2011,CAR
Jake Locker,LockJa00,2011,TEN
Blaine Gabbert,GabbBl00,2011,JAX
Christian Ponder,PondCh00,2011,MIN
Andrew Luck,LuckAn00,2012,IND
Robert Griffin III,GrifRo01,2012,WAS
Ryan Tannehill,TannRy00,2012,MIA
Brandon Weeden,WeedBr00,2012,CLE
EJ Manuel,ManuEJ00,2013,BUF
Blake Bortles,BortBl00,2014,JAX
Johnny Manziel,ManzJo00,2014,CLE
Teddy Bridgewater,BridTe00,2014,MIN
Jameis Winston,WinsJa00,2015,TAM
Marcus Mariota,MariMa01,2015,TEN
Jared Goff,GoffJa00,2016,LAR
Carson Wentz,WentCa00,2016,PHI
Paxton Lynch,LyncPa00,2016,DEN
Mitchell Trubisky,TrubMi00,2017,CHI
Patrick Mahomes,MahoPa00,2017,KAN
Deshaun Watson,WatsDe00,2017,HOU
Baker Mayfield,MayfBa00,2018,CLE
Sam Darnold,DarnSa00,2018,NYJ
Josh Allen,AlleJo02,2018,BUF
Josh Rosen,RoseJo01,2018,ARI
Lamar Jackson,JackLa00,2018,BAL
Kyler Murray,MurrKy00,2019,ARI
Daniel Jones,JoneDa05,2019,NYG
Dwayne Haskins,HaskDw00,2019,WAS
Joe Burrow,BurrJo01,2020,CIN
Tua Tagovailoa,TagoTu00,2020,MIA
Justin Herbert,HerbJu00,2020,LAC
Jordan Love,LoveJo03,2020,GNB
Trevor Lawrence,LawrTr00,2021,JAX
Zach Wilson,WilsZa00,2021,NYJ
Trey Lance,LancTr00,2021,SFO
Justin Fields,FielJu00,2021,CHI
Mac Jones,JoneMa05,2021,NWE
Kenny Pickett,PickKe00,2022,PIT
Bryce Young,YounBr01,2023,CAR
C.J. Stroud,StroCJ00,2023,HOU
Anthony Richardson,RichAn03,2023,IND
Caleb Williams,WillCa03,2024,CHI
Jayden Daniels,DaniJa02,2024,WAS
Drake Maye,MayeDr00,2024,NWE
Michael Penix,PeniMi00,2024,ATL
Bo Nix,NixxBo00,2024,DEN
