year,Pass_ANY/A_adj,payment_probability,decision_year,k_value,metric_name
0.0,-2.033851220687895,25.0,3,20,Pass_ANY/A_adj
0.0,-1.8519429897166935,25.0,3,20,Pass_ANY/A_adj
0.0,-1.670034758745492,25.0,3,20,Pass_ANY/A_adj
0.0,-1.4881265277742908,25.0,3,20,Pass_ANY/A_adj
0.0,-1.3062182968030893,25.0,3,20,Pass_ANY/A_adj
0.0,-1.1243100658318879,25.0,3,20,Pass_ANY/A_adj
0.0,-0.9424018348606866,25.0,3,20,Pass_ANY/A_adj
0.0,-0.7604936038894852,25.0,3,20,Pass_ANY/A_adj
0.0,-0.5785853729182837,25.0,3,20,Pass_ANY/A_adj
0.0,-0.39667714194708226,25.0,3,20,Pass_ANY/A_adj
0.0,-0.2147689109758808,25.0,3,20,Pass_ANY/A_adj
0.0,-0.032860680004679566,25.0,3,20,Pass_ANY/A_adj
0.0,0.14904755096652167,25.0,3,20,Pass_ANY/A_adj
0.0,0.33095578193772335,25.0,3,20,Pass_ANY/A_adj
0.0,0.5128640129089246,25.0,3,20,Pass_ANY/A_adj
0.0,0.6947722438801263,25.0,3,20,Pass_ANY/A_adj
0.0,0.8766804748513275,25.0,3,20,Pass_ANY/A_adj
0.0,1.0585887058225287,25.0,3,20,Pass_ANY/A_adj
0.0,1.2404969367937304,25.0,3,20,Pass_ANY/A_adj
0.0,1.4224051677649316,25.0,3,20,Pass_ANY/A_adj
0.0,1.6043133987361333,25.0,3,20,Pass_ANY/A_adj
0.0,1.7862216297073346,25.0,3,20,Pass_ANY/A_adj
0.0,1.9681298606785358,25.0,3,20,Pass_ANY/A_adj
0.0,2.150038091649737,25.0,3,20,Pass_ANY/A_adj
0.0,2.3319463226209383,25.0,3,20,Pass_ANY/A_adj
0.0,2.5138545535921404,20.0,3,20,Pass_ANY/A_adj
0.0,2.6957627845633416,20.0,3,20,Pass_ANY/A_adj
0.0,2.877671015534543,20.0,3,20,Pass_ANY/A_adj
0.0,3.059579246505744,20.0,3,20,Pass_ANY/A_adj
0.0,3.2414874774769453,20.0,3,20,Pass_ANY/A_adj
0.0,3.4233957084481474,20.0,3,20,Pass_ANY/A_adj
0.0,3.6053039394193487,20.0,3,20,Pass_ANY/A_adj
0.0,3.78721217039055,20.0,3,20,Pass_ANY/A_adj
0.0,3.969120401361751,20.0,3,20,Pass_ANY/A_adj
0.0,4.151028632332952,20.0,3,20,Pass_ANY/A_adj
