year,total_yards_adj,payment_probability,decision_year,k_value,metric_name
0.0,26.62011043626799,40.0,3,5,total_yards_adj
0.0,86.97704276992013,40.0,3,5,total_yards_adj
0.0,147.33397510357227,40.0,3,5,total_yards_adj
0.0,207.69090743722444,60.0,3,5,total_yards_adj
0.0,268.0478397708766,40.0,3,5,total_yards_adj
0.0,328.4047721045287,20.0,3,5,total_yards_adj
0.0,388.76170443818086,20.0,3,5,total_yards_adj
0.0,449.118636771833,20.0,3,5,total_yards_adj
0.0,509.47556910548514,20.0,3,5,total_yards_adj
0.0,569.8325014391373,20.0,3,5,total_yards_adj
0.0,630.1894337727895,0.0,3,5,total_yards_adj
0.0,690.5463661064416,0.0,3,5,total_yards_adj
0.0,750.9032984400937,0.0,3,5,total_yards_adj
0.0,811.2602307737459,0.0,3,5,total_yards_adj
0.0,871.617163107398,0.0,3,5,total_yards_adj
0.0,931.9740954410502,20.0,3,5,total_yards_adj
0.0,992.3310277747023,20.0,3,5,total_yards_adj
0.0,1052.6879601083547,20.0,3,5,total_yards_adj
0.0,1113.0448924420068,20.0,3,5,total_yards_adj
0.0,1173.401824775659,20.0,3,5,total_yards_adj
0.0,1233.758757109311,20.0,3,5,total_yards_adj
0.0,1294.1156894429632,20.0,3,5,total_yards_adj
0.0,1354.4726217766154,20.0,3,5,total_yards_adj
0.0,1414.8295541102675,20.0,3,5,total_yards_adj
0.0,1475.1864864439196,20.0,3,5,total_yards_adj
0.0,1535.5434187775718,40.0,3,5,total_yards_adj
0.0,1595.900351111224,40.0,3,5,total_yards_adj
0.0,1656.257283444876,40.0,3,5,total_yards_adj
0.0,1716.6142157785282,60.0,3,5,total_yards_adj
0.0,1776.9711481121803,60.0,3,5,total_yards_adj
0.0,1837.3280804458325,60.0,3,5,total_yards_adj
0.0,1897.6850127794846,60.0,3,5,total_yards_adj
0.0,1958.0419451131368,60.0,3,5,total_yards_adj
0.0,2018.398877446789,60.0,3,5,total_yards_adj
0.0,2078.7558097804413,40.0,3,5,total_yards_adj
0.0,2139.112742114093,40.0,3,5,total_yards_adj
0.0,2199.4696744477455,20.0,3,5,total_yards_adj
0.0,2259.8266067813975,0.0,3,5,total_yards_adj
0.0,2320.18353911505,20.0,3,5,total_yards_adj
0.0,2380.5404714487017,20.0,3,5,total_yards_adj
0.0,2440.897403782354,20.0,3,5,total_yards_adj
0.0,2501.254336116006,20.0,3,5,total_yards_adj
0.0,2561.6112684496584,40.0,3,5,total_yards_adj
0.0,2621.9682007833103,40.0,3,5,total_yards_adj
0.0,2682.3251331169627,40.0,3,5,total_yards_adj
0.0,2742.6820654506146,60.0,3,5,total_yards_adj
0.0,2803.038997784267,60.0,3,5,total_yards_adj
