season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 31_level_0_Fmb,Rush_Unnamed: 32_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2009,21,TAM,NFL,QB,10.0,9.0,3-6-0,158.0,290.0,54.5,1855.0,10.0,3.4,18.0,6.2,90.0,41.0,42.0,6.4,4.29,11.7,185.5,59.8,37.0,20.0,102.0,6.45,5.65,3.69,2.0,2.0,2.0,,21,TAM,NFL,QB,10.0,9.0,30.0,161.0,0.0,11.0,56.7,20.0,5.4,16.1,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,30.0,5.4,162.0,0.0,10.0,,Josh Freeman,FreeJo00,2009,TAM,2016.0
2010,22,TAM,NFL,QB,16.0,16.0,10-6-0,291.0,474.0,61.4,3451.0,25.0,5.3,6.0,1.3,167.0,44.4,64.0,7.3,7.77,11.9,215.7,95.9,69.5,28.0,195.0,5.58,6.49,6.94,5.0,5.0,13.0,,22,TAM,NFL,QB,16.0,16.0,68.0,364.0,0.0,30.0,57.4,33.0,5.4,22.8,4.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,68.0,5.4,364.0,0.0,8.0,,Josh Freeman,FreeJo00,2009,TAM,3815.0
2011,23,TAM,NFL,QB,15.0,15.0,4-11-0,346.0,551.0,62.8,3592.0,16.0,2.9,22.0,4.0,170.0,45.3,65.0,6.5,5.3,10.4,239.5,74.6,46.1,29.0,164.0,5.0,5.91,4.76,1.0,2.0,8.0,,23,TAM,NFL,QB,15.0,15.0,55.0,238.0,4.0,25.0,54.5,25.0,4.3,15.9,3.7,1.0,0.0,-4.0,0.0,0.0,0.0,-4.0,0.0,-0.3,0.0,-4.0,55.0,4.3,234.0,4.0,9.0,,Josh Freeman,FreeJo00,2009,TAM,3830.0
2012,24,TAM,NFL,QB,16.0,16.0,7-9-0,306.0,558.0,54.8,4065.0,27.0,4.8,17.0,3.0,186.0,41.4,95.0,7.3,6.88,13.3,254.1,81.6,49.4,26.0,161.0,4.45,6.68,6.3,1.0,1.0,13.0,,24,TAM,NFL,QB,16.0,16.0,39.0,139.0,0.0,16.0,46.2,13.0,3.6,8.7,2.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,39.0,3.6,139.0,0.0,10.0,,Josh Freeman,FreeJo00,2009,TAM,4204.0
2013,25,2TM,NFL,QB,4.0,4.0,0-4-0,63.0,147.0,42.9,761.0,2.0,1.4,4.0,2.7,40.0,30.3,39.0,5.2,4.22,12.1,190.3,52.6,,8.0,61.0,5.16,4.52,3.61,0.0,0.0,3.0,,25,2TM,NFL,QB,4.0,4.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,781.0
2013,25,2TM,NFL,QB,4.0,4.0,0-4-0,63.0,147.0,42.9,761.0,2.0,1.4,4.0,2.7,40.0,30.3,39.0,5.2,4.22,12.1,190.3,52.6,,8.0,61.0,5.16,4.52,3.61,0.0,0.0,3.0,,25,TAM,NFL,QB,3.0,3.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,6.7,1.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,781.0
2013,25,TAM,NFL,QB,3.0,3.0,0-3-0,43.0,94.0,45.7,571.0,2.0,2.1,3.0,3.2,30.0,32.7,39.0,6.1,5.06,13.3,190.3,59.3,,7.0,47.0,6.93,5.19,4.25,0.0,0.0,2.0,,25,2TM,NFL,QB,4.0,4.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,591.0
2013,25,TAM,NFL,QB,3.0,3.0,0-3-0,43.0,94.0,45.7,571.0,2.0,2.1,3.0,3.2,30.0,32.7,39.0,6.1,5.06,13.3,190.3,59.3,,7.0,47.0,6.93,5.19,4.25,0.0,0.0,2.0,,25,TAM,NFL,QB,3.0,3.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,6.7,1.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,591.0
2013,25,MIN,NFL,QB,1.0,1.0,0-1-0,20.0,53.0,37.7,190.0,0.0,0.0,1.0,1.9,10.0,25.9,22.0,3.6,2.74,9.5,190.0,40.6,,1.0,14.0,1.85,3.26,2.43,0.0,0.0,1.0,,25,2TM,NFL,QB,4.0,4.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,210.0
2013,25,MIN,NFL,QB,1.0,1.0,0-1-0,20.0,53.0,37.7,190.0,0.0,0.0,1.0,1.9,10.0,25.9,22.0,3.6,2.74,9.5,190.0,40.6,,1.0,14.0,1.85,3.26,2.43,0.0,0.0,1.0,,25,TAM,NFL,QB,3.0,3.0,5.0,20.0,0.0,1.0,40.0,13.0,4.0,6.7,1.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,5.0,4.0,20.0,0.0,2.0,,Josh Freeman,FreeJo00,2009,TAM,210.0
