season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2004,23,NYG,NFL,QB,9,7,1-6-0,95,197,48.2,1043,6,3.0,9,4.6,50,36.2,52,5.3,3.85,11.0,115.9,55.4,,13,83,6.19,4.57,3.21,1,1,-1,,23,NYG,NFL,QB,9,7,6,35,0,2,50.0,15,5.8,3.9,0.7,0,0,0,0,0,0.0,0.0,6,5.8,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,1078
2005,24,NYG,NFL,QB,16,16,11-5-0,294,557,52.8,3762,24,4.3,17,3.1,176,42.4,78,6.8,6.24,12.8,235.1,75.9,,28,184,4.79,6.12,5.63,1,2,15,,24,NYG,NFL,QB,16,16,29,80,1,6,34.5,14,2.8,5.0,1.8,0,0,0,0,0,0.0,0.0,29,2.8,80,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3842
2006,25,NYG,NFL,QB,16,16,8-8-0,301,522,57.7,3244,24,4.6,18,3.4,162,44.4,55,6.2,5.58,10.8,202.8,77.0,48.6,25,186,4.57,5.59,4.99,2,2,12,,25,NYG,NFL,QB,16,16,25,21,0,5,24.0,9,0.8,1.3,1.6,0,0,0,0,0,0.0,0.0,25,0.8,21,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3265
2007,26,NYG,NFL,QB,16,16,10-6-0,297,529,56.1,3336,23,4.3,20,3.8,167,42.8,60,6.3,5.47,11.2,208.5,73.9,52.0,27,217,4.86,5.61,4.82,3,3,10,,26,NYG,NFL,QB,16,16,29,69,1,9,37.9,18,2.4,4.3,1.8,0,0,0,0,0,0.0,0.0,29,2.4,69,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3405
2008,27,NYG,NFL,QB,16,16,12-4-0,289,479,60.3,3238,21,4.4,10,2.1,168,48.0,48,6.8,6.7,11.2,202.4,86.4,66.9,27,174,5.34,6.06,6.0,3,3,12,PB,27,NYG,NFL,QB,16,16,20,10,1,3,25.0,13,0.5,0.6,1.3,0,0,0,0,0,0.0,0.0,20,0.5,10,1,5,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3248
2009,28,NYG,NFL,QB,16,16,8-8-0,317,509,62.3,4021,27,5.3,14,2.8,183,46.4,74,7.9,7.72,12.7,251.3,93.1,71.7,30,216,5.57,7.06,6.89,1,2,13,,28,NYG,NFL,QB,16,16,17,65,0,5,41.2,14,3.8,4.1,1.1,0,0,0,0,0,0.0,0.0,17,3.8,65,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,4086
2010,29,NYG,NFL,QB,16,16,10-6-0,339,539,62.9,4002,31,5.8,25,4.6,169,47.9,92,7.4,6.49,11.8,250.1,85.3,57.7,16,117,2.88,7.0,6.09,1,1,12,,29,NYG,NFL,QB,16,16,32,70,0,4,31.3,16,2.2,4.4,2.0,0,0,0,0,0,0.0,0.0,32,2.2,70,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,4072
2011,30,NYG,NFL,QB,16,16,9-7-0,359,589,61.0,4933,29,4.9,16,2.7,218,48.3,99,8.4,8.14,13.7,308.3,92.9,64.2,28,199,4.54,7.67,7.45,5,6,15,"PB,AP CPoY-6",30,NYG,NFL,QB,16,16,35,15,1,2,8.6,12,0.4,0.9,2.2,0,0,0,0,0,0.0,0.0,35,0.4,15,1,8,"PB,AP CPoY-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,4948
2012,31,NYG,NFL,QB,16,16,9-7-0,321,536,59.9,3948,26,4.9,15,2.8,187,46.7,80,7.4,7.08,12.3,246.8,87.2,67.0,19,136,3.42,6.87,6.59,3,3,16,PB,31,NYG,NFL,QB,16,16,20,30,0,2,20.0,13,1.5,1.9,1.3,0,0,0,0,0,0.0,0.0,20,1.5,30,0,5,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3978
2013,32,NYG,NFL,QB,16,16,7-9-0,317,551,57.5,3818,18,3.3,27,4.9,174,41.9,70,6.9,5.38,12.0,238.6,69.4,38.6,39,281,6.61,5.99,4.55,1,2,7,,32,NYG,NFL,QB,16,16,18,36,0,3,16.7,14,2.0,2.3,1.1,0,0,0,0,0,0.0,0.0,18,2.0,36,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,3854
2014,33,NYG,NFL,QB,16,16,6-10-0,379,601,63.1,4410,30,5.0,14,2.3,219,47.4,80,7.3,7.29,11.6,275.6,92.1,61.0,28,187,4.45,6.71,6.67,1,1,13,,33,NYG,NFL,QB,16,16,12,31,1,4,33.3,18,2.6,1.9,0.8,0,0,0,0,0,0.0,0.0,12,2.6,31,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,4441
2015,34,NYG,NFL,QB,16,16,6-10-0,387,618,62.6,4432,35,5.7,14,2.3,206,46.7,87,7.2,7.28,11.5,277.0,93.6,57.9,27,157,4.19,6.63,6.74,1,2,14,PB,34,NYG,NFL,QB,16,16,20,61,0,5,20.0,18,3.1,3.8,1.3,0,0,0,0,0,0.0,0.0,20,3.1,61,0,11,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Manning,MannEl00,2004,SDG,4493
