season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2015,22,TEN,NFL,QB,12.0,12.0,3-9-0,230.0,370.0,62.2,2818.0,19.0,5.1,10.0,2.7,142.0,44.9,61.0,7.6,7.43,12.3,234.8,91.5,48.4,38.0,258.0,9.31,6.27,6.1,2.0,2.0,9.0,,22,TEN,NFL,QB,12.0,12.0,34.0,252.0,2.0,11.0,44.1,87.0,7.4,21.0,2.8,1.0,1.0,41.0,41.0,1.0,1.0,100.0,41.0,0.1,3.4,100.0,41.0,35.0,8.4,293.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Mariota,MariMa01,2015,TEN,3070.0
2016,23,TEN,NFL,QB,15.0,15.0,8-7-0,276.0,451.0,61.2,3426.0,26.0,5.8,9.0,2.0,157.0,45.1,60.0,7.6,7.85,12.4,228.4,95.6,59.1,23.0,156.0,4.85,6.9,7.14,2.0,2.0,13.0,,23,TEN,NFL,QB,15.0,15.0,60.0,349.0,2.0,22.0,60.0,41.0,5.8,23.3,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,60.0,5.8,349.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Mariota,MariMa01,2015,TEN,3775.0
2017,24,TEN,NFL,QB,15.0,15.0,9-6-0,281.0,453.0,62.0,3232.0,13.0,2.9,15.0,3.3,149.0,45.0,75.0,7.1,6.22,11.5,215.5,79.3,59.0,27.0,173.0,5.63,6.37,5.51,3.0,4.0,12.0,,24,TEN,NFL,QB,15.0,15.0,60.0,312.0,5.0,23.0,55.0,34.0,5.2,20.8,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,60.0,5.2,312.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcus Mariota,MariMa01,2015,TEN,3544.0
2018,25,TEN,NFL,QB,14.0,13.0,7-6-0,228.0,331.0,68.9,2528.0,11.0,3.3,8.0,2.4,121.0,46.4,61.0,7.6,7.21,11.1,180.6,92.3,53.2,42.0,243.0,11.26,6.13,5.75,2.0,3.0,9.0,,25,TEN,NFL,QB,14.0,13.0,64.0,357.0,2.0,26.0,56.3,27.0,5.6,25.5,4.6,1.0,1.0,21.0,21.0,0.0,1.0,100.0,21.0,0.1,1.5,100.0,21.0,65.0,5.8,378.0,2.0,9.0,,25,TEN,NFL,QB,14.0,13.0,228.0,331.0,2525.0,7.6,1271.0,5.6,3.8,1257.0,5.5,0.0,12.0,0.0,15.0,4.7,53.0,16.6,,,2.4,108.0,59.0,14.0,115.0,28.3,33.0,7.6,,,,,,,,,,Marcus Mariota,MariMa01,2015,TEN,2885.0
2019,26,TEN,NFL,QB,7.0,6.0,2-4-0,95.0,160.0,59.4,1203.0,7.0,4.4,2.0,1.3,50.0,34.6,75.0,7.5,7.83,12.7,171.9,92.3,35.5,25.0,162.0,13.51,5.63,5.9,0.0,0.0,5.0,,26,TEN,NFL,QB,7.0,6.0,24.0,129.0,0.0,5.0,50.0,15.0,5.4,18.4,3.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,24.0,5.4,129.0,0.0,3.0,,26,TEN,NFL,QB,7.0,6.0,95.0,160.0,1121.0,7.0,606.0,6.4,3.8,597.0,6.3,2.0,9.0,2.0,10.0,6.7,31.0,20.8,107.0,71.8,2.4,57.0,23.0,12.0,60.0,30.3,13.0,6.7,19.0,165.0,14.0,147.0,5.0,18.0,42.0,473.0,,Marcus Mariota,MariMa01,2015,TEN,1332.0
2020,27,LVR,NFL,QB,1.0,0.0,,17.0,28.0,60.7,226.0,1.0,3.6,1.0,3.6,11.0,46.4,35.0,8.1,7.18,13.3,226.0,83.3,97.4,0.0,0.0,0.0,8.07,7.18,0.0,0.0,1.0,,27,LVR,NFL,QB,1.0,0.0,9.0,88.0,1.0,8.0,100.0,26.0,9.8,88.0,9.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,9.0,9.8,88.0,1.0,0.0,,27,LVR,NFL,QB,1.0,0.0,17.0,28.0,273.0,9.8,150.0,8.8,5.4,76.0,4.5,0.0,1.0,1.0,1.0,3.8,6.0,23.1,19.0,73.1,2.4,4.0,3.0,2.0,5.0,15.6,4.0,4.5,3.0,56.0,0.0,0.0,3.0,56.0,5.0,34.0,,Marcus Mariota,MariMa01,2015,TEN,314.0
2021,28,LVR,NFL,QB,10.0,0.0,,1.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,2.0,2.0,4.0,0.4,56.2,46.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,28,LVR,NFL,QB,10.0,0.0,13.0,87.0,1.0,6.0,76.9,31.0,6.7,8.7,1.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,13.0,6.7,87.0,1.0,1.0,,28,LVR,NFL,QB,10.0,0.0,1.0,2.0,31.0,15.5,-4.0,-4.0,-2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,71.0,0.0,0.0,9.0,71.0,0.0,0.0,,Marcus Mariota,MariMa01,2015,TEN,91.0
2022,29,ATL,NFL,QB,13.0,13.0,5-8-0,184.0,300.0,61.3,2219.0,15.0,5.0,9.0,3.0,111.0,45.1,75.0,7.4,7.05,12.1,170.7,88.2,57.7,28.0,195.0,8.54,6.17,5.85,2.0,3.0,11.0,,29,ATL,NFL,QB,13.0,13.0,85.0,438.0,4.0,30.0,57.6,30.0,5.2,33.7,6.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,85.0,5.2,438.0,4.0,8.0,,29,ATL,NFL,QB,13.0,13.0,184.0,300.0,3109.0,10.4,1319.0,7.2,4.4,900.0,4.9,3.0,7.0,4.0,8.0,2.8,65.0,22.5,204.0,70.6,2.6,101.0,13.0,33.0,74.0,20.9,26.0,7.4,133.0,1044.0,90.0,803.0,37.0,241.0,68.0,564.0,,Marcus Mariota,MariMa01,2015,TEN,2657.0
2023,30,PHI,NFL,QB,3.0,0.0,,15.0,23.0,65.2,164.0,1.0,4.3,1.0,4.3,10.0,53.8,22.0,7.1,6.04,10.9,54.7,82.5,59.9,3.0,11.0,11.54,5.88,4.92,0.0,0.0,1.0,,30,PHI,NFL,QB,3.0,0.0,8.0,52.0,0.0,6.0,87.5,17.0,6.5,17.3,2.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,8.0,6.5,52.0,0.0,1.0,,30,PHI,NFL,QB,3.0,0.0,15.0,23.0,178.0,7.7,92.0,6.1,4.0,72.0,4.8,2.0,0.0,0.0,0.0,0.0,2.0,8.7,18.0,78.3,2.4,9.0,2.0,1.0,6.0,21.4,2.0,8.5,6.0,38.0,6.0,38.0,0.0,0.0,0.0,0.0,,Marcus Mariota,MariMa01,2015,TEN,216.0
2024,31,WAS,NFL,QB,3.0,0.0,,34.0,44.0,77.3,364.0,4.0,9.1,0.0,0.0,22.0,55.3,29.0,8.3,10.09,10.7,121.3,131.2,87.8,3.0,29.0,6.38,7.13,8.83,1.0,1.0,2.0,,31,WAS,NFL,QB,3.0,0.0,18.0,92.0,1.0,6.0,50.0,33.0,5.1,30.7,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,18.0,5.1,92.0,1.0,0.0,,31,WAS,NFL,QB,3.0,0.0,34.0,44.0,408.0,9.3,257.0,7.6,5.8,107.0,3.1,0.0,1.0,1.0,2.0,4.8,3.0,7.1,37.0,88.1,2.5,17.0,5.0,2.0,10.0,19.6,4.0,6.3,15.0,148.0,9.0,82.0,5.0,66.0,7.0,55.0,,Marcus Mariota,MariMa01,2015,TEN,456.0
