season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2018,23,CLE,NFL,QB,14.0,13.0,6-7-0,310.0,486.0,63.8,3725.0,27.0,5.6,14.0,2.9,171.0,46.0,71.0,7.7,7.48,12.0,266.1,93.7,51.2,25.0,173.0,4.89,6.95,6.77,3.0,4.0,10.0,AP ORoY-2,23,CLE,NFL,QB,14.0,13.0,39.0,131.0,0.0,8.0,38.5,35.0,3.4,9.4,2.8,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,39.0,3.4,131.0,0.0,7.0,AP ORoY-2,23,CLE,NFL,QB,14.0,13.0,310.0,486.0,4514.0,9.3,2029.0,6.5,4.2,1696.0,5.5,0.0,13.0,3.0,31.0,6.6,81.0,17.2,,,2.2,169.0,84.0,18.0,127.0,24.1,17.0,8.4,,,,,,,,,AP ORoY-2,Baker Mayfield,MayfBa00,2018,CLE,3856.0
2019,24,CLE,NFL,QB,16.0,16.0,6-10-0,317.0,534.0,59.4,3827.0,22.0,4.1,21.0,3.9,179.0,42.5,89.0,7.2,6.22,12.1,239.2,78.8,54.4,40.0,285.0,6.97,6.17,5.29,1.0,1.0,11.0,,24,CLE,NFL,QB,16.0,16.0,28.0,141.0,3.0,15.0,57.1,18.0,5.0,8.8,1.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,28.0,5.0,141.0,3.0,6.0,,24,CLE,NFL,QB,16.0,16.0,317.0,534.0,4516.0,8.5,2007.0,6.3,3.8,1820.0,5.7,20.0,19.0,2.0,30.0,5.8,93.0,18.1,362.0,70.6,2.3,211.0,65.0,24.0,129.0,21.8,17.0,7.9,60.0,470.0,58.0,471.0,1.0,-1.0,125.0,1128.0,,Baker Mayfield,MayfBa00,2018,CLE,3968.0
2020,25,CLE,NFL,QB,16.0,16.0,11-5-0,305.0,486.0,62.8,3563.0,26.0,5.3,8.0,1.6,188.0,49.4,75.0,7.3,7.66,11.7,222.7,95.9,65.5,26.0,162.0,5.08,6.64,6.96,2.0,2.0,14.0,,25,CLE,NFL,QB,16.0,16.0,54.0,165.0,1.0,18.0,46.3,28.0,3.1,10.3,3.4,1.0,1.0,6.0,6.0,0.0,1.0,100.0,6.0,0.1,0.4,100.0,6.0,55.0,3.1,171.0,1.0,8.0,,25,CLE,NFL,QB,16.0,16.0,305.0,486.0,4124.0,8.5,2203.0,7.2,4.5,1360.0,4.5,8.0,28.0,5.0,21.0,4.6,85.0,18.8,339.0,74.8,2.7,179.0,49.0,26.0,101.0,18.8,25.0,6.1,7.0,63.0,5.0,60.0,2.0,3.0,121.0,1141.0,,Baker Mayfield,MayfBa00,2018,CLE,3728.0
2021,26,CLE,NFL,QB,14.0,14.0,6-8-0,253.0,418.0,60.5,3010.0,17.0,4.1,13.0,3.1,143.0,44.3,71.0,7.2,6.61,11.9,215.0,83.1,40.9,43.0,269.0,9.33,5.95,5.41,0.0,0.0,10.0,,26,CLE,NFL,QB,14.0,14.0,37.0,134.0,1.0,12.0,48.6,14.0,3.6,9.6,2.6,0.0,0.0,11.0,,0.0,0.0,,,0.0,0.8,,,37.0,3.9,145.0,1.0,6.0,,26,CLE,NFL,QB,14.0,14.0,253.0,418.0,3610.0,8.6,1632.0,6.5,3.9,1378.0,5.4,11.0,14.0,2.0,20.0,5.0,84.0,20.9,296.0,73.6,2.4,124.0,52.0,18.0,113.0,23.3,25.0,5.2,11.0,78.0,9.0,76.0,2.0,2.0,89.0,849.0,,Baker Mayfield,MayfBa00,2018,CLE,3144.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,2TM,NFL,QB,12.0,10.0,31.0,89.0,1.0,7.0,29.0,17.0,2.9,7.4,2.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,31.0,2.9,89.0,1.0,9.0,,27,2TM,NFL,QB,12.0,10.0,201.0,335.0,2271.0,6.8,1031.0,5.1,3.1,1132.0,5.6,16.0,15.0,1.0,17.0,5.3,60.0,18.8,226.0,70.8,2.6,110.0,23.0,21.0,80.0,20.7,15.0,5.5,20.0,74.0,19.0,68.0,1.0,6.0,97.0,657.0,,Baker Mayfield,MayfBa00,2018,CLE,2252.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,2TM,NFL,QB,12.0,10.0,31.0,89.0,1.0,7.0,29.0,17.0,2.9,7.4,2.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,31.0,2.9,89.0,1.0,9.0,,27,CAR,NFL,QB,7.0,6.0,119.0,206.0,1316.0,6.4,580.0,4.9,2.8,733.0,6.2,13.0,10.0,0.0,12.0,6.1,35.0,17.9,134.0,68.4,2.5,63.0,12.0,10.0,41.0,17.6,8.0,6.0,19.0,74.0,18.0,68.0,1.0,6.0,49.0,302.0,,Baker Mayfield,MayfBa00,2018,CLE,2252.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,2TM,NFL,QB,12.0,10.0,31.0,89.0,1.0,7.0,29.0,17.0,2.9,7.4,2.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,31.0,2.9,89.0,1.0,9.0,,27,LAR,NFL,QB,5.0,4.0,82.0,129.0,955.0,7.4,451.0,5.5,3.5,399.0,4.9,3.0,5.0,1.0,5.0,4.1,25.0,20.3,92.0,74.8,2.6,47.0,11.0,11.0,39.0,25.5,7.0,4.9,1.0,0.0,1.0,0.0,0.0,0.0,48.0,355.0,,Baker Mayfield,MayfBa00,2018,CLE,2252.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,CAR,NFL,QB,7.0,6.0,16.0,52.0,1.0,5.0,25.0,17.0,3.3,7.4,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,16.0,3.3,52.0,1.0,6.0,,27,2TM,NFL,QB,12.0,10.0,201.0,335.0,2271.0,6.8,1031.0,5.1,3.1,1132.0,5.6,16.0,15.0,1.0,17.0,5.3,60.0,18.8,226.0,70.8,2.6,110.0,23.0,21.0,80.0,20.7,15.0,5.5,20.0,74.0,19.0,68.0,1.0,6.0,97.0,657.0,,Baker Mayfield,MayfBa00,2018,CLE,2215.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,CAR,NFL,QB,7.0,6.0,16.0,52.0,1.0,5.0,25.0,17.0,3.3,7.4,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,16.0,3.3,52.0,1.0,6.0,,27,CAR,NFL,QB,7.0,6.0,119.0,206.0,1316.0,6.4,580.0,4.9,2.8,733.0,6.2,13.0,10.0,0.0,12.0,6.1,35.0,17.9,134.0,68.4,2.5,63.0,12.0,10.0,41.0,17.6,8.0,6.0,19.0,74.0,18.0,68.0,1.0,6.0,49.0,302.0,,Baker Mayfield,MayfBa00,2018,CLE,2215.0
2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,,27,CAR,NFL,QB,7.0,6.0,16.0,52.0,1.0,5.0,25.0,17.0,3.3,7.4,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,16.0,3.3,52.0,1.0,6.0,,27,LAR,NFL,QB,5.0,4.0,82.0,129.0,955.0,7.4,451.0,5.5,3.5,399.0,4.9,3.0,5.0,1.0,5.0,4.1,25.0,20.3,92.0,74.8,2.6,47.0,11.0,11.0,39.0,25.5,7.0,4.9,1.0,0.0,1.0,0.0,0.0,0.0,48.0,355.0,,Baker Mayfield,MayfBa00,2018,CLE,2215.0
