season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2011,22,CAR,NFL,QB,16.0,16.0,6-10-0,310.0,517.0,60.0,4051.0,21.0,4.1,17.0,3.3,176.0,44.2,91.0,7.8,7.17,13.1,253.2,84.5,56.6,35.0,260.0,6.34,6.87,6.24,1.0,1.0,19.0,"PB,AP ORoY-1",22,CAR,NFL,QB,16.0,16.0,126.0,706.0,14.0,53.0,53.2,49.0,5.6,44.1,7.9,1.0,1.0,27.0,27.0,0.0,1.0,100.0,27.0,0.1,1.7,100.0,27.0,127.0,5.8,733.0,14.0,5.0,"PB,AP ORoY-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,4757.0
2012,23,CAR,NFL,QB,16.0,16.0,7-9-0,280.0,485.0,57.7,3869.0,19.0,3.9,12.0,2.5,171.0,43.0,82.0,8.0,7.65,13.8,241.8,86.2,58.3,36.0,244.0,6.91,6.96,6.65,1.0,1.0,16.0,,23,CAR,NFL,QB,16.0,16.0,127.0,741.0,8.0,52.0,52.0,72.0,5.8,46.3,7.9,1.0,0.0,6.0,,0.0,0.0,0.0,6.0,0.0,0.4,0.0,6.0,127.0,5.9,747.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,4610.0
2013,24,CAR,NFL,QB,16.0,16.0,12-4-0,292.0,473.0,61.7,3379.0,24.0,5.1,13.0,2.7,172.0,43.2,79.0,7.1,6.92,11.6,211.2,88.8,64.3,43.0,336.0,8.33,5.9,5.69,4.0,4.0,16.0,PB,24,CAR,NFL,QB,16.0,16.0,111.0,585.0,6.0,45.0,55.0,56.0,5.3,36.6,6.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,111.0,5.3,585.0,6.0,3.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,3964.0
2014,25,CAR,NFL,QB,14.0,14.0,5-8-1,262.0,448.0,58.5,3127.0,18.0,4.0,12.0,2.7,156.0,44.9,51.0,7.0,6.58,11.9,223.4,82.1,56.2,38.0,300.0,7.82,5.82,5.45,3.0,2.0,12.0,,25,CAR,NFL,QB,14.0,14.0,103.0,539.0,5.0,48.0,61.2,22.0,5.2,38.5,7.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,103.0,5.2,539.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,3666.0
2015,26,CAR,NFL,QB,16.0,16.0,15-1-0,296.0,495.0,59.8,3837.0,35.0,7.1,10.0,2.0,195.0,48.1,74.0,7.8,8.26,13.0,239.8,99.4,61.4,33.0,284.0,6.25,6.73,7.2,3.0,4.0,21.0,"PB,AP-1,AP MVP-1,AP OPoY-1",26,CAR,NFL,QB,16.0,16.0,132.0,636.0,10.0,59.0,56.1,47.0,4.8,39.8,8.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,132.0,4.8,636.0,10.0,5.0,"PB,AP-1,AP MVP-1,AP OPoY-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,4473.0
2016,27,CAR,NFL,QB,15.0,14.0,6-8-0,270.0,510.0,52.9,3509.0,19.0,3.7,14.0,2.7,173.0,40.7,88.0,6.9,6.39,13.0,233.9,75.8,47.1,36.0,277.0,6.59,5.92,5.46,0.0,0.0,11.0,,27,CAR,NFL,QB,15.0,14.0,90.0,359.0,5.0,28.0,52.2,28.0,4.0,23.9,6.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,90.0,4.0,359.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,3868.0
2017,28,CAR,NFL,QB,16.0,16.0,11-5-0,291.0,492.0,59.1,3302.0,22.0,4.5,16.0,3.3,167.0,43.8,64.0,6.7,6.14,11.3,206.4,80.7,52.7,35.0,242.0,6.64,5.81,5.28,1.0,3.0,15.0,,28,CAR,NFL,QB,16.0,16.0,139.0,754.0,6.0,46.0,49.6,69.0,5.4,47.1,8.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,139.0,5.4,754.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,4056.0
2018,29,CAR,NFL,QB,14.0,14.0,6-8-0,320.0,471.0,67.9,3395.0,24.0,5.1,13.0,2.8,180.0,49.8,82.0,7.2,6.99,10.6,242.5,94.2,53.2,29.0,213.0,5.8,6.36,6.15,2.0,2.0,14.0,,29,CAR,NFL,QB,14.0,14.0,101.0,488.0,4.0,36.0,48.5,29.0,4.8,34.9,7.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,101.0,4.8,488.0,4.0,6.0,,29,CAR,NFL,QB,14.0,14.0,320.0,471.0,3384.0,7.2,1652.0,5.2,3.5,1743.0,5.4,0.0,16.0,3.0,24.0,5.3,62.0,13.7,,,2.3,135.0,49.0,22.0,100.0,19.0,27.0,7.4,,,,,,,,,,Cam Newton,NewtCa00,2011,CAR,3883.0
2019,30,CAR,NFL,QB,2.0,2.0,0-2-0,50.0,89.0,56.2,572.0,0.0,0.0,1.0,1.1,29.0,43.2,44.0,6.4,5.92,11.4,286.0,71.0,22.5,6.0,43.0,6.32,5.57,5.09,0.0,0.0,1.0,,30,CAR,NFL,QB,2.0,2.0,5.0,-2.0,0.0,0.0,0.0,3.0,-0.4,-1.0,2.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,-0.4,-2.0,0.0,2.0,,30,CAR,NFL,QB,2.0,2.0,50.0,89.0,793.0,8.9,368.0,7.4,4.1,204.0,4.1,2.0,2.0,1.0,3.0,3.5,26.0,30.2,54.0,62.8,2.2,43.0,12.0,5.0,23.0,24.0,1.0,3.0,15.0,116.0,12.0,116.0,2.0,0.0,22.0,195.0,,Cam Newton,NewtCa00,2011,CAR,570.0
2020,31,NWE,NFL,QB,15.0,15.0,7-8-0,242.0,368.0,65.8,2657.0,8.0,2.2,10.0,2.7,133.0,45.9,50.0,7.2,6.43,11.0,177.1,82.9,39.4,31.0,195.0,7.77,6.17,5.44,1.0,3.0,12.0,,31,NWE,NFL,QB,15.0,15.0,137.0,592.0,12.0,55.0,54.0,49.0,4.3,39.5,9.1,2.0,2.0,35.0,17.5,1.0,2.0,100.0,19.0,0.1,2.3,100.0,17.5,139.0,4.5,627.0,13.0,6.0,,31,NWE,NFL,QB,15.0,15.0,242.0,368.0,2496.0,6.8,1393.0,5.8,3.8,1264.0,5.2,9.0,11.0,2.0,15.0,4.2,70.0,19.7,265.0,74.6,2.6,178.0,48.0,30.0,109.0,26.0,20.0,9.3,36.0,145.0,13.0,61.0,23.0,84.0,99.0,863.0,,Cam Newton,NewtCa00,2011,CAR,3249.0
