season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 31_level_0_Fmb,Rush_Unnamed: 32_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2000,24,NYJ,NFL,QB,1.0,0.0,,2.0,5.0,40.0,67.0,1.0,20.0,0.0,0.0,2.0,33.3,62.0,13.4,17.4,33.5,67.0,127.1,,1.0,4.0,16.67,10.5,13.83,0.0,0.0,0.0,,24,NYJ,NFL,QB,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,Chad Pennington,PennCh01,2000,NYJ,67.0
2001,25,NYJ,NFL,QB,2.0,0.0,,10.0,20.0,50.0,92.0,1.0,5.0,0.0,0.0,5.0,28.6,24.0,4.6,5.6,9.2,46.0,79.6,,1.0,8.0,4.76,4.0,4.95,0.0,0.0,0.0,,25,NYJ,NFL,QB,2.0,0.0,1.0,11.0,0.0,0.0,0.0,11.0,11.0,5.5,0.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,1.0,11.0,11.0,0.0,0.0,,Chad Pennington,PennCh01,2000,NYJ,103.0
2002,26,NYJ,NFL,QB,15.0,12.0,8-4-0,275.0,399.0,68.9,3120.0,22.0,5.5,6.0,1.5,168.0,52.3,47.0,7.8,8.25,11.3,208.0,104.2,,22.0,135.0,5.23,7.09,7.49,1.0,2.0,12.0,,26,NYJ,NFL,QB,15.0,12.0,29.0,49.0,2.0,8.0,31.0,14.0,1.7,3.3,1.9,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,29.0,1.7,49.0,2.0,2.0,,Chad Pennington,PennCh01,2000,NYJ,3169.0
2003,27,NYJ,NFL,QB,10.0,9.0,4-5-0,189.0,297.0,63.6,2139.0,13.0,4.4,12.0,4.0,116.0,43.5,65.0,7.2,6.26,11.3,213.9,82.9,,25.0,160.0,7.76,6.15,5.28,2.0,2.0,7.0,,27,NYJ,NFL,QB,10.0,9.0,21.0,42.0,2.0,6.0,33.3,10.0,2.0,4.2,2.1,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,21.0,2.0,42.0,2.0,8.0,,Chad Pennington,PennCh01,2000,NYJ,2181.0
2004,28,NYJ,NFL,QB,13.0,13.0,8-5-0,242.0,370.0,65.4,2673.0,16.0,4.3,9.0,2.4,137.0,49.7,48.0,7.2,6.99,11.0,205.6,91.0,,18.0,103.0,4.64,6.62,6.4,2.0,2.0,10.0,,28,NYJ,NFL,QB,13.0,13.0,34.0,126.0,1.0,13.0,52.9,16.0,3.7,9.7,2.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,34.0,3.7,126.0,1.0,5.0,,Chad Pennington,PennCh01,2000,NYJ,2799.0
2005,29,NYJ,NFL,QB,3.0,3.0,1-2-0,49.0,83.0,59.0,530.0,2.0,2.4,3.0,3.6,30.0,39.1,37.0,6.4,5.24,10.8,176.7,70.9,,9.0,52.0,9.78,5.2,4.16,0.0,0.0,2.0,,29,NYJ,NFL,QB,3.0,3.0,6.0,27.0,0.0,2.0,50.0,14.0,4.5,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.0,4.5,27.0,0.0,8.0,,Chad Pennington,PennCh01,2000,NYJ,557.0
2006,30,NYJ,NFL,QB,16.0,16.0,10-6-0,313.0,485.0,64.5,3352.0,17.0,3.5,16.0,3.3,163.0,47.4,71.0,6.9,6.13,10.7,209.5,82.6,64.2,30.0,172.0,5.83,6.17,5.44,1.0,2.0,12.0,AP CPoY-1,30,NYJ,NFL,QB,16.0,16.0,35.0,109.0,0.0,12.0,42.9,15.0,3.1,6.8,2.2,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.4,0.0,7.0,35.0,3.3,116.0,0.0,7.0,AP CPoY-1,Chad Pennington,PennCh01,2000,NYJ,3461.0
2007,31,NYJ,NFL,QB,9.0,8.0,1-7-0,179.0,260.0,68.8,1765.0,10.0,3.8,9.0,3.5,89.0,46.9,57.0,6.8,6.0,9.9,196.1,86.1,45.4,26.0,178.0,9.09,5.55,4.83,0.0,0.0,5.0,,31,NYJ,NFL,QB,9.0,8.0,20.0,32.0,1.0,9.0,55.0,5.0,1.6,3.6,2.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20.0,1.6,32.0,1.0,5.0,,Chad Pennington,PennCh01,2000,NYJ,1797.0
2008,32,MIA,NFL,QB,16.0,16.0,11-5-0,321.0,476.0,67.4,3653.0,19.0,4.0,7.0,1.5,180.0,50.8,80.0,7.7,7.81,11.4,228.3,97.4,65.7,24.0,121.0,4.8,7.06,7.19,1.0,2.0,13.0,"AP MVP-2,AP CPoY-1",32,MIA,NFL,QB,16.0,16.0,30.0,62.0,1.0,6.0,26.7,16.0,2.1,3.9,1.9,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,30.0,2.1,62.0,1.0,3.0,"AP MVP-2,AP CPoY-1",Chad Pennington,PennCh01,2000,NYJ,3715.0
2009,33,MIA,NFL,QB,3.0,3.0,0-3-0,51.0,74.0,68.9,413.0,1.0,1.4,2.0,2.7,27.0,45.0,21.0,5.6,4.64,8.1,137.7,76.0,40.5,6.0,32.0,7.5,4.76,3.89,0.0,0.0,1.0,,33,MIA,NFL,QB,3.0,3.0,3.0,7.0,0.0,2.0,66.7,4.0,2.3,2.3,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,3.0,2.3,7.0,0.0,3.0,,Chad Pennington,PennCh01,2000,NYJ,420.0
2010,34,MIA,NFL,QB,1.0,1.0,1-0-0,1.0,2.0,50.0,19.0,0.0,0.0,0.0,0.0,1.0,50.0,19.0,9.5,9.5,19.0,19.0,83.3,94.1,0.0,0.0,0.0,9.5,9.5,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Chad Pennington,PennCh01,2000,NYJ,19.0
