season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2005,22,GNB,NFL,QB,3,0,,9,16,56.3,65,0,0.0,1,6.3,3,31.6,16,4.1,1.25,7.2,21.7,39.8,,3,28,15.79,1.95,-0.42,0,0,0,,22,GNB,NFL,QB,3,0,2,7.0,0,1,50.0,8,3.5,2.3,0.7,0,0,0,,0,0,,,0.0,0.0,,,2,3.5,7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,72.0
2006,23,GNB,NFL,QB,2,0,,6,15,40.0,46,0,0.0,0,0.0,2,16.7,16,3.1,3.07,7.7,23.0,48.2,7.9,3,18,16.67,1.56,1.56,0,0,0,,23,GNB,NFL,QB,2,0,2,11.0,0,1,50.0,6,5.5,5.5,1.0,0,0,0,,0,0,,,0.0,0.0,,,2,5.5,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,57.0
2007,24,GNB,NFL,QB,2,0,,20,28,71.4,218,1,3.6,0,0.0,9,45.2,43,7.8,8.50,10.9,109.0,106.0,78.8,3,24,9.68,6.26,6.90,0,0,1,,24,GNB,NFL,QB,2,0,7,29.0,0,3,42.9,13,4.1,14.5,3.5,0,0,0,,0,0,,,0.0,0.0,,,7,4.1,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,247.0
2008,25,GNB,NFL,QB,16,16,6-10-0,341,536,63.6,4038,28,5.2,13,2.4,184,45.8,71,7.5,7.49,11.8,252.4,93.8,62.9,34,231,5.96,6.68,6.64,1,2,15,,25,GNB,NFL,QB,16,16,56,207.0,4,21,48.2,21,3.7,12.9,3.5,0,0,0,,0,0,,,0.0,0.0,,,56,3.7,207,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4245.0
2009,26,GNB,NFL,QB,16,16,11-5-0,350,541,64.7,4434,30,5.5,7,1.3,198,47.4,83,8.2,8.72,12.7,277.1,103.2,69.1,50,306,8.46,6.98,7.47,2,2,19,PB,26,GNB,NFL,QB,16,16,58,316.0,5,24,51.7,35,5.4,19.8,3.6,0,0,0,,0,0,,,0.0,0.0,,,58,5.4,316,5,10,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4750.0
2010,27,GNB,NFL,QB,15,15,10-5-0,312,475,65.7,3922,28,5.9,11,2.3,183,51.4,86,8.3,8.39,12.6,261.5,101.2,69.6,31,193,6.13,7.37,7.50,0,1,15,AP OPoY-5,27,GNB,NFL,QB,15,15,64,356.0,4,22,48.4,27,5.6,23.7,4.3,0,0,0,,0,0,,,0.0,0.0,,,64,5.6,356,4,4,AP OPoY-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4278.0
2011,28,GNB,NFL,QB,15,15,14-1-0,343,502,68.3,4643,45,9.0,6,1.2,209,53.0,93,9.2,10.50,13.5,309.5,122.5,83.8,36,219,6.69,8.22,9.39,0,1,23,"PB,AP-1,AP MVP-1,AP OPoY-2",28,GNB,NFL,QB,15,15,60,257.0,3,18,38.3,25,4.3,17.1,4.0,0,0,0,,0,0,,,0.0,0.0,,,60,4.3,257,3,4,"PB,AP-1,AP MVP-1,AP OPoY-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4900.0
2012,29,GNB,NFL,QB,16,16,11-5-0,371,552,67.2,4295,39,7.1,8,1.4,215,49.8,73,7.8,8.54,11.6,268.4,108.0,71.2,51,293,8.46,6.64,7.33,2,3,16,"PB,AP-2,AP OPoY-3",29,GNB,NFL,QB,16,16,54,259.0,2,20,44.4,27,4.8,16.2,3.4,1,1,-1,-1.0,0,0,0.0,-1,0.1,-0.1,100.0,-1.0,55,4.7,258,2,5,"PB,AP-2,AP OPoY-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4554.0
2013,30,GNB,NFL,QB,9,9,6-3-0,193,290,66.6,2536,17,5.9,6,2.1,108,50.2,83,8.7,8.99,13.1,281.8,104.9,61.6,21,117,6.75,7.78,8.00,1,1,9,,30,GNB,NFL,QB,9,9,30,120.0,0,11,50.0,18,4.0,13.3,3.3,0,0,0,,0,0,,,0.0,0.0,,,30,4.0,120,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,2656.0
2014,31,GNB,NFL,QB,16,16,12-4-0,341,520,65.6,4381,38,7.3,5,1.0,221,52.4,80,8.4,9.45,12.8,273.8,112.2,77.8,28,174,5.11,7.68,8.65,1,1,22,"PB,AP-1,AP MVP-1,AP OPoY-2",31,GNB,NFL,QB,16,16,43,269.0,2,22,58.1,19,6.3,16.8,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,6.3,269,2,10,"PB,AP-1,AP MVP-1,AP OPoY-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Rodgers,RodgAa00,2005,GNB,4650.0
