season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2008,23,ATL,NFL,QB,16.0,16.0,11-5-0,265.0,434.0,61.1,3440.0,16.0,3.7,11.0,2.5,156.0,45.5,70.0,7.9,7.52,13.0,215.0,87.7,68.8,17.0,104.0,3.77,7.4,7.01,2.0,4.0,14.0,AP ORoY-1,23,ATL,NFL,QB,16.0,16.0,55.0,104.0,1.0,13.0,30.9,17.0,1.9,6.5,3.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,55.0,1.9,104.0,1.0,6.0,AP ORoY-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,3544.0
2009,24,ATL,NFL,QB,14.0,14.0,9-5-0,263.0,451.0,58.3,2916.0,22.0,4.9,14.0,3.1,153.0,44.0,90.0,6.5,6.04,11.1,208.3,80.9,67.7,19.0,92.0,4.04,6.01,5.6,1.0,3.0,10.0,,24,ATL,NFL,QB,14.0,14.0,30.0,49.0,1.0,9.0,43.3,7.0,1.6,3.5,2.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,30.0,1.6,49.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,2965.0
2010,25,ATL,NFL,QB,16.0,16.0,13-3-0,357.0,571.0,62.5,3705.0,28.0,4.9,9.0,1.6,202.0,46.1,46.0,6.5,6.76,10.4,231.6,91.0,71.2,23.0,158.0,3.87,5.97,6.23,5.0,6.0,16.0,PB,25,ATL,NFL,QB,16.0,16.0,46.0,122.0,0.0,10.0,34.8,20.0,2.7,7.6,2.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,46.0,2.7,122.0,0.0,4.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,3827.0
2011,26,ATL,NFL,QB,16.0,16.0,10-6-0,347.0,566.0,61.3,4177.0,29.0,5.1,12.0,2.1,208.0,47.3,80.0,7.4,7.45,12.0,261.1,92.2,69.3,26.0,173.0,4.39,6.76,6.83,3.0,3.0,15.0,,26,ATL,NFL,QB,16.0,16.0,37.0,84.0,2.0,11.0,35.1,12.0,2.3,5.3,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,37.0,2.3,84.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4261.0
2012,27,ATL,NFL,QB,16.0,16.0,13-3-0,422.0,615.0,68.6,4719.0,32.0,5.2,14.0,2.3,248.0,52.7,80.0,7.7,7.69,11.2,294.9,99.1,71.6,28.0,210.0,4.35,7.01,7.03,4.0,6.0,18.0,PB,27,ATL,NFL,QB,16.0,16.0,34.0,141.0,1.0,8.0,44.1,16.0,4.1,8.8,2.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,34.0,4.1,141.0,1.0,3.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4860.0
2013,28,ATL,NFL,QB,16.0,16.0,4-12-0,439.0,651.0,67.4,4515.0,26.0,4.0,17.0,2.6,228.0,47.1,81.0,6.9,6.56,10.3,282.2,89.6,67.5,44.0,298.0,6.33,6.07,5.72,1.0,1.0,13.0,,28,ATL,NFL,QB,16.0,16.0,17.0,55.0,0.0,5.0,35.3,17.0,3.2,3.4,1.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,17.0,3.2,55.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4570.0
2014,29,ATL,NFL,QB,16.0,16.0,6-10-0,415.0,628.0,66.1,4694.0,28.0,4.5,14.0,2.2,233.0,49.0,79.0,7.5,7.36,11.3,293.4,93.9,66.8,31.0,205.0,4.7,6.81,6.71,3.0,3.0,15.0,PB,29,ATL,NFL,QB,16.0,16.0,29.0,145.0,0.0,10.0,58.6,15.0,5.0,9.1,1.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,29.0,5.0,145.0,0.0,5.0,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4839.0
2015,30,ATL,NFL,QB,16.0,16.0,8-8-0,407.0,614.0,66.3,4591.0,21.0,3.4,16.0,2.6,228.0,50.8,70.0,7.5,6.99,11.3,286.9,89.0,64.1,30.0,203.0,4.66,6.81,6.35,4.0,4.0,14.0,,30,ATL,NFL,QB,16.0,16.0,36.0,63.0,0.0,9.0,33.3,18.0,1.8,3.9,2.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,36.0,1.8,63.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4654.0
2016,31,ATL,NFL,QB,16.0,16.0,11-5-0,373.0,534.0,69.9,4944.0,38.0,7.1,7.0,1.3,240.0,52.5,76.0,9.3,10.09,13.3,309.0,117.1,79.6,37.0,235.0,6.48,8.25,9.03,1.0,2.0,21.0,"PB,AP-1,AP MVP-1,AP OPoY-1",31,ATL,NFL,QB,16.0,16.0,35.0,117.0,0.0,13.0,42.9,18.0,3.3,7.3,2.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,35.0,3.3,117.0,0.0,4.0,"PB,AP-1,AP MVP-1,AP OPoY-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,5061.0
2017,32,ATL,NFL,QB,16.0,16.0,10-6-0,342.0,529.0,64.7,4095.0,20.0,3.8,12.0,2.3,199.0,49.9,88.0,7.7,7.48,12.0,255.9,91.4,66.7,24.0,156.0,4.34,7.12,6.87,2.0,3.0,15.0,,32,ATL,NFL,QB,16.0,16.0,32.0,143.0,0.0,11.0,50.0,16.0,4.5,8.9,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,32.0,4.5,143.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Ryan,RyanMa00,2008,ATL,4238.0
