season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_Y/R,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2001,21,ATL,NFL,QB,8,2,1-1-0,50,113,44.2,785.0,2,1.8,3,2.7,34,34.3,52,6.9,6.11,15.7,98.1,62.7,,21,113,15.67,5.01,4.31,0,0,4,,21,ATL,NFL,QB,8,2,31,289.0,1,15,64.5,35,9.3,36.1,3.9,0,0,0,,0,0,,,0.0,0.0,,,31,9.3,289,1,6,,Michael Vick,VickMi00,2001,ATL,1074.0
2002,22,ATL,NFL,QB,15,15,8-6-1,231,421,54.9,2936.0,16,3.8,8,1.9,140,39.9,74,7.0,6.88,12.7,195.7,81.6,,33,206,7.27,6.01,5.93,2,2,17,"PB,AP MVP-4",22,ATL,NFL,QB,15,15,113,777.0,8,45,53.1,46,6.9,51.8,7.5,1,0,16,,0,0,0.0,16,0.0,1.1,0.0,16.0,113,7.0,793,8,9,"PB,AP MVP-4",Michael Vick,VickMi00,2001,ATL,3713.0
2003,23,ATL,NFL,QB,5,4,3-1-0,50,100,50.0,585.0,4,4.0,3,3.0,32,37.6,49,5.9,5.30,11.7,117.0,69.0,,9,64,8.26,4.78,4.28,1,0,4,,23,ATL,NFL,QB,5,4,40,255.0,1,14,57.5,43,6.4,51.0,8.0,0,0,0,,0,0,,,0.0,0.0,,,40,6.4,255,1,4,,Michael Vick,VickMi00,2001,ATL,840.0
2004,24,ATL,NFL,QB,15,15,11-4-0,181,321,56.4,2313.0,14,4.4,12,3.7,102,38.7,62,7.2,6.40,12.8,154.2,78.1,,46,266,12.53,5.58,4.87,3,4,15,"PB,AP MVP-2,AP OPoY-5,AP CPoY-6",24,ATL,NFL,QB,15,15,120,902.0,3,52,58.3,58,7.5,60.1,8.0,0,0,0,,0,0,,,0.0,0.0,,,120,7.5,902,3,16,"PB,AP MVP-2,AP OPoY-5,AP CPoY-6",Michael Vick,VickMi00,2001,ATL,3215.0
2005,25,ATL,NFL,QB,15,15,8-7-0,214,387,55.3,2412.0,15,3.9,13,3.4,126,39.5,58,6.2,5.50,11.3,160.8,73.1,,33,201,7.86,5.26,4.59,0,1,13,PB,25,ATL,NFL,QB,15,15,102,597.0,6,43,56.9,32,5.9,39.8,6.8,1,1,-14,-14.0,0,0,0.0,-14,0.1,-0.9,100.0,-14.0,103,5.7,583,6,11,PB,Michael Vick,VickMi00,2001,ATL,3009.0
2006,26,ATL,NFL,QB,16,16,7-9-0,204,388,52.6,2474.0,20,5.2,13,3.4,122,37.9,55,6.4,5.90,12.1,154.6,75.7,49.3,45,303,10.39,5.01,4.59,0,1,15,,26,ATL,NFL,QB,16,16,123,1039.0,2,56,63.4,51,8.4,64.9,7.7,1,1,1,1.0,0,0,0.0,1,0.1,0.1,100.0,1.0,124,8.4,1040,2,9,,Michael Vick,VickMi00,2001,ATL,3513.0
2007,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,0.0,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,0.0,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Michael Vick,VickMi00,2001,ATL,0.0
2008,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,0.0,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,0.0,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Did not play - Violation of league personal conduct policy,Michael Vick,VickMi00,2001,ATL,0.0
2009,29,PHI,NFL,QB,12,1,,6,13,46.2,86.0,1,7.7,0,0.0,3,23.1,43,6.6,8.15,14.3,7.2,93.7,52.9,0,0,0.00,6.62,8.15,0,0,1,,29,PHI,NFL,QB,12,1,24,95.0,2,7,45.8,34,4.0,7.9,2.0,0,0,0,,0,0,,,0.0,0.0,,,24,4.0,95,2,0,,Michael Vick,VickMi00,2001,ATL,181.0
2010,30,PHI,NFL,QB,12,12,8-3-0,233,372,62.6,3018.0,21,5.6,6,1.6,119,47.0,91,8.1,8.52,13.0,251.5,100.2,65.0,34,210,8.37,6.92,7.29,4,3,15,"PB,AP OPoY-2,AP CPoY-1",30,PHI,NFL,QB,12,12,100,676.0,9,36,54.0,35,6.8,56.3,8.3,0,0,0,,0,0,,,0.0,0.0,,,100,6.8,676,9,11,"PB,AP OPoY-2,AP CPoY-1",Michael Vick,VickMi00,2001,ATL,3694.0
