season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 31_level_0_Fmb,Rush_Unnamed: 32_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards
2012,29,CLE,NFL,QB,15.0,15.0,5-10-0,297.0,517.0,57.4,3385.0,14.0,2.7,17.0,3.3,169.0,40.7,71.0,6.5,5.61,11.4,225.7,72.6,33.9,28.0,186.0,5.14,5.87,4.98,1.0,1.0,7.0,,29,CLE,NFL,QB,15.0,15.0,27.0,111.0,0.0,12.0,51.9,25.0,4.1,7.4,1.8,1.0,0.0,-9.0,0.0,0.0,0.0,-9.0,0.0,-0.6,0.0,-9.0,27.0,3.8,102.0,0.0,6.0,,Brandon Weeden,WeedBr00,2012,CLE,3496.0
2013,30,CLE,NFL,QB,8.0,5.0,0-5-0,141.0,267.0,52.8,1731.0,9.0,3.4,9.0,3.4,81.0,35.0,95.0,6.5,5.64,12.3,216.4,70.3,34.4,27.0,180.0,9.18,5.28,4.51,0.0,1.0,3.0,,30,CLE,NFL,QB,8.0,5.0,12.0,44.0,0.0,2.0,50.0,11.0,3.7,5.5,1.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,12.0,3.7,44.0,0.0,6.0,,Brandon Weeden,WeedBr00,2012,CLE,1775.0
2014,31,DAL,NFL,QB,5.0,1.0,0-1-0,24.0,41.0,58.5,303.0,3.0,7.3,2.0,4.9,16.0,42.9,43.0,7.4,6.66,12.6,60.6,85.7,4.9,1.0,9.0,2.38,7.0,6.29,0.0,0.0,1.0,,31,DAL,NFL,QB,5.0,1.0,6.0,-1.0,0.0,0.0,0.0,1.0,-0.2,-0.2,1.2,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,6.0,-0.2,-1.0,0.0,1.0,,Brandon Weeden,WeedBr00,2012,CLE,302.0
2015,32,2TM,NFL,QB,6.0,4.0,1-3-0,97.0,140.0,69.3,1043.0,5.0,3.6,2.0,1.4,53.0,46.0,67.0,7.5,7.52,10.8,173.8,96.8,,10.0,77.0,6.67,6.44,6.51,1.0,1.0,3.0,,32,2TM,NFL,QB,6.0,4.0,16.0,47.0,1.0,7.0,31.3,11.0,2.9,7.8,2.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,16.0,2.9,47.0,1.0,2.0,,Brandon Weeden,WeedBr00,2012,CLE,1090.0
2015,32,2TM,NFL,QB,6.0,4.0,1-3-0,97.0,140.0,69.3,1043.0,5.0,3.6,2.0,1.4,53.0,46.0,67.0,7.5,7.52,10.8,173.8,96.8,,10.0,77.0,6.67,6.44,6.51,1.0,1.0,3.0,,32,DAL,NFL,QB,4.0,3.0,9.0,30.0,0.0,5.0,33.3,11.0,3.3,7.5,2.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,9.0,3.3,30.0,0.0,0.0,,Brandon Weeden,WeedBr00,2012,CLE,1073.0
2015,32,2TM,NFL,QB,6.0,4.0,1-3-0,97.0,140.0,69.3,1043.0,5.0,3.6,2.0,1.4,53.0,46.0,67.0,7.5,7.52,10.8,173.8,96.8,,10.0,77.0,6.67,6.44,6.51,1.0,1.0,3.0,,32,HOU,NFL,QB,2.0,1.0,7.0,17.0,1.0,2.0,28.6,7.0,2.4,8.5,3.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,7.0,2.4,17.0,1.0,2.0,,Brandon Weeden,WeedBr00,2012,CLE,1060.0
2015,32,DAL,NFL,QB,4.0,3.0,0-3-0,71.0,98.0,72.4,738.0,2.0,2.0,2.0,2.0,35.0,43.4,67.0,7.5,7.02,10.4,184.5,92.1,,8.0,62.0,7.55,6.38,5.91,0.0,0.0,2.0,,32,2TM,NFL,QB,6.0,4.0,16.0,47.0,1.0,7.0,31.3,11.0,2.9,7.8,2.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,16.0,2.9,47.0,1.0,2.0,,Brandon Weeden,WeedBr00,2012,CLE,785.0
2015,32,DAL,NFL,QB,4.0,3.0,0-3-0,71.0,98.0,72.4,738.0,2.0,2.0,2.0,2.0,35.0,43.4,67.0,7.5,7.02,10.4,184.5,92.1,,8.0,62.0,7.55,6.38,5.91,0.0,0.0,2.0,,32,DAL,NFL,QB,4.0,3.0,9.0,30.0,0.0,5.0,33.3,11.0,3.3,7.5,2.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,9.0,3.3,30.0,0.0,0.0,,Brandon Weeden,WeedBr00,2012,CLE,768.0
2015,32,DAL,NFL,QB,4.0,3.0,0-3-0,71.0,98.0,72.4,738.0,2.0,2.0,2.0,2.0,35.0,43.4,67.0,7.5,7.02,10.4,184.5,92.1,,8.0,62.0,7.55,6.38,5.91,0.0,0.0,2.0,,32,HOU,NFL,QB,2.0,1.0,7.0,17.0,1.0,2.0,28.6,7.0,2.4,8.5,3.5,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,7.0,2.4,17.0,1.0,2.0,,Brandon Weeden,WeedBr00,2012,CLE,755.0
2015,32,HOU,NFL,QB,2.0,1.0,1-0-0,26.0,42.0,61.9,305.0,3.0,7.1,0.0,0.0,18.0,52.3,44.0,7.3,8.69,11.7,152.5,107.7,,2.0,15.0,4.55,6.59,7.95,1.0,1.0,1.0,,32,2TM,NFL,QB,6.0,4.0,16.0,47.0,1.0,7.0,31.3,11.0,2.9,7.8,2.7,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,16.0,2.9,47.0,1.0,2.0,,Brandon Weeden,WeedBr00,2012,CLE,352.0
