target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
CutlJa00,Jay Cutler,WatsDe00,Deshaun Watson,comp,True,False,5.0,,4,0,2017,2017,2005.4447567501013,7.291449359399159,True,2020.0
CutlJa00,Jay Cutler,WatsDe00,Deshaun Watson,comp,True,False,5.0,,4,1,2018,2017,4792.703302880557,6.952919341949349,True,2020.0
CutlJa00,Jay Cutler,WatsDe00,Deshaun Watson,comp,True,False,5.0,,4,2,2019,2017,4322.65040843894,6.69655161982289,True,2020.0
CutlJa00,Jay Cutler,WatsDe00,Deshaun Watson,comp,True,False,5.0,,4,3,2020,2017,5323.8020699862445,8.28587731576781,True,2020.0
CutlJa00,Jay Cutler,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
CutlJa00,Jay Cutler,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
CutlJa00,Jay Cutler,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
CutlJa00,Jay Cutler,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
CutlJa00,Jay Cutler,FreeJo00,Josh Freeman,comp,True,False,2.0,,4,0,2009,2009,2100.0228784912497,3.803396665918276,False,
CutlJa00,Jay Cutler,FreeJo00,Josh Freeman,comp,True,False,2.0,,4,1,2010,2009,3962.990322992428,7.138646688138917,False,
CutlJa00,Jay Cutler,FreeJo00,Josh Freeman,comp,True,False,2.0,,4,2,2011,2009,3967.578690637122,4.886257476661636,False,
CutlJa00,Jay Cutler,FreeJo00,Josh Freeman,comp,True,False,2.0,,4,3,2012,2009,4343.012745406038,6.453937128671446,False,
CutlJa00,Jay Cutler,LuckAn00,Andrew Luck,comp,False,True,,2.0,4,0,2012,2012,4782.066127137144,5.7982990711556175,True,2016.0
CutlJa00,Jay Cutler,LuckAn00,Andrew Luck,comp,False,True,,2.0,4,1,2013,2012,4325.927038168362,6.195457632780314,True,2016.0
CutlJa00,Jay Cutler,LuckAn00,Andrew Luck,comp,False,True,,2.0,4,2,2014,2012,5171.95485721639,7.427634525099314,True,2016.0
CutlJa00,Jay Cutler,LuckAn00,Andrew Luck,comp,False,True,,2.0,4,3,2015,2012,2128.087452992904,5.1318014970889925,True,2016.0
CutlJa00,Jay Cutler,MannEl00,Eli Manning,comp,True,False,4.0,,4,0,2004,2004,1138.7491686625751,3.342889103127569,False,
CutlJa00,Jay Cutler,MannEl00,Eli Manning,comp,True,False,4.0,,4,1,2005,2004,4047.1070376626058,5.850962365591397,False,
CutlJa00,Jay Cutler,MannEl00,Eli Manning,comp,True,False,4.0,,4,2,2006,2004,3429.6670625227634,5.175154039477027,False,
CutlJa00,Jay Cutler,MannEl00,Eli Manning,comp,True,False,4.0,,4,3,2007,2004,3566.734228582613,4.988562813503916,False,
CutlJa00,Jay Cutler,JackLa00,Lamar Jackson,comp,True,False,3.0,,4,0,2018,2018,1926.8374601911655,6.062297941524979,True,2023.0
CutlJa00,Jay Cutler,JackLa00,Lamar Jackson,comp,True,False,3.0,,4,1,2019,2018,4391.569570871261,8.2722108244871,True,2023.0
CutlJa00,Jay Cutler,JackLa00,Lamar Jackson,comp,True,False,3.0,,4,2,2020,2018,3802.571366487232,6.753695622341158,True,2023.0
CutlJa00,Jay Cutler,JackLa00,Lamar Jackson,comp,True,False,3.0,,4,3,2021,2018,3678.435175680198,5.814672400569739,True,2023.0
CutlJa00,Jay Cutler,GoffJa00,Jared Goff,comp,True,False,1.0,,4,0,2016,2016,1129.0936287557265,2.865565669700909,False,
CutlJa00,Jay Cutler,GoffJa00,Jared Goff,comp,True,False,1.0,,4,1,2017,2016,3928.348342109573,7.828927545836092,False,
CutlJa00,Jay Cutler,GoffJa00,Jared Goff,comp,True,False,1.0,,4,2,2018,2016,4874.004461538413,7.78281655598115,False,
CutlJa00,Jay Cutler,GoffJa00,Jared Goff,comp,True,False,1.0,,4,3,2019,2016,4741.232968505829,6.52484516803256,False,
CutlJa00,Jay Cutler,MurrKy00,Kyler Murray,comp,False,True,,1.0,4,0,2019,2019,4323.663925533533,5.605710631978438,True,2022.0
CutlJa00,Jay Cutler,MurrKy00,Kyler Murray,comp,False,True,,1.0,4,1,2020,2019,4841.657853661309,6.501692054343353,True,2022.0
CutlJa00,Jay Cutler,MurrKy00,Kyler Murray,comp,False,True,,1.0,4,2,2021,2019,4243.96056169187,6.941390928015779,True,2022.0
CutlJa00,Jay Cutler,MurrKy00,Kyler Murray,comp,False,True,,1.0,4,3,2022,2019,2800.9422646118705,5.180594297586179,True,2022.0
CutlJa00,Jay Cutler,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,0,2003,2003,3100.68368690967,5.468246860260272,False,
CutlJa00,Jay Cutler,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,1,2004,2003,3263.0762356203104,5.977627243598832,False,
CutlJa00,Jay Cutler,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,2,2005,2003,2306.9142145968526,6.671967741935482,False,
CutlJa00,Jay Cutler,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,3,2006,2003,1260.5208193039252,5.5381407957529705,False,
CutlJa00,Jay Cutler,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,0,2020,2020,2860.520193290502,5.765841635789764,True,2023.0
CutlJa00,Jay Cutler,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,1,2021,2020,4767.147148750797,7.555050125999782,True,2023.0
CutlJa00,Jay Cutler,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,2,2022,2020,4757.379323813127,6.786980126295071,True,2023.0
CutlJa00,Jay Cutler,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,3,2023,2020,2403.410771147845,5.561053363889344,True,2023.0
CutlJa00,Jay Cutler,CutlJa00,Jay Cutler,target,False,False,,,4,0,2006,2006,1070.39226239225,6.025580154180666,False,
CutlJa00,Jay Cutler,CutlJa00,Jay Cutler,target,False,False,,,4,1,2007,2006,3877.841443234312,6.520320689849516,False,
