target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
DaniJa02,Jayden Daniels,DaniJa02,Jayden Daniels,target,False,False,,,4,0,2024,2024,4459.0,6.5,False,
DaniJa02,Jayden Daniels,PeniMi00,Michael Penix,comp,False,True,,3.0,4,0,2024,2024,786.0,6.29,False,
DaniJa02,Jayden Daniels,JoneMa05,Mac Jones,comp,False,True,,4.0,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
DaniJa02,Jayden Daniels,JoneMa05,Mac Jones,comp,False,True,,4.0,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
DaniJa02,Jayden Daniels,JoneMa05,Mac Jones,comp,False,True,,4.0,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
DaniJa02,Jayden Daniels,JoneMa05,Mac Jones,comp,False,True,,4.0,4,3,2024,2021,1764.0,4.97,False,
DaniJa02,Jayden Daniels,WinsJa00,Jameis Winston,comp,True,True,1.0,1.0,4,0,2015,2015,4359.659177893504,6.557301912947047,False,
DaniJa02,Jayden Daniels,WinsJa00,Jameis Winston,comp,True,True,1.0,1.0,4,1,2016,2015,4347.776823851235,6.076625072628171,False,
DaniJa02,Jayden Daniels,WinsJa00,Jameis Winston,comp,True,True,1.0,1.0,4,2,2017,2015,3708.2385517345615,6.794535564391428,False,
DaniJa02,Jayden Daniels,WinsJa00,Jameis Winston,comp,True,True,1.0,1.0,4,3,2018,2015,3326.2336535894965,6.457005153076689,False,
DaniJa02,Jayden Daniels,NixxBo00,Bo Nix,comp,True,False,5.0,,4,0,2024,2024,4205.0,6.12,False,
DaniJa02,Jayden Daniels,MurrKy00,Kyler Murray,comp,True,False,2.0,,4,0,2019,2019,4323.663925533533,5.605710631978438,True,2022.0
DaniJa02,Jayden Daniels,MurrKy00,Kyler Murray,comp,True,False,2.0,,4,1,2020,2019,4841.657853661309,6.501692054343353,True,2022.0
DaniJa02,Jayden Daniels,MurrKy00,Kyler Murray,comp,True,False,2.0,,4,2,2021,2019,4243.96056169187,6.941390928015779,True,2022.0
DaniJa02,Jayden Daniels,MurrKy00,Kyler Murray,comp,True,False,2.0,,4,3,2022,2019,2800.9422646118705,5.180594297586179,True,2022.0
DaniJa02,Jayden Daniels,StroCJ00,C.J. Stroud,comp,True,False,4.0,,4,0,2023,2023,4286.433477954542,7.484877230315928,False,
DaniJa02,Jayden Daniels,StroCJ00,C.J. Stroud,comp,True,False,4.0,,4,1,2024,2023,3960.0,5.44,False,
DaniJa02,Jayden Daniels,HerbJu00,Justin Herbert,comp,True,False,3.0,,4,0,2020,2020,4619.285259129892,6.894817620419928,True,2023.0
DaniJa02,Jayden Daniels,HerbJu00,Justin Herbert,comp,True,False,3.0,,4,1,2021,2020,5358.882267447501,6.991690862276763,True,2023.0
DaniJa02,Jayden Daniels,HerbJu00,Justin Herbert,comp,True,False,3.0,,4,2,2022,2020,4912.205278138406,6.24482490910582,True,2023.0
DaniJa02,Jayden Daniels,HerbJu00,Justin Herbert,comp,True,False,3.0,,4,3,2023,2020,3370.991661493139,6.172268238118623,True,2023.0
DaniJa02,Jayden Daniels,MariMa01,Marcus Mariota,comp,False,True,,5.0,4,0,2015,2015,3145.512027293315,6.21110895481009,False,
DaniJa02,Jayden Daniels,MariMa01,Marcus Mariota,comp,False,True,,5.0,4,1,2016,2015,3857.310813170015,7.255368397753367,False,
DaniJa02,Jayden Daniels,MariMa01,Marcus Mariota,comp,False,True,,5.0,4,2,2017,2015,3611.431005041849,5.587744919372652,False,
DaniJa02,Jayden Daniels,MariMa01,Marcus Mariota,comp,False,True,,5.0,4,3,2018,2015,2931.9230340988997,5.819401195954696,False,
DaniJa02,Jayden Daniels,NewtCa00,Cam Newton,comp,False,True,,2.0,4,0,2011,2011,4927.877762757386,6.405514003018616,True,2015.0
DaniJa02,Jayden Daniels,NewtCa00,Cam Newton,comp,False,True,,2.0,4,1,2012,2011,4762.437858306812,6.812489191375416,True,2015.0
DaniJa02,Jayden Daniels,NewtCa00,Cam Newton,comp,False,True,,2.0,4,2,2013,2011,4083.823476851485,5.817187117247523,True,2015.0
DaniJa02,Jayden Daniels,NewtCa00,Cam Newton,comp,False,True,,2.0,4,3,2014,2011,3766.465337019326,5.560523099147151,True,2015.0
