target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
FlacJo00,Joe Flacco,FlacJo00,Joe Flacco,target,False,False,,,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
FlacJo00,Joe Flacco,FlacJo00,Joe Flacco,target,False,False,,,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
FlacJo00,Joe Flacco,FlacJo00,Joe Flacco,target,False,False,,,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
FlacJo00,Joe Flacco,FlacJo00,Joe Flacco,target,False,False,,,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
FlacJo00,Joe Flacco,LuckAn00,Andrew Luck,comp,False,True,,5.0,4,0,2012,2012,4782.066127137144,5.7982990711556175,True,2016.0
FlacJo00,Joe Flacco,LuckAn00,Andrew Luck,comp,False,True,,5.0,4,1,2013,2012,4325.927038168362,6.195457632780314,True,2016.0
FlacJo00,Joe Flacco,LuckAn00,Andrew Luck,comp,False,True,,5.0,4,2,2014,2012,5171.95485721639,7.427634525099314,True,2016.0
FlacJo00,Joe Flacco,LuckAn00,Andrew Luck,comp,False,True,,5.0,4,3,2015,2012,2128.087452992904,5.1318014970889925,True,2016.0
FlacJo00,Joe Flacco,MayfBa00,Baker Mayfield,comp,True,False,1.0,,4,0,2018,2018,3918.715847308615,6.851712364628398,False,
FlacJo00,Joe Flacco,MayfBa00,Baker Mayfield,comp,True,False,1.0,,4,1,2019,2018,4021.635831344833,5.343100764534403,False,
FlacJo00,Joe Flacco,MayfBa00,Baker Mayfield,comp,True,False,1.0,,4,2,2020,2018,3768.2046927869214,7.015779333058874,False,
FlacJo00,Joe Flacco,MayfBa00,Baker Mayfield,comp,True,False,1.0,,4,3,2021,2018,3169.36152160552,5.442452887038458,False,
FlacJo00,Joe Flacco,MurrKy00,Kyler Murray,comp,False,True,,2.0,4,0,2019,2019,4323.663925533533,5.605710631978438,True,2022.0
FlacJo00,Joe Flacco,MurrKy00,Kyler Murray,comp,False,True,,2.0,4,1,2020,2019,4841.657853661309,6.501692054343353,True,2022.0
