target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
GrosRe00,Rex Grossman,RivePh00,Philip Rivers,comp,True,False,5.0,,4,0,2004,2004,29.57790048474221,6.904471885898999,False,
GrosRe00,Rex Grossman,RivePh00,Philip Rivers,comp,True,False,5.0,,4,1,2005,2004,120.0859454173704,2.2447741935483867,False,
GrosRe00,Rex Grossman,RivePh00,Philip Rivers,comp,True,False,5.0,,4,2,2006,2004,3610.3417132896593,6.979716770677434,False,
GrosRe00,Rex Grossman,RivePh00,Philip Rivers,comp,True,False,5.0,,4,3,2007,2004,3336.2844399517244,5.868288620864565,False,
GrosRe00,Rex Grossman,JoneMa05,Mac Jones,comp,False,True,,1.0,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
GrosRe00,Rex Grossman,JoneMa05,Mac Jones,comp,False,True,,1.0,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
GrosRe00,Rex Grossman,JoneMa05,Mac Jones,comp,False,True,,1.0,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
GrosRe00,Rex Grossman,JoneMa05,Mac Jones,comp,False,True,,1.0,4,3,2024,2021,1764.0,4.97,False,
GrosRe00,Rex Grossman,RodgAa00,Aaron Rodgers,comp,True,False,1.0,,4,0,2005,2005,75.84375500044446,-0.4364838709677418,True,2008.0
GrosRe00,Rex Grossman,RodgAa00,Aaron Rodgers,comp,True,False,1.0,,4,1,2006,2005,59.87473891693645,1.617883827972778,True,2008.0
GrosRe00,Rex Grossman,RodgAa00,Aaron Rodgers,comp,True,False,1.0,,4,2,2007,2005,258.7322626901337,7.141303612692328,True,2008.0
GrosRe00,Rex Grossman,RodgAa00,Aaron Rodgers,comp,True,False,1.0,,4,3,2008,2005,4434.243873084627,6.858102871284342,True,2008.0
GrosRe00,Rex Grossman,GrosRe00,Rex Grossman,target,False,False,,,4,0,2003,2003,461.871570718352,5.363891004148434,False,
GrosRe00,Rex Grossman,GrosRe00,Rex Grossman,target,False,False,,,4,1,2004,2003,691.9116006252196,5.49858394533133,False,
GrosRe00,Rex Grossman,GrosRe00,Rex Grossman,target,False,False,,,4,2,2005,2003,272.82684090437664,4.676612903225806,False,
GrosRe00,Rex Grossman,GrosRe00,Rex Grossman,target,False,False,,,4,3,2006,2003,3356.136681396701,5.403317143421906,False,
GrosRe00,Rex Grossman,LockJa00,Jake Locker,comp,True,False,2.0,,4,0,2011,2011,619.480954830548,8.45856336296048,False,
GrosRe00,Rex Grossman,LockJa00,Jake Locker,comp,True,False,2.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,False,
GrosRe00,Rex Grossman,LockJa00,Jake Locker,comp,True,False,2.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,False,
GrosRe00,Rex Grossman,LockJa00,Jake Locker,comp,True,False,2.0,,4,3,2014,2011,1166.1042437307517,4.417810095285718,False,
GrosRe00,Rex Grossman,TrubMi00,Mitchell Trubisky,comp,False,True,,5.0,4,0,2017,2017,2487.444436599084,5.121254417936823,False,
GrosRe00,Rex Grossman,TrubMi00,Mitchell Trubisky,comp,False,True,,5.0,4,1,2018,2017,3703.2677768652993,6.669539805450686,False,
GrosRe00,Rex Grossman,TrubMi00,Mitchell Trubisky,comp,False,True,,5.0,4,2,2019,2017,3376.025442089123,5.090591276607446,False,
GrosRe00,Rex Grossman,TrubMi00,Mitchell Trubisky,comp,False,True,,5.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,False,
GrosRe00,Rex Grossman,DarnSa00,Sam Darnold,comp,False,True,,2.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,False,
GrosRe00,Rex Grossman,DarnSa00,Sam Darnold,comp,False,True,,2.0,4,1,2019,2018,3127.71375391385,5.555208734393046,False,
GrosRe00,Rex Grossman,DarnSa00,Sam Darnold,comp,False,True,,2.0,4,2,2020,2018,2451.152462448575,4.193339371483465,False,
GrosRe00,Rex Grossman,DarnSa00,Sam Darnold,comp,False,True,,2.0,4,3,2021,2018,2771.175198121366,4.376094280705599,False,
GrosRe00,Rex Grossman,PennCh01,Chad Pennington,comp,True,False,3.0,,4,0,2000,2000,71.58247633208632,14.522785132237312,True,2004.0
GrosRe00,Rex Grossman,PennCh01,Chad Pennington,comp,True,False,3.0,,4,1,2001,2000,109.73198834170935,5.187133359963479,True,2004.0
GrosRe00,Rex Grossman,PennCh01,Chad Pennington,comp,True,False,3.0,,4,2,2002,2000,3366.556275501809,7.8324999288175166,True,2004.0
GrosRe00,Rex Grossman,PennCh01,Chad Pennington,comp,True,False,3.0,,4,3,2003,2000,2310.41719205671,5.509989202705007,True,2004.0
GrosRe00,Rex Grossman,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,0,2019,2019,3350.687514724299,5.434004180188107,True,2023.0
GrosRe00,Rex Grossman,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,1,2020,2019,3402.3006963306816,4.95943021819679,True,2023.0
GrosRe00,Rex Grossman,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,2,2021,2019,2747.989665361529,5.653712610934591,True,2023.0
GrosRe00,Rex Grossman,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,3,2022,2019,3933.9867485377777,5.913507831934611,True,2023.0
GrosRe00,Rex Grossman,VickMi00,Michael Vick,comp,True,True,4.0,3.0,4,0,2001,2001,1144.1956842620957,4.516473693220725,True,2004.0
GrosRe00,Rex Grossman,VickMi00,Michael Vick,comp,True,True,4.0,3.0,4,1,2002,2001,3944.469375493284,6.201164830158594,True,2004.0
GrosRe00,Rex Grossman,VickMi00,Michael Vick,comp,True,True,4.0,3.0,4,2,2003,2001,889.8443105582928,4.466430641586634,True,2004.0
GrosRe00,Rex Grossman,VickMi00,Michael Vick,comp,True,True,4.0,3.0,4,3,2004,2001,3396.1767878016503,5.071610570788556,True,2004.0
