target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
JoneMa05,Mac Jones,JoneMa05,Mac Jones,target,False,False,,,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
JoneMa05,Mac Jones,JoneMa05,Mac Jones,target,False,False,,,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
JoneMa05,Mac Jones,JoneMa05,Mac Jones,target,False,False,,,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
JoneMa05,Mac Jones,JoneMa05,Mac Jones,target,False,False,,,4,3,2024,2021,1764.0,4.97,False,
JoneMa05,Mac Jones,HarrJo00,Joey Harrington,comp,True,False,4.0,,4,0,2002,2002,2441.257911361047,4.161995956834942,False,
JoneMa05,Mac Jones,HarrJo00,Joey Harrington,comp,True,False,4.0,,4,1,2003,2002,3141.997887042734,4.028136045916917,False,
JoneMa05,Mac Jones,HarrJo00,Joey Harrington,comp,True,False,4.0,,4,2,2004,2002,3403.571262922836,5.342374174157143,False,
JoneMa05,Mac Jones,HarrJo00,Joey Harrington,comp,True,False,4.0,,4,3,2005,2002,2213.162906332414,4.655827956989247,False,
JoneMa05,Mac Jones,FielJu00,Justin Fields,comp,True,False,5.0,,4,0,2021,2021,2308.472609566362,4.265434425331435,False,
JoneMa05,Mac Jones,FielJu00,Justin Fields,comp,True,False,5.0,,4,1,2022,2021,3403.15490513682,4.648478991826358,False,
JoneMa05,Mac Jones,FielJu00,Justin Fields,comp,True,False,5.0,,4,2,2023,2021,3227.609208312437,5.300535548644078,False,
JoneMa05,Mac Jones,FielJu00,Justin Fields,comp,True,False,5.0,,4,3,2024,2021,1395.0,5.86,False,
JoneMa05,Mac Jones,LeftBy00,Byron Leftwich,comp,True,False,1.0,,4,0,2003,2003,3100.68368690967,5.468246860260272,False,
JoneMa05,Mac Jones,LeftBy00,Byron Leftwich,comp,True,False,1.0,,4,1,2004,2003,3263.0762356203104,5.977627243598832,False,
JoneMa05,Mac Jones,LeftBy00,Byron Leftwich,comp,True,False,1.0,,4,2,2005,2003,2306.9142145968526,6.671967741935482,False,
JoneMa05,Mac Jones,LeftBy00,Byron Leftwich,comp,True,False,1.0,,4,3,2006,2003,1260.5208193039252,5.5381407957529705,False,
JoneMa05,Mac Jones,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,0,2003,2003,461.871570718352,5.363891004148434,False,
JoneMa05,Mac Jones,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,1,2004,2003,691.9116006252196,5.49858394533133,False,
JoneMa05,Mac Jones,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,2,2005,2003,272.82684090437664,4.676612903225806,False,
JoneMa05,Mac Jones,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,3,2006,2003,3356.136681396701,5.403317143421906,False,
JoneMa05,Mac Jones,DarnSa00,Sam Darnold,comp,True,True,2.0,2.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,False,
JoneMa05,Mac Jones,DarnSa00,Sam Darnold,comp,True,True,2.0,2.0,4,1,2019,2018,3127.71375391385,5.555208734393046,False,
JoneMa05,Mac Jones,DarnSa00,Sam Darnold,comp,True,True,2.0,2.0,4,2,2020,2018,2451.152462448575,4.193339371483465,False,
JoneMa05,Mac Jones,DarnSa00,Sam Darnold,comp,True,True,2.0,2.0,4,3,2021,2018,2771.175198121366,4.376094280705599,False,
JoneMa05,Mac Jones,BradSa00,Sam Bradford,comp,True,False,3.0,,4,0,2010,2010,3713.6803157792738,4.865388881109089,False,
JoneMa05,Mac Jones,BradSa00,Sam Bradford,comp,True,False,3.0,,4,1,2011,2010,2268.667710834281,4.609095813069485,False,
JoneMa05,Mac Jones,BradSa00,Sam Bradford,comp,True,False,3.0,,4,2,2012,2010,3952.5135023604903,5.777810381858247,False,
JoneMa05,Mac Jones,BradSa00,Sam Bradford,comp,True,False,3.0,,4,3,2013,2010,1769.931567414443,6.236351742567642,False,
JoneMa05,Mac Jones,ManuEJ00,EJ Manuel,comp,False,True,,4.0,4,0,2013,2013,2223.231852433276,4.9788578666072825,False,
JoneMa05,Mac Jones,ManuEJ00,EJ Manuel,comp,False,True,,4.0,4,1,2014,2013,914.3901118241135,5.652348251243159,False,
JoneMa05,Mac Jones,ManuEJ00,EJ Manuel,comp,False,True,,4.0,4,2,2015,2013,640.3729697258377,4.989251455503188,False,
JoneMa05,Mac Jones,ManuEJ00,EJ Manuel,comp,False,True,,4.0,4,3,2016,2013,156.33604090463902,3.891885288990952,False,
JoneMa05,Mac Jones,JoneDa05,Daniel Jones,comp,False,True,,3.0,4,0,2019,2019,3350.687514724299,5.434004180188107,True,2023.0
JoneMa05,Mac Jones,JoneDa05,Daniel Jones,comp,False,True,,3.0,4,1,2020,2019,3402.3006963306816,4.95943021819679,True,2023.0
JoneMa05,Mac Jones,JoneDa05,Daniel Jones,comp,False,True,,3.0,4,2,2021,2019,2747.989665361529,5.653712610934591,True,2023.0
JoneMa05,Mac Jones,JoneDa05,Daniel Jones,comp,False,True,,3.0,4,3,2022,2019,3933.9867485377777,5.913507831934611,True,2023.0
JoneMa05,Mac Jones,VickMi00,Michael Vick,comp,False,True,,5.0,4,0,2001,2001,1144.1956842620957,4.516473693220725,True,2004.0
JoneMa05,Mac Jones,VickMi00,Michael Vick,comp,False,True,,5.0,4,1,2002,2001,3944.469375493284,6.201164830158594,True,2004.0
JoneMa05,Mac Jones,VickMi00,Michael Vick,comp,False,True,,5.0,4,2,2003,2001,889.8443105582928,4.466430641586634,True,2004.0
JoneMa05,Mac Jones,VickMi00,Michael Vick,comp,False,True,,5.0,4,3,2004,2001,3396.1767878016503,5.071610570788556,True,2004.0
