target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,False,False,,,4,0,2017,2017,299.59388134376513,6.135364203666886,True,2020.0
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,False,False,,,4,1,2018,2017,5456.3240104253,8.997300283832566,True,2020.0
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,False,False,,,4,2,2019,2017,4306.434134925453,8.464118035311587,True,2020.0
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,False,False,,,4,3,2020,2017,5102.440259975425,8.396758885686841,True,2020.0
MahoPa00,Patrick Mahomes,WatsDe00,Deshaun Watson,comp,True,True,1.0,1.0,4,0,2017,2017,2005.4447567501013,7.291449359399159,True,2020.0
MahoPa00,Patrick Mahomes,WatsDe00,Deshaun Watson,comp,True,True,1.0,1.0,4,1,2018,2017,4792.703302880557,6.952919341949349,True,2020.0
MahoPa00,Patrick Mahomes,WatsDe00,Deshaun Watson,comp,True,True,1.0,1.0,4,2,2019,2017,4322.65040843894,6.69655161982289,True,2020.0
MahoPa00,Patrick Mahomes,WatsDe00,Deshaun Watson,comp,True,True,1.0,1.0,4,3,2020,2017,5323.8020699862445,8.28587731576781,True,2020.0
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,True,False,4.0,,4,0,2004,2004,1138.7491686625751,3.342889103127569,False,
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,True,False,4.0,,4,1,2005,2004,4047.1070376626058,5.850962365591397,False,
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,True,False,4.0,,4,2,2006,2004,3429.6670625227634,5.175154039477027,False,
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,True,False,4.0,,4,3,2007,2004,3566.734228582613,4.988562813503916,False,
MahoPa00,Patrick Mahomes,JackLa00,Lamar Jackson,comp,True,True,5.0,3.0,4,0,2018,2018,1926.8374601911655,6.062297941524979,True,2023.0
MahoPa00,Patrick Mahomes,JackLa00,Lamar Jackson,comp,True,True,5.0,3.0,4,1,2019,2018,4391.569570871261,8.2722108244871,True,2023.0
MahoPa00,Patrick Mahomes,JackLa00,Lamar Jackson,comp,True,True,5.0,3.0,4,2,2020,2018,3802.571366487232,6.753695622341158,True,2023.0
MahoPa00,Patrick Mahomes,JackLa00,Lamar Jackson,comp,True,True,5.0,3.0,4,3,2021,2018,3678.435175680198,5.814672400569739,True,2023.0
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,True,False,2.0,,4,0,2016,2016,1129.0936287557265,2.865565669700909,False,
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,True,False,2.0,,4,1,2017,2016,3928.348342109573,7.828927545836092,False,
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,True,False,2.0,,4,2,2018,2016,4874.004461538413,7.78281655598115,False,
