target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
MariMa01,Marcus Mariota,FlacJo00,Joe Flacco,comp,True,False,3.0,,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
MariMa01,Marcus Mariota,FlacJo00,Joe Flacco,comp,True,False,3.0,,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
MariMa01,Marcus Mariota,FlacJo00,Joe Flacco,comp,True,False,3.0,,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
MariMa01,Marcus Mariota,FlacJo00,Joe Flacco,comp,True,False,3.0,,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
MariMa01,Marcus Mariota,HarrJo00,Joey Harrington,comp,True,False,5.0,,4,0,2002,2002,2441.257911361047,4.161995956834942,False,
MariMa01,Marcus Mariota,HarrJo00,Joey Harrington,comp,True,False,5.0,,4,1,2003,2002,3141.997887042734,4.028136045916917,False,
MariMa01,Marcus Mariota,HarrJo00,Joey Harrington,comp,True,False,5.0,,4,2,2004,2002,3403.571262922836,5.342374174157143,False,
MariMa01,Marcus Mariota,HarrJo00,Joey Harrington,comp,True,False,5.0,,4,3,2005,2002,2213.162906332414,4.655827956989247,False,
MariMa01,Marcus Mariota,MayfBa00,Baker Mayfield,comp,True,False,2.0,,4,0,2018,2018,3918.715847308615,6.851712364628398,False,
MariMa01,Marcus Mariota,MayfBa00,Baker Mayfield,comp,True,False,2.0,,4,1,2019,2018,4021.635831344833,5.343100764534403,False,
MariMa01,Marcus Mariota,MayfBa00,Baker Mayfield,comp,True,False,2.0,,4,2,2020,2018,3768.2046927869214,7.015779333058874,False,
MariMa01,Marcus Mariota,MayfBa00,Baker Mayfield,comp,True,False,2.0,,4,3,2021,2018,3169.36152160552,5.442452887038458,False,
MariMa01,Marcus Mariota,BurrJo01,Joe Burrow,comp,False,True,,3.0,4,0,2020,2020,2860.520193290502,5.765841635789764,True,2023.0
MariMa01,Marcus Mariota,BurrJo01,Joe Burrow,comp,False,True,,3.0,4,1,2021,2020,4767.147148750797,7.555050125999782,True,2023.0
MariMa01,Marcus Mariota,BurrJo01,Joe Burrow,comp,False,True,,3.0,4,2,2022,2020,4757.379323813127,6.786980126295071,True,2023.0
MariMa01,Marcus Mariota,BurrJo01,Joe Burrow,comp,False,True,,3.0,4,3,2023,2020,2403.410771147845,5.561053363889344,True,2023.0
MariMa01,Marcus Mariota,JackLa00,Lamar Jackson,comp,False,True,,5.0,4,0,2018,2018,1926.8374601911655,6.062297941524979,True,2023.0
MariMa01,Marcus Mariota,JackLa00,Lamar Jackson,comp,False,True,,5.0,4,1,2019,2018,4391.569570871261,8.2722108244871,True,2023.0
MariMa01,Marcus Mariota,JackLa00,Lamar Jackson,comp,False,True,,5.0,4,2,2020,2018,3802.571366487232,6.753695622341158,True,2023.0
