target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
NewtCa00,Cam Newton,WinsJa00,Jameis Winston,comp,True,False,1.0,,4,0,2015,2015,4359.659177893504,6.557301912947047,False,
NewtCa00,Cam Newton,WinsJa00,Jameis Winston,comp,True,False,1.0,,4,1,2016,2015,4347.776823851235,6.076625072628171,False,
NewtCa00,Cam Newton,WinsJa00,Jameis Winston,comp,True,False,1.0,,4,2,2017,2015,3708.2385517345615,6.794535564391428,False,
NewtCa00,Cam Newton,WinsJa00,Jameis Winston,comp,True,False,1.0,,4,3,2018,2015,3326.2336535894965,6.457005153076689,False,
NewtCa00,Cam Newton,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
NewtCa00,Cam Newton,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
NewtCa00,Cam Newton,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
NewtCa00,Cam Newton,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
NewtCa00,Cam Newton,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,0,2018,2018,3918.715847308615,6.851712364628398,False,
NewtCa00,Cam Newton,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,1,2019,2018,4021.635831344833,5.343100764534403,False,
NewtCa00,Cam Newton,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,2,2020,2018,3768.2046927869214,7.015779333058874,False,
NewtCa00,Cam Newton,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,3,2021,2018,3169.36152160552,5.442452887038458,False,
NewtCa00,Cam Newton,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,0,2020,2020,2860.520193290502,5.765841635789764,True,2023.0
NewtCa00,Cam Newton,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,1,2021,2020,4767.147148750797,7.555050125999782,True,2023.0
NewtCa00,Cam Newton,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,2,2022,2020,4757.379323813127,6.786980126295071,True,2023.0
NewtCa00,Cam Newton,BurrJo01,Joe Burrow,comp,False,True,,5.0,4,3,2023,2020,2403.410771147845,5.561053363889344,True,2023.0
NewtCa00,Cam Newton,MurrKy00,Kyler Murray,comp,True,False,3.0,,4,0,2019,2019,4323.663925533533,5.605710631978438,True,2022.0
