target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
PeniMi00,Michael Penix,PeniMi00,Michael Penix,target,False,False,,,4,0,2024,2024,786.0,6.29,False,
PeniMi00,Michael Penix,MahoPa00,Patrick Mahomes,comp,False,True,,5.0,4,0,2017,2017,299.59388134376513,6.135364203666886,True,2020.0
PeniMi00,Michael Penix,MahoPa00,Patrick Mahomes,comp,False,True,,5.0,4,1,2018,2017,5456.3240104253,8.997300283832566,True,2020.0
PeniMi00,Michael Penix,MahoPa00,Patrick Mahomes,comp,False,True,,5.0,4,2,2019,2017,4306.434134925453,8.464118035311587,True,2020.0
PeniMi00,Michael Penix,MahoPa00,Patrick Mahomes,comp,False,True,,5.0,4,3,2020,2017,5102.440259975425,8.396758885686841,True,2020.0
PeniMi00,Michael Penix,JoneMa05,Mac Jones,comp,False,True,,1.0,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
PeniMi00,Michael Penix,JoneMa05,Mac Jones,comp,False,True,,1.0,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
PeniMi00,Michael Penix,JoneMa05,Mac Jones,comp,False,True,,1.0,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
PeniMi00,Michael Penix,JoneMa05,Mac Jones,comp,False,True,,1.0,4,3,2024,2021,1764.0,4.97,False,
PeniMi00,Michael Penix,LyncPa00,Paxton Lynch,comp,True,False,5.0,,4,0,2016,2016,533.3817866158273,4.969012810226046,False,
PeniMi00,Michael Penix,LyncPa00,Paxton Lynch,comp,True,False,5.0,,4,1,2017,2016,331.1837123698084,2.798943008614976,False,
PeniMi00,Michael Penix,RichAn03,Anthony Richardson,comp,True,True,2.0,3.0,4,0,2023,2023,714.9069169079738,6.20232798603154,False,
PeniMi00,Michael Penix,RichAn03,Anthony Richardson,comp,True,True,2.0,3.0,4,1,2024,2023,2313.0,4.74,False,
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,True,False,4.0,,4,0,2011,2011,619.480954830548,8.45856336296048,False,
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,True,False,4.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,False,
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,True,False,4.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,False,
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,True,False,4.0,,4,3,2014,2011,1166.1042437307517,4.417810095285718,False,
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,False,True,,2.0,4,0,2015,2015,3145.512027293315,6.21110895481009,False,
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,False,True,,2.0,4,1,2016,2015,3857.310813170015,7.255368397753367,False,
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,False,True,,2.0,4,2,2017,2015,3611.431005041849,5.587744919372652,False,
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,False,True,,2.0,4,3,2018,2015,2931.9230340988997,5.819401195954696,False,
PeniMi00,Michael Penix,LancTr00,Trey Lance,comp,True,False,1.0,,4,0,2021,2021,777.2193807753995,8.017809521200833,False,
PeniMi00,Michael Penix,LancTr00,Trey Lance,comp,True,False,1.0,,4,1,2022,2021,262.39983168115515,4.2569224460785655,False,
PeniMi00,Michael Penix,LancTr00,Trey Lance,comp,True,False,1.0,,4,3,2024,2021,307.0,4.4,False,
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,False,True,,4.0,4,0,2011,2011,4927.877762757386,6.405514003018616,True,2015.0
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,False,True,,4.0,4,1,2012,2011,4762.437858306812,6.812489191375416,True,2015.0
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,False,True,,4.0,4,2,2013,2011,4083.823476851485,5.817187117247523,True,2015.0
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,False,True,,4.0,4,3,2014,2011,3766.465337019326,5.560523099147151,True,2015.0
PeniMi00,Michael Penix,TeboTi00,Tim Tebow,comp,True,False,3.0,,4,0,2010,2010,915.1754848116196,6.932921999719928,False,
PeniMi00,Michael Penix,TeboTi00,Tim Tebow,comp,True,False,3.0,,4,1,2011,2010,2474.816055334748,4.97864469785902,False,
PeniMi00,Michael Penix,TeboTi00,Tim Tebow,comp,True,False,3.0,,4,2,2012,2010,145.66241605667255,3.2781902875791475,False,
