target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
RamsPa00,Patrick Ramsey,GabbBl00,Blaine Gabbert,comp,True,False,4.0,,4,0,2011,2011,2395.050112990346,3.77761082229303,False,
RamsPa00,Patrick Ramsey,GabbBl00,Blaine Gabbert,comp,True,False,4.0,,4,1,2012,2011,1774.8087289742089,4.825086329530557,False,
RamsPa00,Patrick Ramsey,GabbBl00,Blaine Gabbert,comp,True,False,4.0,,4,2,2013,2011,528.5069232151393,1.2370468210666965,False,
RamsPa00,Patrick Ramsey,GabbBl00,Blaine Gabbert,comp,True,False,4.0,,4,3,2014,2011,44.17839866116503,8.458116787510068,False,
RamsPa00,Patrick Ramsey,BollKy00,Kyle Boller,comp,True,True,1.0,1.0,4,0,2003,2003,1400.4454506643608,3.9133446041938966,False,
RamsPa00,Patrick Ramsey,BollKy00,Kyle Boller,comp,True,True,1.0,1.0,4,1,2004,2003,2902.8596618597003,4.332217653897411,False,
RamsPa00,Patrick Ramsey,BollKy00,Kyle Boller,comp,True,True,1.0,1.0,4,2,2005,2003,1964.5639316087352,4.385623655913977,False,
RamsPa00,Patrick Ramsey,BollKy00,Kyle Boller,comp,True,True,1.0,1.0,4,3,2006,2003,545.1752543489476,8.566487448112273,False,
RamsPa00,Patrick Ramsey,YounVi00,Vince Young,comp,False,True,,2.0,4,0,2006,2006,2889.7439782542488,4.68771468104933,False,
RamsPa00,Patrick Ramsey,YounVi00,Vince Young,comp,False,True,,2.0,4,1,2007,2006,3080.6946743792846,4.584923913656088,False,
RamsPa00,Patrick Ramsey,YounVi00,Vince Young,comp,False,True,,2.0,4,2,2008,2006,256.96678275119393,3.604635394696138,False,
RamsPa00,Patrick Ramsey,YounVi00,Vince Young,comp,False,True,,2.0,4,3,2009,2006,2250.024512669196,6.648213684328694,False,
RamsPa00,Patrick Ramsey,LockJa00,Jake Locker,comp,True,False,3.0,,4,0,2011,2011,619.480954830548,8.45856336296048,False,
RamsPa00,Patrick Ramsey,LockJa00,Jake Locker,comp,True,False,3.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,False,
RamsPa00,Patrick Ramsey,LockJa00,Jake Locker,comp,True,False,3.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,False,
