target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
RichAn03,Anthony Richardson,JoneMa05,Mac Jones,comp,False,True,,1.0,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
RichAn03,Anthony Richardson,JoneMa05,Mac Jones,comp,False,True,,1.0,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
RichAn03,Anthony Richardson,JoneMa05,Mac Jones,comp,False,True,,1.0,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
RichAn03,Anthony Richardson,JoneMa05,Mac Jones,comp,False,True,,1.0,4,3,2024,2021,1764.0,4.97,False,
RichAn03,Anthony Richardson,MayfBa00,Baker Mayfield,comp,False,True,,5.0,4,0,2018,2018,3918.715847308615,6.851712364628398,False,
RichAn03,Anthony Richardson,MayfBa00,Baker Mayfield,comp,False,True,,5.0,4,1,2019,2018,4021.635831344833,5.343100764534403,False,
RichAn03,Anthony Richardson,MayfBa00,Baker Mayfield,comp,False,True,,5.0,4,2,2020,2018,3768.2046927869214,7.015779333058874,False,
RichAn03,Anthony Richardson,MayfBa00,Baker Mayfield,comp,False,True,,5.0,4,3,2021,2018,3169.36152160552,5.442452887038458,False,
RichAn03,Anthony Richardson,BollKy00,Kyle Boller,comp,True,False,5.0,,4,0,2003,2003,1400.4454506643608,3.9133446041938966,False,
RichAn03,Anthony Richardson,BollKy00,Kyle Boller,comp,True,False,5.0,,4,1,2004,2003,2902.8596618597003,4.332217653897411,False,
RichAn03,Anthony Richardson,BollKy00,Kyle Boller,comp,True,False,5.0,,4,2,2005,2003,1964.5639316087352,4.385623655913977,False,
RichAn03,Anthony Richardson,BollKy00,Kyle Boller,comp,True,False,5.0,,4,3,2006,2003,545.1752543489476,8.566487448112273,False,
RichAn03,Anthony Richardson,RichAn03,Anthony Richardson,target,False,False,,,4,0,2023,2023,714.9069169079738,6.20232798603154,False,
RichAn03,Anthony Richardson,RichAn03,Anthony Richardson,target,False,False,,,4,1,2024,2023,2313.0,4.74,False,
RichAn03,Anthony Richardson,LockJa00,Jake Locker,comp,True,False,1.0,,4,0,2011,2011,619.480954830548,8.45856336296048,False,
RichAn03,Anthony Richardson,LockJa00,Jake Locker,comp,True,False,1.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,False,
RichAn03,Anthony Richardson,LockJa00,Jake Locker,comp,True,False,1.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,False,
RichAn03,Anthony Richardson,LockJa00,Jake Locker,comp,True,False,1.0,,4,3,2014,2011,1166.1042437307517,4.417810095285718,False,
RichAn03,Anthony Richardson,ManzJo00,Johnny Manziel,comp,True,False,4.0,,4,0,2014,2014,209.59054248552715,1.5814331749868045,False,
RichAn03,Anthony Richardson,ManzJo00,Johnny Manziel,comp,True,False,4.0,,4,1,2015,2014,1772.5523802011187,5.355808705295258,False,
RichAn03,Anthony Richardson,RussJa00,JaMarcus Russell,comp,True,False,3.0,,4,0,2007,2007,394.9071377902041,2.7737237220312227,False,
RichAn03,Anthony Richardson,RussJa00,JaMarcus Russell,comp,True,False,3.0,,4,1,2008,2007,2663.6800651038398,5.4740881352119,False,
RichAn03,Anthony Richardson,RussJa00,JaMarcus Russell,comp,True,False,3.0,,4,2,2009,2007,1386.4734381308797,2.3809881567130677,False,
RichAn03,Anthony Richardson,QuinBr00,Brady Quinn,comp,False,True,,2.0,4,0,2007,2007,47.13745676540898,5.826889759341711,False,
RichAn03,Anthony Richardson,QuinBr00,Brady Quinn,comp,False,True,,2.0,4,1,2008,2007,563.0288451337135,5.267518771618998,False,
RichAn03,Anthony Richardson,QuinBr00,Brady Quinn,comp,False,True,,2.0,4,2,2009,2007,1496.8913077340903,4.05077205882353,False,
RichAn03,Anthony Richardson,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,0,2019,2019,3350.687514724299,5.434004180188107,True,2023.0
RichAn03,Anthony Richardson,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,1,2020,2019,3402.3006963306816,4.95943021819679,True,2023.0
RichAn03,Anthony Richardson,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,2,2021,2019,2747.989665361529,5.653712610934591,True,2023.0
RichAn03,Anthony Richardson,JoneDa05,Daniel Jones,comp,False,True,,4.0,4,3,2022,2019,3933.9867485377777,5.913507831934611,True,2023.0
RichAn03,Anthony Richardson,TeboTi00,Tim Tebow,comp,True,True,2.0,3.0,4,0,2010,2010,915.1754848116196,6.932921999719928,False,
RichAn03,Anthony Richardson,TeboTi00,Tim Tebow,comp,True,True,2.0,3.0,4,1,2011,2010,2474.816055334748,4.97864469785902,False,
RichAn03,Anthony Richardson,TeboTi00,Tim Tebow,comp,True,True,2.0,3.0,4,2,2012,2010,145.66241605667255,3.2781902875791475,False,
