target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
RoetBe00,Ben Roethlisberger,WatsDe00,Deshaun Watson,comp,False,True,,5.0,4,0,2017,2017,2005.4447567501013,7.291449359399159,True,2020.0
RoetBe00,Ben Roethlisberger,WatsDe00,Deshaun Watson,comp,False,True,,5.0,4,1,2018,2017,4792.703302880557,6.952919341949349,True,2020.0
RoetBe00,Ben Roethlisberger,WatsDe00,Deshaun Watson,comp,False,True,,5.0,4,2,2019,2017,4322.65040843894,6.69655161982289,True,2020.0
RoetBe00,Ben Roethlisberger,WatsDe00,Deshaun Watson,comp,False,True,,5.0,4,3,2020,2017,5323.8020699862445,8.28587731576781,True,2020.0
RoetBe00,Ben Roethlisberger,FlacJo00,Joe Flacco,comp,True,False,4.0,,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
RoetBe00,Ben Roethlisberger,FlacJo00,Joe Flacco,comp,True,False,4.0,,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
RoetBe00,Ben Roethlisberger,FlacJo00,Joe Flacco,comp,True,False,4.0,,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
RoetBe00,Ben Roethlisberger,FlacJo00,Joe Flacco,comp,True,False,4.0,,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
RoetBe00,Ben Roethlisberger,JackLa00,Lamar Jackson,comp,False,True,,4.0,4,0,2018,2018,1926.8374601911655,6.062297941524979,True,2023.0
RoetBe00,Ben Roethlisberger,JackLa00,Lamar Jackson,comp,False,True,,4.0,4,1,2019,2018,4391.569570871261,8.2722108244871,True,2023.0
RoetBe00,Ben Roethlisberger,JackLa00,Lamar Jackson,comp,False,True,,4.0,4,2,2020,2018,3802.571366487232,6.753695622341158,True,2023.0
RoetBe00,Ben Roethlisberger,JackLa00,Lamar Jackson,comp,False,True,,4.0,4,3,2021,2018,3678.435175680198,5.814672400569739,True,2023.0
RoetBe00,Ben Roethlisberger,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,0,2009,2009,2656.278938567801,4.195074371351595,True,2012.0
RoetBe00,Ben Roethlisberger,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,1,2010,2009,3527.7366020661298,5.533994118470803,True,2012.0
RoetBe00,Ben Roethlisberger,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,2,2011,2009,3705.490594362659,5.183949633853207,True,2012.0
RoetBe00,Ben Roethlisberger,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,3,2012,2009,3007.257398162935,4.466534266826589,True,2012.0
RoetBe00,Ben Roethlisberger,RyanMa00,Matt Ryan,comp,True,False,3.0,,4,0,2008,2008,3701.993000285493,7.24025619393121,True,2013.0
RoetBe00,Ben Roethlisberger,RyanMa00,Matt Ryan,comp,True,False,3.0,,4,1,2009,2008,3088.575314844521,5.772092501122587,True,2013.0
RoetBe00,Ben Roethlisberger,RyanMa00,Matt Ryan,comp,True,False,3.0,,4,2,2010,2008,3975.4558233530856,6.408324044251506,True,2013.0
RoetBe00,Ben Roethlisberger,RyanMa00,Matt Ryan,comp,True,False,3.0,,4,3,2011,2008,4414.060783499942,7.011163564201466,True,2013.0
RoetBe00,Ben Roethlisberger,RoetBe00,Ben Roethlisberger,target,False,False,,,4,0,2004,2004,2920.8176728682934,7.2168914282473695,True,2008.0
RoetBe00,Ben Roethlisberger,RoetBe00,Ben Roethlisberger,target,False,False,,,4,1,2005,2004,2585.007982931816,7.8255322580645155,True,2008.0
RoetBe00,Ben Roethlisberger,RoetBe00,Ben Roethlisberger,target,False,False,,,4,2,2006,2004,3793.117232088729,5.154411939118401,True,2008.0
RoetBe00,Ben Roethlisberger,RoetBe00,Ben Roethlisberger,target,False,False,,,4,3,2007,2004,3517.501773738741,6.779063574367354,True,2008.0
RoetBe00,Ben Roethlisberger,CarrDa00,David Carr,comp,True,False,1.0,,4,0,2002,2002,3053.1658995873145,3.3881575125992995,False,
RoetBe00,Ben Roethlisberger,CarrDa00,David Carr,comp,True,False,1.0,,4,1,2003,2002,2292.4084381525545,5.113436949480025,False,
RoetBe00,Ben Roethlisberger,CarrDa00,David Carr,comp,True,False,1.0,,4,2,2004,2002,4045.8342448772382,5.904729350384211,False,
RoetBe00,Ben Roethlisberger,CarrDa00,David Carr,comp,True,False,1.0,,4,3,2005,2002,2945.265819183927,3.917962365591397,False,
RoetBe00,Ben Roethlisberger,MariMa01,Marcus Mariota,comp,True,True,5.0,2.0,4,0,2015,2015,3145.512027293315,6.21110895481009,False,
