target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
StafMa00,Matthew Stafford,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
StafMa00,Matthew Stafford,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
StafMa00,Matthew Stafford,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
StafMa00,Matthew Stafford,FlacJo00,Joe Flacco,comp,False,True,,4.0,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
StafMa00,Matthew Stafford,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,0,2003,2003,3100.68368690967,5.468246860260272,False,
StafMa00,Matthew Stafford,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,1,2004,2003,3263.0762356203104,5.977627243598832,False,
StafMa00,Matthew Stafford,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,2,2005,2003,2306.9142145968526,6.671967741935482,False,
StafMa00,Matthew Stafford,LeftBy00,Byron Leftwich,comp,False,True,,3.0,4,3,2006,2003,1260.5208193039252,5.5381407957529705,False,
StafMa00,Matthew Stafford,AlleJo02,Josh Allen,comp,True,True,3.0,1.0,4,0,2018,2018,2748.9954271187253,4.422744908925569,True,2021.0
StafMa00,Matthew Stafford,AlleJo02,Josh Allen,comp,True,True,3.0,1.0,4,1,2019,2018,3647.6480234400337,5.76731670425169,True,2021.0
StafMa00,Matthew Stafford,AlleJo02,Josh Allen,comp,True,True,3.0,1.0,4,2,2020,2018,5018.545144765845,7.882671606971321,True,2021.0
StafMa00,Matthew Stafford,AlleJo02,Josh Allen,comp,True,True,3.0,1.0,4,3,2021,2018,5211.704537754625,6.418271611701546,True,2021.0
StafMa00,Matthew Stafford,RyanMa00,Matt Ryan,comp,True,False,5.0,,4,0,2008,2008,3701.993000285493,7.24025619393121,True,2013.0
StafMa00,Matthew Stafford,RyanMa00,Matt Ryan,comp,True,False,5.0,,4,1,2009,2008,3088.575314844521,5.772092501122587,True,2013.0
StafMa00,Matthew Stafford,RyanMa00,Matt Ryan,comp,True,False,5.0,,4,2,2010,2008,3975.4558233530856,6.408324044251506,True,2013.0
StafMa00,Matthew Stafford,RyanMa00,Matt Ryan,comp,True,False,5.0,,4,3,2011,2008,4414.060783499942,7.011163564201466,True,2013.0
StafMa00,Matthew Stafford,TagoTu00,Tua Tagovailoa,comp,True,False,1.0,,4,0,2020,2020,1943.738633108705,5.443277068752575,True,2024.0
StafMa00,Matthew Stafford,TagoTu00,Tua Tagovailoa,comp,True,False,1.0,,4,1,2021,2020,2803.433330656791,5.844852361126329,True,2024.0
StafMa00,Matthew Stafford,TagoTu00,Tua Tagovailoa,comp,True,False,1.0,,4,2,2022,2020,3637.404563304288,8.403405866433394,True,2024.0
StafMa00,Matthew Stafford,TagoTu00,Tua Tagovailoa,comp,True,False,1.0,,4,3,2023,2020,4710.564790510043,7.4948971462869,True,2024.0
StafMa00,Matthew Stafford,BortBl00,Blake Bortles,comp,False,True,,5.0,4,0,2014,2014,3418.1751708301413,3.8872647720643374,True,2018.0
StafMa00,Matthew Stafford,BortBl00,Blake Bortles,comp,False,True,,5.0,4,1,2015,2014,4854.539408897631,6.2009268089825325,True,2018.0
StafMa00,Matthew Stafford,BortBl00,Blake Bortles,comp,False,True,,5.0,4,2,2016,2014,4356.973061551508,5.314506543452397,True,2018.0
StafMa00,Matthew Stafford,BortBl00,Blake Bortles,comp,False,True,,5.0,4,3,2017,2014,4085.278470432498,6.297621769383697,True,2018.0
StafMa00,Matthew Stafford,LawrTr00,Trevor Lawrence,comp,False,True,,2.0,4,0,2021,2021,4007.064900884842,4.567234030897338,True,2024.0
StafMa00,Matthew Stafford,LawrTr00,Trevor Lawrence,comp,False,True,,2.0,4,1,2022,2021,4427.6201483670775,6.686581012000766,True,2024.0
StafMa00,Matthew Stafford,LawrTr00,Trevor Lawrence,comp,False,True,,2.0,4,2,2023,2021,4366.647437775913,5.991909750641131,True,2024.0
StafMa00,Matthew Stafford,LawrTr00,Trevor Lawrence,comp,False,True,,2.0,4,3,2024,2021,2164.0,5.99,True,2024.0
StafMa00,Matthew Stafford,RoetBe00,Ben Roethlisberger,comp,True,False,2.0,,4,0,2004,2004,2920.8176728682934,7.2168914282473695,True,2008.0
StafMa00,Matthew Stafford,RoetBe00,Ben Roethlisberger,comp,True,False,2.0,,4,1,2005,2004,2585.007982931816,7.8255322580645155,True,2008.0
StafMa00,Matthew Stafford,RoetBe00,Ben Roethlisberger,comp,True,False,2.0,,4,2,2006,2004,3793.117232088729,5.154411939118401,True,2008.0
StafMa00,Matthew Stafford,RoetBe00,Ben Roethlisberger,comp,True,False,2.0,,4,3,2007,2004,3517.501773738741,6.779063574367354,True,2008.0
StafMa00,Matthew Stafford,CarrDa00,David Carr,comp,True,False,4.0,,4,0,2002,2002,3053.1658995873145,3.3881575125992995,False,
StafMa00,Matthew Stafford,CarrDa00,David Carr,comp,True,False,4.0,,4,1,2003,2002,2292.4084381525545,5.113436949480025,False,
StafMa00,Matthew Stafford,CarrDa00,David Carr,comp,True,False,4.0,,4,2,2004,2002,4045.8342448772382,5.904729350384211,False,
StafMa00,Matthew Stafford,CarrDa00,David Carr,comp,True,False,4.0,,4,3,2005,2002,2945.265819183927,3.917962365591397,False,
StafMa00,Matthew Stafford,StafMa00,Matthew Stafford,target,False,False,,,4,0,2009,2009,2473.9852859209914,3.7518601257296815,False,
StafMa00,Matthew Stafford,StafMa00,Matthew Stafford,target,False,False,,,4,1,2010,2009,567.1802664099255,5.904298557624983,False,
