target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
TrubMi00,Mitchell Trubisky,HarrJo00,Joey Harrington,comp,True,False,1.0,,4,0,2002,2002,2441.257911361047,4.161995956834942,False,
TrubMi00,Mitchell Trubisky,HarrJo00,Joey Harrington,comp,True,False,1.0,,4,1,2003,2002,3141.997887042734,4.028136045916917,False,
TrubMi00,Mitchell Trubisky,HarrJo00,Joey Harrington,comp,True,False,1.0,,4,2,2004,2002,3403.571262922836,5.342374174157143,False,
TrubMi00,Mitchell Trubisky,HarrJo00,Joey Harrington,comp,True,False,1.0,,4,3,2005,2002,2213.162906332414,4.655827956989247,False,
TrubMi00,Mitchell Trubisky,FielJu00,Justin Fields,comp,True,False,3.0,,4,0,2021,2021,2308.472609566362,4.265434425331435,False,
TrubMi00,Mitchell Trubisky,FielJu00,Justin Fields,comp,True,False,3.0,,4,1,2022,2021,3403.15490513682,4.648478991826358,False,
TrubMi00,Mitchell Trubisky,FielJu00,Justin Fields,comp,True,False,3.0,,4,2,2023,2021,3227.609208312437,5.300535548644078,False,
TrubMi00,Mitchell Trubisky,FielJu00,Justin Fields,comp,True,False,3.0,,4,3,2024,2021,1395.0,5.86,False,
TrubMi00,Mitchell Trubisky,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,0,2009,2009,2656.278938567801,4.195074371351595,True,2012.0
TrubMi00,Mitchell Trubisky,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,1,2010,2009,3527.7366020661298,5.533994118470803,True,2012.0
TrubMi00,Mitchell Trubisky,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,2,2011,2009,3705.490594362659,5.183949633853207,True,2012.0
TrubMi00,Mitchell Trubisky,SancMa00,Mark Sanchez,comp,True,False,2.0,,4,3,2012,2009,3007.257398162935,4.466534266826589,True,2012.0
