target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,True,True,2.0,5.0,4,0,2004,2004,1138.7491686625751,3.342889103127569,False,
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,True,True,2.0,5.0,4,1,2005,2004,4047.1070376626058,5.850962365591397,False,
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,True,True,2.0,5.0,4,2,2006,2004,3429.6670625227634,5.175154039477027,False,
VickMi00,Michael Vick,MannEl00,Eli Manning,comp,True,True,2.0,5.0,4,3,2007,2004,3566.734228582613,4.988562813503916,False,
VickMi00,Michael Vick,YounVi00,Vince Young,comp,True,False,1.0,,4,0,2006,2006,2889.7439782542488,4.68771468104933,False,
VickMi00,Michael Vick,YounVi00,Vince Young,comp,True,False,1.0,,4,1,2007,2006,3080.6946743792846,4.584923913656088,False,
VickMi00,Michael Vick,YounVi00,Vince Young,comp,True,False,1.0,,4,2,2008,2006,256.96678275119393,3.604635394696138,False,
VickMi00,Michael Vick,YounVi00,Vince Young,comp,True,False,1.0,,4,3,2009,2006,2250.024512669196,6.648213684328694,False,
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,0,2003,2003,461.871570718352,5.363891004148434,False,
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,1,2004,2003,691.9116006252196,5.49858394533133,False,
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,2,2005,2003,272.82684090437664,4.676612903225806,False,
VickMi00,Michael Vick,GrosRe00,Rex Grossman,comp,False,True,,1.0,4,3,2006,2003,3356.136681396701,5.403317143421906,False,
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,False,True,,2.0,4,0,2009,2009,2656.278938567801,4.195074371351595,True,2012.0
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,False,True,,2.0,4,1,2010,2009,3527.7366020661298,5.533994118470803,True,2012.0
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,False,True,,2.0,4,2,2011,2009,3705.490594362659,5.183949633853207,True,2012.0
VickMi00,Michael Vick,SancMa00,Mark Sanchez,comp,False,True,,2.0,4,3,2012,2009,3007.257398162935,4.466534266826589,True,2012.0
VickMi00,Michael Vick,LockJa00,Jake Locker,comp,True,False,4.0,,4,0,2011,2011,619.480954830548,8.45856336296048,False,
VickMi00,Michael Vick,LockJa00,Jake Locker,comp,True,False,4.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,False,
VickMi00,Michael Vick,LockJa00,Jake Locker,comp,True,False,4.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,False,
VickMi00,Michael Vick,LockJa00,Jake Locker,comp,True,False,4.0,,4,3,2014,2011,1166.1042437307517,4.417810095285718,False,
VickMi00,Michael Vick,TrubMi00,Mitchell Trubisky,comp,False,True,,4.0,4,0,2017,2017,2487.444436599084,5.121254417936823,False,
VickMi00,Michael Vick,TrubMi00,Mitchell Trubisky,comp,False,True,,4.0,4,1,2018,2017,3703.2677768652993,6.669539805450686,False,
VickMi00,Michael Vick,TrubMi00,Mitchell Trubisky,comp,False,True,,4.0,4,2,2019,2017,3376.025442089123,5.090591276607446,False,
VickMi00,Michael Vick,TrubMi00,Mitchell Trubisky,comp,False,True,,4.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,False,
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,True,True,3.0,3.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,False,
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,True,True,3.0,3.0,4,1,2019,2018,3127.71375391385,5.555208734393046,False,
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,True,True,3.0,3.0,4,2,2020,2018,2451.152462448575,4.193339371483465,False,
VickMi00,Michael Vick,DarnSa00,Sam Darnold,comp,True,True,3.0,3.0,4,3,2021,2018,2771.175198121366,4.376094280705599,False,
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,True,False,5.0,,4,0,2019,2019,3350.687514724299,5.434004180188107,True,2023.0
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,True,False,5.0,,4,1,2020,2019,3402.3006963306816,4.95943021819679,True,2023.0
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,True,False,5.0,,4,2,2021,2019,2747.989665361529,5.653712610934591,True,2023.0
VickMi00,Michael Vick,JoneDa05,Daniel Jones,comp,True,False,5.0,,4,3,2022,2019,3933.9867485377777,5.913507831934611,True,2023.0
VickMi00,Michael Vick,VickMi00,Michael Vick,target,False,False,,,4,0,2001,2001,1144.1956842620957,4.516473693220725,True,2004.0
VickMi00,Michael Vick,VickMi00,Michael Vick,target,False,False,,,4,1,2002,2001,3944.469375493284,6.201164830158594,True,2004.0
VickMi00,Michael Vick,VickMi00,Michael Vick,target,False,False,,,4,2,2003,2001,889.8443105582928,4.466430641586634,True,2004.0
VickMi00,Michael Vick,VickMi00,Michael Vick,target,False,False,,,4,3,2004,2001,3396.1767878016503,5.071610570788556,True,2004.0
