target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp,anya_comp,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
WillCa03,Caleb Williams,JoneMa05,Mac Jones,comp,True,False,3.0,,4,0,2021,2021,3961.7019020069,6.257311822066398,False,
WillCa03,Caleb Williams,JoneMa05,Mac Jones,comp,True,False,3.0,,4,1,2022,2021,3115.620989961302,5.381392526174791,False,
WillCa03,Caleb Williams,JoneMa05,Mac Jones,comp,True,False,3.0,,4,2,2023,2021,2221.926687051992,4.508962186937306,False,
WillCa03,Caleb Williams,JoneMa05,Mac Jones,comp,True,False,3.0,,4,3,2024,2021,1764.0,4.97,False,
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,0,2018,2018,3918.715847308615,6.851712364628398,False,
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,1,2019,2018,4021.635831344833,5.343100764534403,False,
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,2,2020,2018,3768.2046927869214,7.015779333058874,False,
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,True,False,4.0,,4,3,2021,2018,3169.36152160552,5.442452887038458,False,
WillCa03,Caleb Williams,MayeDr00,Drake Maye,comp,False,True,,1.0,4,0,2024,2024,2697.0,5.1,False,
WillCa03,Caleb Williams,WillCa03,Caleb Williams,target,False,False,,,4,0,2024,2024,4030.0,5.09,False,
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,True,False,5.0,,4,0,2012,2012,4147.763123883265,7.652525452567572,False,
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,True,False,5.0,,4,1,2013,2012,3803.601482476207,5.602493040864046,False,
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,True,False,5.0,,4,2,2014,2012,1921.2466394506653,5.274844848181792,False,
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,False,True,,3.0,4,0,2017,2017,2487.444436599084,5.121254417936823,False,
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,False,True,,3.0,4,1,2018,2017,3703.2677768652993,6.669539805450686,False,
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,False,True,,3.0,4,2,2019,2017,3376.025442089123,5.090591276607446,False,
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,False,True,,3.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,False,
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,True,True,1.0,4.0,4,0,2016,2016,4017.734070830331,5.172244418006252,False,
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,True,True,1.0,4.0,4,1,2017,2016,3663.4013722137274,7.534835707974373,False,
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,True,True,1.0,4.0,4,2,2018,2016,3218.5096183678384,6.973160737413539,False,
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,True,True,1.0,4.0,4,3,2019,2016,4339.88019904702,6.322837577690994,False,
WillCa03,Caleb Williams,LawrTr00,Trevor Lawrence,comp,True,False,2.0,,4,0,2021,2021,4007.064900884842,4.567234030897338,True,2024.0
WillCa03,Caleb Williams,LawrTr00,Trevor Lawrence,comp,True,False,2.0,,4,1,2022,2021,4427.6201483670775,6.686581012000766,True,2024.0
WillCa03,Caleb Williams,LawrTr00,Trevor Lawrence,comp,True,False,2.0,,4,2,2023,2021,4366.647437775913,5.991909750641131,True,2024.0
WillCa03,Caleb Williams,LawrTr00,Trevor Lawrence,comp,True,False,2.0,,4,3,2024,2021,2164.0,5.99,True,2024.0
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,0,2012,2012,3611.601464781044,5.101683635045049,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,1,2013,2012,1828.654558882792,4.610810878521322,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,2,2014,2012,310.2761952481824,6.417557852043226,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,1116.810459201861,6.628576933739948,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,1099.392314425318,6.628576933739948,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,1086.072556655021,6.628576933739948,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,804.3084499756521,6.0176481840864975,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,786.8903051991094,6.0176481840864975,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,773.570547428812,6.0176481840864975,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,360.6580565495918,8.094805932908233,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,343.239911773049,8.094805932908233,False,
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,False,True,,2.0,4,3,2015,2012,329.9201540027516,8.094805932908233,False,
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,False,True,,5.0,4,0,2013,2013,2223.231852433276,4.9788578666072825,False,
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,False,True,,5.0,4,1,2014,2013,914.3901118241135,5.652348251243159,False,
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,False,True,,5.0,4,2,2015,2013,640.3729697258377,4.989251455503188,False,
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,False,True,,5.0,4,3,2016,2013,156.33604090463902,3.891885288990952,False,
