season,Age,Team,Lg,Pos,G,GS,Pass_QBrec,Pass_Cmp,Pass_Att,Pass_Cmp%,Pass_Yds,Pass_TD,Pass_TD%,Pass_Int,Pass_Int%,Pass_1D,Pass_Succ%,Pass_Lng,Pass_Y/A,Pass_AY/A,Pass_Y/C,Pass_Y/G,Pass_Rate,Pass_QBR,Pass_Sk,Pass_Yds.1,Pass_Sk%,Pass_NY/A,Pass_ANY/A,Pass_4QC,Pass_GWD,Pass_AV,Pass_Awards,Rush_Unnamed: 1_level_0_Age,Rush_Unnamed: 2_level_0_Team,Rush_Unnamed: 3_level_0_Lg,Rush_Unnamed: 4_level_0_Pos,Rush_Unnamed: 5_level_0_G,Rush_Unnamed: 6_level_0_GS,Rush_Rushing_Att,Rush_Rushing_Yds,Rush_Rushing_TD,Rush_Rushing_1D,Rush_Rushing_Succ%,Rush_Rushing_Lng,Rush_Rushing_Y/A,Rush_Rushing_Y/G,Rush_Rushing_A/G,Rush_Receiving_Tgt,Rush_Receiving_Rec,Rush_Receiving_Yds,Rush_Receiving_TD,Rush_Receiving_1D,Rush_Receiving_Succ%,Rush_Receiving_Lng,Rush_Receiving_R/G,Rush_Receiving_Y/G,Rush_Receiving_Ctch%,Rush_Receiving_Y/Tgt,Rush_Scrimmage_Touch,Rush_Scrimmage_Y/Tch,Rush_Scrimmage_YScm,Rush_Scrimmage_RRTD,Rush_Unnamed: 31_level_0_Fmb,Rush_Unnamed: 32_level_0_Awards,player_name,player_id,draft_year,draft_team,total_yards,Rush_Receiving_Y/R,Rush_Unnamed: 32_level_0_Fmb,Rush_Unnamed: 33_level_0_Awards,Rush_Unnamed: 30_level_0_Fmb,Rush_Unnamed: 31_level_0_Awards,Rush_Unnamed: 27_level_0_Fmb,Rush_Unnamed: 28_level_0_Awards,AdvPass_Unnamed: 1_level_0_Age,AdvPass_Unnamed: 2_level_0_Team,AdvPass_Unnamed: 3_level_0_Lg,AdvPass_Unnamed: 4_level_0_Pos,AdvPass_Unnamed: 5_level_0_G,AdvPass_Unnamed: 6_level_0_GS,AdvPass_Passing_Cmp,AdvPass_Passing_Att,AdvPass_Air Yards_IAY,AdvPass_Air Yards_IAY/PA,AdvPass_Air Yards_CAY,AdvPass_Air Yards_CAY/Cmp,AdvPass_Air Yards_CAY/PA,AdvPass_Air Yards_YAC,AdvPass_Air Yards_YAC/Cmp,AdvPass_Accuracy_Bats,AdvPass_Accuracy_ThAwy,AdvPass_Accuracy_Spikes,AdvPass_Accuracy_Drops,AdvPass_Accuracy_Drop%,AdvPass_Accuracy_BadTh,AdvPass_Accuracy_Bad%,AdvPass_Accuracy_OnTgt,AdvPass_Accuracy_OnTgt%,AdvPass_Pressure_PktTime,AdvPass_Pressure_Bltz,AdvPass_Pressure_Hrry,AdvPass_Pressure_Hits,AdvPass_Pressure_Prss,AdvPass_Pressure_Prss%,AdvPass_Pressure_Scrm,AdvPass_Pressure_Yds/Scr,AdvPass_RPO_Plays,AdvPass_RPO_Yds,AdvPass_RPO_PassAtt,AdvPass_RPO_PassYds,AdvPass_RPO_RushAtt,AdvPass_RPO_RushYds,AdvPass_PlayAction_PassAtt,AdvPass_PlayAction_PassYds,AdvPass_Unnamed: 41_level_0_Awards,AdvPass_Unnamed: 31_level_0_Awards,Rush_Unnamed: 28_level_0_Fmb,Rush_Unnamed: 29_level_0_Awards
2008,32,MIA,NFL,QB,16.0,16.0,11-5-0,321.0,476.0,67.4,3653.0,19.0,4.0,7.0,1.5,180.0,50.8,80.0,7.7,7.81,11.4,228.3,97.4,65.7,24.0,121.0,4.8,7.06,7.19,1.0,2.0,13.0,"AP MVP-2,AP CPoY-1",32,MIA,NFL,QB,16.0,16.0,30.0,62.0,1.0,6.0,26.7,16.0,2.1,3.9,1.9,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,30.0,2.1,62.0,1.0,3.0,"AP MVP-2,AP CPoY-1",Chad Pennington,PennCh01,2000.0,NYJ,3715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,31,PHI,NFL,QB,13,13,7-6-0,253,423,59.8,3303.0,18,4.3,14,3.3,154,48.0,73,7.8,7.17,13.1,254.1,84.9,60.9,23,126,5.16,7.12,6.52,0,0,12,,31,PHI,NFL,QB,13,13,76,589.0,1,27,61.8,53,7.8,45.3,5.8,0,0,0,0,0,,,0.0,0.0,,,76,7.8,589,1,,,Michael Vick,VickMi00,2001.0,ATL,3892.0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,25,HOU,NFL,QB,16.0,16.0,7-9-0,285.0,466.0,61.2,3531.0,16.0,3.4,14.0,3.0,172.0,45.6,69.0,7.6,6.91,12.4,220.7,83.5,,49.0,301.0,9.51,6.27,5.67,1.0,1.0,13.0,,25,HOU,NFL,QB,16.0,16.0,73.0,299.0,0.0,25.0,46.6,24.0,4.1,18.7,4.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,73.0,4.1,299.0,0.0,,,David Carr,CarrDa00,2002.0,HOU,3830.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,26,DET,NFL,QB,16.0,16.0,6-10-0,274.0,489.0,56.0,3047.0,19.0,3.9,12.0,2.5,141.0,39.6,62.0,6.2,5.9,11.1,190.4,77.5,,36.0,196.0,6.86,5.43,5.13,1.0,1.0,10.0,,26,DET,NFL,QB,16.0,16.0,48.0,175.0,0.0,13.0,31.3,17.0,3.6,10.9,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,48.0,3.6,175.0,0.0,,,Joey Harrington,HarrJo00,2002.0,DET,3222.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,24,WAS,NFL,QB,11.0,11.0,4-7-0,179.0,337.0,53.1,2166.0,14.0,4.2,9.0,2.7,96.0,38.7,64.0,6.4,6.06,12.1,196.9,75.8,,30.0,206.0,8.17,5.34,5.0,0.0,2.0,7.0,,24,WAS,NFL,QB,11.0,11.0,15.0,62.0,1.0,3.0,26.7,24.0,4.1,5.6,1.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,15.0,4.1,62.0,1.0,,,Patrick Ramsey,RamsPa00,2002.0,WAS,2228.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,36,ARI,NFL,QB,16.0,16.0,13-3-0,342.0,537.0,63.7,4671.0,35.0,6.5,11.0,2.0,231.0,52.7,68.0,8.7,9.08,13.7,291.9,104.6,76.4,25.0,151.0,4.45,8.04,8.41,1.0,4.0,16.0,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2",36,ARI,NFL,QB,16.0,16.0,25.0,24.0,1.0,5.0,16.0,12.0,1.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,25.0,1.0,24.0,1.0,,,Carson Palmer,PalmCa00,2003.0,CIN,4695.0,,,,6.0,"PB,AP-2,AP MVP-2,AP OPoY-4,AP CPoY-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,24,JAX,NFL,QB,14.0,14.0,8-6-0,267.0,441.0,60.5,2941.0,15.0,3.4,10.0,2.3,141.0,42.9,65.0,6.7,6.33,11.0,210.1,82.2,,25.0,114.0,5.36,6.07,5.74,4.0,4.0,9.0,,24,JAX,NFL,QB,14.0,14.0,39.0,148.0,2.0,7.0,30.8,17.0,3.8,10.6,2.8,1.0,1.0,-7.0,0.0,0.0,0.0,-7.0,0.1,-0.5,100.0,-7.0,40.0,3.5,141.0,2.0,,,Byron Leftwich,LeftBy00,2003.0,JAX,3089.0,-7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,23,BAL,NFL,QB,16.0,16.0,9-7-0,258.0,464.0,55.6,2559.0,13.0,2.8,11.0,2.4,135.0,37.9,57.0,5.5,5.01,9.9,159.9,70.9,,35.0,247.0,7.01,4.63,4.16,2.0,2.0,6.0,,23,BAL,NFL,QB,16.0,16.0,53.0,189.0,1.0,12.0,41.5,19.0,3.6,11.8,3.3,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,53.0,3.6,189.0,1.0,,,Kyle Boller,BollKy00,2003.0,BAL,2748.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,26,CHI,NFL,QB,16.0,16.0,13-3-0,262.0,480.0,54.6,3193.0,23.0,4.8,20.0,4.2,151.0,40.3,62.0,6.7,5.74,12.2,199.6,73.9,48.9,21.0,142.0,4.19,6.09,5.21,1.0,2.0,10.0,,26,CHI,NFL,QB,16.0,16.0,24.0,2.0,0.0,4.0,16.7,22.0,0.1,0.1,1.5,1.0,1.0,-4.0,0.0,0.0,0.0,-4.0,0.1,-0.3,100.0,-4.0,25.0,-0.1,-2.0,0.0,,,Rex Grossman,GrosRe00,2003.0,CHI,3195.0,-4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,30,NYG,NFL,QB,16,16,9-7-0,359,589,61.0,4933.0,29,4.9,16,2.7,218,48.3,99,8.4,8.14,13.7,308.3,92.9,64.2,28,199,4.54,7.67,7.45,5,6,15,"PB,AP CPoY-6",30,NYG,NFL,QB,16,16,35,15.0,1,2,8.6,12,0.4,0.9,2.2,0,0,0,0,0,,,0.0,0.0,,,35,0.4,15,1,,,Eli Manning,MannEl00,2004.0,SDG,4948.0,,,,,,8.0,"PB,AP CPoY-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
