target_qb_id,target_qb_name,qb_id,qb_name,qb_type,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
AlleJo02,Josh Allen,StafMa00,Matthew Stafford,comp,4,0,2009,2009,2473.9852859209914,3.7518601257296815,False,
AlleJo02,Josh Allen,StafMa00,Matthew Stafford,comp,4,1,2010,2009,567.1802664099255,5.904298557624983,False,
AlleJo02,Josh Allen,StafMa00,Matthew Stafford,comp,4,2,2011,2009,5299.773519921544,7.165142266197106,False,
AlleJo02,Josh Allen,StafMa00,Matthew Stafford,comp,4,3,2012,2009,5261.409113309456,5.951964240885889,False,
AlleJo02,Josh Allen,TannRy00,Ryan Tannehill,comp,4,0,2012,2012,3620.8990658059374,5.357792251262169,True,2015.0
AlleJo02,Josh Allen,TannRy00,Ryan Tannehill,comp,4,1,2013,2012,4276.47609798449,5.1117637234161,True,2015.0
AlleJo02,Josh Allen,TannRy00,Ryan Tannehill,comp,4,2,2014,2012,4475.374524838021,5.9482292968858514,True,2015.0
AlleJo02,Josh Allen,TannRy00,Ryan Tannehill,comp,4,3,2015,2012,4455.971272540269,6.0176481840864975,True,2015.0
AlleJo02,Josh Allen,TagoTu00,Tua Tagovailoa,comp,4,0,2020,2020,1943.738633108705,5.443277068752575,True,2024.0
AlleJo02,Josh Allen,TagoTu00,Tua Tagovailoa,comp,4,1,2021,2020,2803.433330656791,5.844852361126329,True,2024.0
AlleJo02,Josh Allen,TagoTu00,Tua Tagovailoa,comp,4,2,2022,2020,3637.404563304288,8.403405866433394,True,2024.0
AlleJo02,Josh Allen,TagoTu00,Tua Tagovailoa,comp,4,3,2023,2020,4710.564790510043,7.4948971462869,True,2024.0
AlleJo02,Josh Allen,FlacJo00,Joe Flacco,comp,4,0,2008,2008,3291.4728961341957,5.463759667032255,True,2013.0
AlleJo02,Josh Allen,FlacJo00,Joe Flacco,comp,4,1,2009,2008,3821.91663749226,6.30807251908397,True,2013.0
AlleJo02,Josh Allen,FlacJo00,Joe Flacco,comp,4,2,2010,2008,3849.762028049787,6.572903794986696,True,2013.0
AlleJo02,Josh Allen,FlacJo00,Joe Flacco,comp,4,3,2011,2008,3830.837075189576,5.851190675834313,True,2013.0
AlleJo02,Josh Allen,WatsDe00,Deshaun Watson,comp,4,0,2017,2017,2005.4447567501013,7.291449359399159,True,2020.0
AlleJo02,Josh Allen,WatsDe00,Deshaun Watson,comp,4,1,2018,2017,4792.703302880557,6.952919341949349,True,2020.0
AlleJo02,Josh Allen,WatsDe00,Deshaun Watson,comp,4,2,2019,2017,4322.65040843894,6.69655161982289,True,2020.0
AlleJo02,Josh Allen,WatsDe00,Deshaun Watson,comp,4,3,2020,2017,5323.8020699862445,8.28587731576781,True,2020.0
AlleJo02,Josh Allen,GoffJa00,Jared Goff,comp,4,0,2016,2016,1129.0936287557265,2.865565669700909,False,
AlleJo02,Josh Allen,GoffJa00,Jared Goff,comp,4,1,2017,2016,3928.348342109573,7.828927545836092,False,
AlleJo02,Josh Allen,GoffJa00,Jared Goff,comp,4,2,2018,2016,4874.004461538413,7.78281655598115,False,
AlleJo02,Josh Allen,GoffJa00,Jared Goff,comp,4,3,2019,2016,4741.232968505829,6.52484516803256,False,
AlleJo02,Josh Allen,LeftBy00,Byron Leftwich,comp,4,0,2003,2003,3100.68368690967,5.468246860260272,False,
AlleJo02,Josh Allen,LeftBy00,Byron Leftwich,comp,4,1,2004,2003,3263.0762356203104,5.977627243598832,False,
AlleJo02,Josh Allen,LeftBy00,Byron Leftwich,comp,4,2,2005,2003,2306.9142145968526,6.671967741935482,False,
AlleJo02,Josh Allen,LeftBy00,Byron Leftwich,comp,4,3,2006,2003,1260.5208193039252,5.5381407957529705,False,
AlleJo02,Josh Allen,LuckAn00,Andrew Luck,comp,4,0,2012,2012,4782.066127137144,5.7982990711556175,True,2016.0
AlleJo02,Josh Allen,LuckAn00,Andrew Luck,comp,4,1,2013,2012,4325.927038168362,6.195457632780314,True,2016.0
AlleJo02,Josh Allen,LuckAn00,Andrew Luck,comp,4,2,2014,2012,5171.95485721639,7.427634525099314,True,2016.0
AlleJo02,Josh Allen,LuckAn00,Andrew Luck,comp,4,3,2015,2012,2128.087452992904,5.1318014970889925,True,2016.0
AlleJo02,Josh Allen,FreeJo00,Josh Freeman,comp,4,0,2009,2009,2100.0228784912497,3.803396665918276,False,
AlleJo02,Josh Allen,FreeJo00,Josh Freeman,comp,4,1,2010,2009,3962.990322992428,7.138646688138917,False,
AlleJo02,Josh Allen,FreeJo00,Josh Freeman,comp,4,2,2011,2009,3967.578690637122,4.886257476661636,False,
AlleJo02,Josh Allen,FreeJo00,Josh Freeman,comp,4,3,2012,2009,4343.012745406038,6.453937128671446,False,
AlleJo02,Josh Allen,AlleJo02,Josh Allen,target,4,0,2018,2018,2748.9954271187253,4.422744908925569,True,2021.0
AlleJo02,Josh Allen,AlleJo02,Josh Allen,target,4,1,2019,2018,3647.6480234400337,5.76731670425169,True,2021.0
AlleJo02,Josh Allen,AlleJo02,Josh Allen,target,4,2,2020,2018,5018.545144765845,7.882671606971321,True,2021.0
AlleJo02,Josh Allen,AlleJo02,Josh Allen,target,4,3,2021,2018,5211.704537754625,6.418271611701546,True,2021.0
AlleJo02,Josh Allen,RyanMa00,Matt Ryan,comp,4,0,2008,2008,3701.993000285493,7.24025619393121,True,2013.0
AlleJo02,Josh Allen,RyanMa00,Matt Ryan,comp,4,1,2009,2008,3088.575314844521,5.772092501122587,True,2013.0
AlleJo02,Josh Allen,RyanMa00,Matt Ryan,comp,4,2,2010,2008,3975.4558233530856,6.408324044251506,True,2013.0
AlleJo02,Josh Allen,RyanMa00,Matt Ryan,comp,4,3,2011,2008,4414.060783499942,7.011163564201466,True,2013.0
