player_id,player_name,similarity_score,year_3_Pass_ANY/A_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
FreeJo00,Josh Freeman,0.5087385693030702,6.453937128671446,False,,2009,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,1,False
LawrTr00,Trevor Lawrence,0.5676274211967657,5.99,True,2024.0,2021,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,2,False
TrubMi00,Mitchell Trubisky,0.5687535293317594,6.0480856319473055,False,,2017,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,3,False
MannEl00,Eli Manning,0.7137413470240632,4.988562813503916,False,,2004,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,4,False
FielJu00,Justin Fields,0.7534359460764593,5.86,False,,2021,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,5,False
VickMi00,Michael Vick,0.8460011345096959,5.071610570788556,True,2004.0,2001,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,6,False
BradSa00,Sam Bradford,0.870889036743515,6.236351742567642,False,,2010,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,7,False
TannRy00,Ryan Tannehill,0.8739550228147996,6.0176481840864975,True,2015.0,2012,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,8,False
JoneDa05,Daniel Jones,0.8838386384770525,5.913507831934611,True,2023.0,2019,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,9,False
GrosRe00,Rex Grossman,0.8981227540324621,5.403317143421906,False,,2003,BortBl00,Blake Bortles,4,Pass_ANY/A_adj,10,False
