target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
BridTe00,Teddy Bridgewater,JoneMa05,Mac Jones,comp,19.0,19.0,4,0,2021,2021,3961.7019020069,6.257311822066398,22.422983101964803,54.73762821777826,False,,False,False
BridTe00,Teddy Bridgewater,JoneMa05,Mac Jones,comp,19.0,19.0,4,1,2022,2021,3115.620989961302,5.381392526174791,14.178304651521492,35.040298645479815,False,,False,False
BridTe00,Teddy Bridgewater,JoneMa05,Mac Jones,comp,19.0,19.0,4,2,2023,2021,2221.926687051992,4.508962186937306,10.063277281485384,58.56942311985662,False,,False,False
BridTe00,Teddy Bridgewater,JoneMa05,Mac Jones,comp,19.0,19.0,4,3,2024,2021,1764.0,4.97,8.0,50.0,False,,False,False
BridTe00,Teddy Bridgewater,LockJa00,Jake Locker,comp,23.0,,4,0,2011,2011,619.480954830548,8.45856336296048,4.356079992417778,77.44504500395776,False,,False,False
BridTe00,Teddy Bridgewater,LockJa00,Jake Locker,comp,23.0,,4,1,2012,2011,2548.575747601498,5.224615770829265,10.816134422140127,59.37691795625629,False,,False,False
BridTe00,Teddy Bridgewater,LockJa00,Jake Locker,comp,23.0,,4,2,2013,2011,1453.6515958217572,5.80696358980069,8.594455612173343,59.7576821589859,False,,False,False
BridTe00,Teddy Bridgewater,LockJa00,Jake Locker,comp,23.0,,4,3,2014,2011,1166.1042437307517,4.417810095285718,5.335492558798269,69.40229747579015,False,,False,False
BridTe00,Teddy Bridgewater,DarnSa00,Sam Darnold,comp,,8.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,17.666515929183518,42.3740863839048,False,,False,False
BridTe00,Teddy Bridgewater,DarnSa00,Sam Darnold,comp,,8.0,4,1,2019,2018,3127.71375391385,5.555208734393046,19.61674454128854,29.488697996952617,False,,False,False
BridTe00,Teddy Bridgewater,DarnSa00,Sam Darnold,comp,,8.0,4,2,2020,2018,2451.152462448575,4.193339371483465,9.23220622698359,63.2559666418252,False,,False,False
BridTe00,Teddy Bridgewater,DarnSa00,Sam Darnold,comp,,8.0,4,3,2021,2018,2771.175198121366,4.376094280705599,9.173038541712874,63.21515763582805,False,,False,False
BridTe00,Teddy Bridgewater,PondCh00,Christian Ponder,comp,34.0,34.0,4,0,2011,2011,2146.4289939948085,4.362729889876461,14.15725997535778,79.67546230007173,False,,False,False
BridTe00,Teddy Bridgewater,PondCh00,Christian Ponder,comp,34.0,34.0,4,1,2012,2011,3293.416896373561,5.111927979693733,19.469041959852227,40.51744606441259,False,,False,False
BridTe00,Teddy Bridgewater,PondCh00,Christian Ponder,comp,34.0,34.0,4,2,2013,2011,1853.380028974728,4.856175537245296,7.520148660651675,49.24033009900439,False,,False,False
BridTe00,Teddy Bridgewater,PondCh00,Christian Ponder,comp,34.0,34.0,4,3,2014,2011,244.52229956644837,1.9997477567575077,0.0,58.71598771217441,False,,False,False
BridTe00,Teddy Bridgewater,FielJu00,Justin Fields,comp,9.0,,4,0,2021,2021,2308.472609566362,4.265434425331435,7.134585532443346,50.86517650829873,False,,False,False
BridTe00,Teddy Bridgewater,FielJu00,Justin Fields,comp,9.0,,4,1,2022,2021,3403.15490513682,4.648478991826358,17.21651279113324,58.02261216883864,False,,False,False
BridTe00,Teddy Bridgewater,FielJu00,Justin Fields,comp,9.0,,4,2,2023,2021,3227.609208312437,5.300535548644078,16.101243650376613,53.18956276395991,False,,False,False
BridTe00,Teddy Bridgewater,FielJu00,Justin Fields,comp,9.0,,4,3,2024,2021,1395.0,5.86,5.0,54.8,False,,False,False
BridTe00,Teddy Bridgewater,YounVi00,Vince Young,comp,,50.0,4,0,2006,2006,2889.7439782542488,4.68771468104933,13.53153904659094,62.49980530520745,False,,False,False
BridTe00,Teddy Bridgewater,YounVi00,Vince Young,comp,,50.0,4,1,2007,2006,3080.6946743792846,4.584923913656088,10.077202299746627,56.04252059490475,False,,False,False
