target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
CarrDa00,David Carr,RoetBe00,Ben Roethlisberger,comp,32.0,,4,0,2004,2004,2920.8176728682934,7.2168914282473695,19.445434409297924,38.11617096990149,True,2008.0,False,False
CarrDa00,David Carr,RoetBe00,Ben Roethlisberger,comp,32.0,,4,1,2005,2004,2585.007982931816,7.8255322580645155,19.30657276995308,44.988706258983264,True,2008.0,False,False
CarrDa00,David Carr,RoetBe00,Ben Roethlisberger,comp,32.0,,4,2,2006,2004,3793.117232088729,5.154411939118401,20.29730856988641,46.94308520740473,True,2008.0,False,False
CarrDa00,David Carr,RoetBe00,Ben Roethlisberger,comp,32.0,,4,3,2007,2004,3517.501773738741,6.779063574367354,35.83005262132135,80.25181946764404,True,2008.0,False,False
CarrDa00,David Carr,VickMi00,Michael Vick,comp,,39.0,4,0,2001,2001,1144.1956842620957,4.516473693220725,2.338149259805669,97.93788449097768,True,2004.0,False,False
CarrDa00,David Carr,VickMi00,Michael Vick,comp,,39.0,4,1,2002,2001,3944.469375493284,6.201164830158594,18.568694290836547,78.85065008378227,True,2004.0,False,False
CarrDa00,David Carr,VickMi00,Michael Vick,comp,,39.0,4,2,2003,2001,889.8443105582928,4.466430641586634,4.608543066278958,83.54287704352367,True,2004.0,False,False
CarrDa00,David Carr,VickMi00,Michael Vick,comp,,39.0,4,3,2004,2001,3396.1767878016503,5.071610570788556,16.01388716059829,82.91689431139018,True,2004.0,False,False
CarrDa00,David Carr,SancMa00,Mark Sanchez,comp,34.0,34.0,4,0,2009,2009,2656.278938567801,4.195074371351595,13.24969970691394,74.99981645912615,True,2012.0,False,False
CarrDa00,David Carr,SancMa00,Mark Sanchez,comp,34.0,34.0,4,1,2010,2009,3527.7366020661298,5.533994118470803,18.64098771322917,50.49360316776902,True,2012.0,False,False
CarrDa00,David Carr,SancMa00,Mark Sanchez,comp,34.0,34.0,4,2,2011,2009,3705.490594362659,5.183949633853207,28.31451995071556,53.5300151067356,True,2012.0,False,False
CarrDa00,David Carr,SancMa00,Mark Sanchez,comp,34.0,34.0,4,3,2012,2009,3007.257398162935,4.466534266826589,14.060974748782163,33.217005332086,True,2012.0,False,False
CarrDa00,David Carr,BradSa00,Sam Bradford,comp,4.0,4.0,4,0,2010,2010,3713.6803157792738,4.865388881109089,19.737516402242647,37.36526634414908,False,,False,False
CarrDa00,David Carr,BradSa00,Sam Bradford,comp,4.0,4.0,4,1,2011,2010,2268.667710834281,4.609095813069485,6.534119988626667,41.26271997810869,False,,False,False
CarrDa00,David Carr,BradSa00,Sam Bradford,comp,4.0,4.0,4,2,2012,2010,3952.5135023604903,5.777810381858247,22.713882286494265,40.51744606441259,False,,False,False
CarrDa00,David Carr,BradSa00,Sam Bradford,comp,4.0,4.0,4,3,2013,2010,1769.931567414443,6.236351742567642,15.04029732130335,23.90307286359436,False,,False,False
CarrDa00,David Carr,DarnSa00,Sam Darnold,comp,7.0,,4,0,2018,2018,3051.8422431192357,5.303245611617845,17.666515929183518,42.3740863839048,False,,False,False
CarrDa00,David Carr,DarnSa00,Sam Darnold,comp,7.0,,4,1,2019,2018,3127.71375391385,5.555208734393046,19.61674454128854,29.488697996952617,False,,False,False
CarrDa00,David Carr,DarnSa00,Sam Darnold,comp,7.0,,4,2,2020,2018,2451.152462448575,4.193339371483465,9.23220622698359,63.2559666418252,False,,False,False
CarrDa00,David Carr,DarnSa00,Sam Darnold,comp,7.0,,4,3,2021,2018,2771.175198121366,4.376094280705599,9.173038541712874,63.21515763582805,False,,False,False
CarrDa00,David Carr,CarrDa00,David Carr,target,,,4,0,2002,2002,3053.1658995873145,3.3881575125992995,10.444890538595558,65.48613312042934,False,,False,False
CarrDa00,David Carr,CarrDa00,David Carr,target,,,4,1,2003,2002,2292.4084381525545,5.113436949480025,10.369221899127655,80.7823298020855,False,,False,False
CarrDa00,David Carr,CarrDa00,David Carr,target,,,4,2,2004,2002,4045.8342448772382,5.904729350384211,18.301585326398047,66.27662564169438,False,,False,False
CarrDa00,David Carr,CarrDa00,David Carr,target,,,4,3,2005,2002,2945.265819183927,3.917962365591397,15.899530516431948,69.64196015322487,False,,False,False
CarrDa00,David Carr,MariMa01,Marcus Mariota,comp,24.0,,4,0,2015,2015,3145.512027293315,6.21110895481009,20.13973708487085,50.9002099531405,False,,False,False
CarrDa00,David Carr,MariMa01,Marcus Mariota,comp,24.0,,4,1,2016,2015,3857.310813170015,7.255368397753367,27.37716786180673,68.08545722056057,False,,False,False
CarrDa00,David Carr,MariMa01,Marcus Mariota,comp,24.0,,4,2,2017,2015,3611.431005041849,5.587744919372652,13.598547953935094,61.37777869400671,False,,False,False
