player_id,player_name,similarity_score,year_0_total_yards_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
WinsJa00,Jameis Winston,99.34082210649558,4359.659177893504,False,,2015,DaniJa02,Jayden Daniels,4,total_yards_adj,1,False
MurrKy00,Kyler Murray,135.33607446646693,4323.663925533533,True,2022.0,2019,DaniJa02,Jayden Daniels,4,total_yards_adj,2,False
HerbJu00,Justin Herbert,160.28525912989244,4619.285259129892,True,2023.0,2020,DaniJa02,Jayden Daniels,4,total_yards_adj,3,False
StroCJ00,C.J. Stroud,172.56652204545844,4286.433477954542,False,,2023,DaniJa02,Jayden Daniels,4,total_yards_adj,4,False
NixxBo00,Bo Nix,254.0,4205.0,False,,2024,DaniJa02,Jayden Daniels,4,total_yards_adj,5,False
GrifRo01,Robert Griffin III,311.2368761167354,4147.763123883265,False,,2012,DaniJa02,Jayden Daniels,4,total_yards_adj,6,False
LuckAn00,Andrew Luck,323.06612713714367,4782.066127137144,True,2016.0,2012,DaniJa02,Jayden Daniels,4,total_yards_adj,7,False
WillCa03,Caleb Williams,429.0,4030.0,False,,2024,DaniJa02,Jayden Daniels,4,total_yards_adj,8,False
WentCa00,Carson Wentz,441.2659291696691,4017.734070830331,False,,2016,DaniJa02,Jayden Daniels,4,total_yards_adj,9,False
LawrTr00,Trevor Lawrence,451.9350991151582,4007.064900884842,True,2024.0,2021,DaniJa02,Jayden Daniels,4,total_yards_adj,10,False
