player_id,player_name,similarity_score,year_3_total_yards_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
SancMa00,Mark Sanchez,462.482402815151,3007.257398162935,True,2012.0,2009,DarnSa00,Sam Darnold,4,total_yards_adj,1,False
MariMa01,Marcus Mariota,521.6922214171143,2931.9230340988997,False,,2015,DarnSa00,Sam Darnold,4,total_yards_adj,2,False
HarrJo00,Joey Harrington,524.5049144171419,2213.162906332414,False,,2002,DarnSa00,Sam Darnold,4,total_yards_adj,3,False
TrubMi00,Mitchell Trubisky,570.4317163098867,2274.2651713440387,False,,2017,DarnSa00,Sam Darnold,4,total_yards_adj,4,False
CarrDa00,David Carr,644.0036781628845,2945.265819183927,False,,2002,DarnSa00,Sam Darnold,4,total_yards_adj,5,False
MayfBa00,Baker Mayfield,721.4178415385126,3169.36152160552,False,,2018,DarnSa00,Sam Darnold,4,total_yards_adj,6,False
YounVi00,Vince Young,726.5066798627458,2250.024512669196,False,,2006,DarnSa00,Sam Darnold,4,total_yards_adj,7,False
RoetBe00,Ben Roethlisberger,727.2854855619584,3517.501773738741,True,2008.0,2004,DarnSa00,Sam Darnold,4,total_yards_adj,8,False
JoneDa05,Daniel Jones,877.6981977282827,3933.9867485377777,True,2023.0,2019,DarnSa00,Sam Darnold,4,total_yards_adj,9,False
WinsJa00,Jameis Winston,936.0308152218435,3326.2336535894965,False,,2015,DarnSa00,Sam Darnold,4,total_yards_adj,10,False
