target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year
FielJu00,Justin Fields,LeftBy00,Byron Leftwich,comp,20.0,,4,0,2003,2003,3100.68368690967,5.468246860260272,16.129900731976356,63.92846243330507,False,
FielJu00,Justin Fields,LeftBy00,Byron Leftwich,comp,20.0,,4,1,2004,2003,3263.0762356203104,5.977627243598832,17.15773624349817,43.80515171167783,False,
FielJu00,Justin Fields,LeftBy00,Byron Leftwich,comp,20.0,,4,2,2005,2003,2306.9142145968526,6.671967741935482,17.03521126760566,53.902877158596056,False,
FielJu00,Justin Fields,LeftBy00,Byron Leftwich,comp,20.0,,4,3,2006,2003,1260.5208193039252,5.5381407957529705,7.893397777178048,54.584982799307824,False,
FielJu00,Justin Fields,FielJu00,Justin Fields,target,,,4,0,2021,2021,2308.472609566362,4.265434425331435,7.134585532443346,50.86517650829873,False,
FielJu00,Justin Fields,FielJu00,Justin Fields,target,,,4,1,2022,2021,3403.15490513682,4.648478991826358,17.21651279113324,58.02261216883864,False,
FielJu00,Justin Fields,FielJu00,Justin Fields,target,,,4,2,2023,2021,3227.609208312437,5.300535548644078,16.101243650376613,53.18956276395991,False,
FielJu00,Justin Fields,FielJu00,Justin Fields,target,,,4,3,2024,2021,1395.0,5.86,5.0,54.8,False,
FielJu00,Justin Fields,TannRy00,Ryan Tannehill,comp,,42.0,4,0,2012,2012,3620.8990658059374,5.357792251262169,12.979361306568151,52.19815123613514,True,2015.0
FielJu00,Justin Fields,TannRy00,Ryan Tannehill,comp,,42.0,4,1,2013,2012,4276.47609798449,5.1117637234161,25.78336683652003,56.76979805103661,True,2015.0
FielJu00,Justin Fields,TannRy00,Ryan Tannehill,comp,,42.0,4,2,2014,2012,4475.374524838021,5.9482292968858514,28.81165981751065,65.05731438508924,True,2015.0
FielJu00,Justin Fields,TannRy00,Ryan Tannehill,comp,,42.0,4,3,2015,2012,4455.971272540269,6.0176481840864975,25.43966789667897,43.28249145675212,True,2015.0
FielJu00,Justin Fields,GrosRe00,Rex Grossman,comp,,13.0,4,0,2003,2003,461.871570718352,5.363891004148434,2.304271533139479,0.0,False,
FielJu00,Justin Fields,GrosRe00,Rex Grossman,comp,,13.0,4,1,2004,2003,691.9116006252196,5.49858394533133,1.143849082899878,77.51236260670265,False,
