target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
LoveJo03,Jordan Love,GoffJa00,Jared Goff,comp,,12.0,4,0,2016,2016,1129.0936287557265,2.865565669700909,5.26483997342437,28.368940508566904,False,,False,False
LoveJo03,Jordan Love,GoffJa00,Jared Goff,comp,,12.0,4,1,2017,2016,3928.348342109573,7.828927545836092,29.289180208475585,27.8989903154576,False,,False,False
LoveJo03,Jordan Love,GoffJa00,Jared Goff,comp,,12.0,4,2,2018,2016,4874.004461538413,7.78281655598115,33.25461821963956,35.7874408320025,False,,False,False
LoveJo03,Jordan Love,GoffJa00,Jared Goff,comp,,12.0,4,3,2019,2016,4741.232968505829,6.52484516803256,22.714125258334096,32.729214260354006,False,,False,False
LoveJo03,Jordan Love,MariMa01,Marcus Mariota,comp,,25.0,4,0,2015,2015,3145.512027293315,6.21110895481009,20.13973708487085,50.9002099531405,False,,False,False
LoveJo03,Jordan Love,MariMa01,Marcus Mariota,comp,,25.0,4,1,2016,2015,3857.310813170015,7.255368397753367,27.37716786180673,68.08545722056057,False,,False,False
LoveJo03,Jordan Love,MariMa01,Marcus Mariota,comp,,25.0,4,2,2017,2015,3611.431005041849,5.587744919372652,13.598547953935094,61.37777869400671,False,,False,False
LoveJo03,Jordan Love,MariMa01,Marcus Mariota,comp,,25.0,4,3,2018,2015,2931.9230340988997,5.819401195954696,11.431275013001098,61.80469076201658,False,,False,False
LoveJo03,Jordan Love,CarrDa00,David Carr,comp,6.0,,4,0,2002,2002,3053.1658995873145,3.3881575125992995,10.444890538595558,65.48613312042934,False,,False,False
LoveJo03,Jordan Love,CarrDa00,David Carr,comp,6.0,,4,1,2003,2002,2292.4084381525545,5.113436949480025,10.369221899127655,80.7823298020855,False,,False,False
LoveJo03,Jordan Love,CarrDa00,David Carr,comp,6.0,,4,2,2004,2002,4045.8342448772382,5.904729350384211,18.301585326398047,66.27662564169438,False,,False,False
LoveJo03,Jordan Love,CarrDa00,David Carr,comp,6.0,,4,3,2005,2002,2945.265819183927,3.917962365591397,15.899530516431948,69.64196015322487,False,,False,False
LoveJo03,Jordan Love,LosmJ.00,J.P. Losman,comp,20.0,,4,0,2004,2004,49.648618670817285,-2.2598346896532164,0.0,142.22451854440854,False,,False,False
LoveJo03,Jordan Love,LosmJ.00,J.P. Losman,comp,20.0,,4,1,2005,2004,1573.7579162592226,3.85560752688172,9.085446009389685,62.95633197851529,False,,False,False
LoveJo03,Jordan Love,LosmJ.00,J.P. Losman,comp,20.0,,4,2,2006,2004,3351.9349453323543,5.382575043063281,21.424936823768988,64.68320461717977,False,,False,False
LoveJo03,Jordan Love,LosmJ.00,J.P. Losman,comp,20.0,,4,3,2007,2004,1376.4137375499422,4.988562813503916,4.478756577665169,66.8765162230367,False,,False,False
LoveJo03,Jordan Love,RoetBe00,Ben Roethlisberger,comp,33.0,33.0,4,0,2004,2004,2920.8176728682934,7.2168914282473695,19.445434409297924,38.11617096990149,True,2008.0,False,False
LoveJo03,Jordan Love,RoetBe00,Ben Roethlisberger,comp,33.0,33.0,4,1,2005,2004,2585.007982931816,7.8255322580645155,19.30657276995308,44.988706258983264,True,2008.0,False,False
LoveJo03,Jordan Love,RoetBe00,Ben Roethlisberger,comp,33.0,33.0,4,2,2006,2004,3793.117232088729,5.154411939118401,20.29730856988641,46.94308520740473,True,2008.0,False,False
LoveJo03,Jordan Love,RoetBe00,Ben Roethlisberger,comp,33.0,33.0,4,3,2007,2004,3517.501773738741,6.779063574367354,35.83005262132135,80.25181946764404,True,2008.0,False,False
LoveJo03,Jordan Love,GrosRe00,Rex Grossman,comp,13.0,,4,0,2003,2003,461.871570718352,5.363891004148434,2.304271533139479,0.0,False,,False,False
LoveJo03,Jordan Love,GrosRe00,Rex Grossman,comp,13.0,,4,1,2004,2003,691.9116006252196,5.49858394533133,1.143849082899878,77.51236260670265,False,,False,False
LoveJo03,Jordan Love,GrosRe00,Rex Grossman,comp,13.0,,4,2,2005,2003,272.82684090437664,4.676612903225806,1.1356807511737106,,False,,False,False
LoveJo03,Jordan Love,GrosRe00,Rex Grossman,comp,13.0,,4,3,2006,2003,3356.136681396701,5.403317143421906,25.935449839299302,22.789230318711013,False,,False,False
LoveJo03,Jordan Love,RodgAa00,Aaron Rodgers,comp,32.0,,4,0,2005,2005,75.84375500044446,-0.4364838709677418,0.0,69.64196015322487,True,2008.0,False,False
LoveJo03,Jordan Love,RodgAa00,Aaron Rodgers,comp,32.0,,4,1,2006,2005,59.87473891693645,1.617883827972778,0.0,68.23122849913477,True,2008.0,False,False
LoveJo03,Jordan Love,RodgAa00,Aaron Rodgers,comp,32.0,,4,2,2007,2005,258.7322626901337,7.141303612692328,1.1196891444162922,57.38005091936549,True,2008.0,False,False
LoveJo03,Jordan Love,RodgAa00,Aaron Rodgers,comp,32.0,,4,3,2008,2005,4434.243873084627,6.858102871284342,31.132109248373148,63.21386768200012,True,2008.0,False,False
LoveJo03,Jordan Love,RivePh00,Philip Rivers,comp,31.0,,4,0,2004,2004,29.57790048474221,6.904471885898999,1.143849082899878,0.0,False,,False,False
LoveJo03,Jordan Love,RivePh00,Philip Rivers,comp,31.0,,4,1,2005,2004,120.0859454173704,2.2447741935483867,0.0,0.0,False,,False,False
LoveJo03,Jordan Love,RivePh00,Philip Rivers,comp,31.0,,4,2,2006,2004,3610.3417132896593,6.979716770677434,24.807821585416725,34.115614249567386,False,,False,False
LoveJo03,Jordan Love,RivePh00,Philip Rivers,comp,31.0,,4,3,2007,2004,3336.2844399517244,5.868288620864565,23.513472032742136,50.69239929706181,False,,False,False
LoveJo03,Jordan Love,MahoPa00,Patrick Mahomes,comp,,22.0,4,0,2017,2017,299.59388134376513,6.135364203666886,0.0,15.958222460441744,True,2020.0,False,False
LoveJo03,Jordan Love,MahoPa00,Patrick Mahomes,comp,,22.0,4,1,2018,2017,5456.3240104253,8.997300283832566,51.96034096818681,58.51136798606543,True,2020.0,False,False
LoveJo03,Jordan Love,MahoPa00,Patrick Mahomes,comp,,22.0,4,2,2019,2017,4306.434134925453,8.464118035311587,26.843966214394843,45.25921047883936,True,2020.0,False,False
LoveJo03,Jordan Love,MahoPa00,Patrick Mahomes,comp,,22.0,4,3,2020,2017,5102.440259975425,8.396758885686841,38.9804262917085,56.55827605622017,True,2020.0,False,False
LoveJo03,Jordan Love,WentCa00,Carson Wentz,comp,,43.0,4,0,2016,2016,4017.734070830331,5.172244418006252,16.847487914957984,54.24141425237992,False,,False,False
LoveJo03,Jordan Love,WentCa00,Carson Wentz,comp,,43.0,4,1,2017,2016,3663.4013722137274,7.534835707974373,34.51939095998908,59.25745543003193,False,,False,False
LoveJo03,Jordan Love,WentCa00,Carson Wentz,comp,,43.0,4,2,2018,2016,3218.5096183678384,6.973160737413539,21.823343206638462,48.41184480648191,False,,False,False
LoveJo03,Jordan Love,WentCa00,Carson Wentz,comp,,43.0,4,3,2019,2016,4339.88019904702,6.322837577690994,27.87642645341003,67.94282432264907,False,,False,False
LoveJo03,Jordan Love,PennCh01,Chad Pennington,comp,29.0,,4,0,2000,2000,71.58247633208632,14.522785132237312,1.177732222934016,0.0,True,2004.0,False,False
LoveJo03,Jordan Love,PennCh01,Chad Pennington,comp,29.0,,4,1,2001,2000,109.73198834170935,5.187133359963479,1.1690746299028347,0.0,True,2004.0,False,False
LoveJo03,Jordan Love,PennCh01,Chad Pennington,comp,29.0,,4,2,2002,2000,3366.556275501809,7.8324999288175166,25.53195464990025,46.03333620710453,True,2004.0,False,False
LoveJo03,Jordan Love,PennCh01,Chad Pennington,comp,29.0,,4,3,2003,2000,2310.41719205671,5.509989202705007,14.977764965406614,48.38222270520588,True,2004.0,False,False
LoveJo03,Jordan Love,WatsDe00,Deshaun Watson,comp,,41.0,4,0,2017,2017,2005.4447567501013,7.291449359399159,19.874800855751293,68.18513233097836,True,2020.0,False,False
LoveJo03,Jordan Love,WatsDe00,Deshaun Watson,comp,,41.0,4,1,2018,2017,4792.703302880557,6.952919341949349,27.019377303457144,57.63314857914513,True,2020.0,False,False
LoveJo03,Jordan Love,WatsDe00,Deshaun Watson,comp,,41.0,4,2,2019,2017,4322.65040843894,6.69655161982289,26.843966214394843,52.71239788466255,True,2020.0,False,False
LoveJo03,Jordan Love,WatsDe00,Deshaun Watson,comp,,41.0,4,3,2020,2017,5323.8020699862445,8.28587731576781,33.851422832273165,56.66458860519803,True,2020.0,False,False
LoveJo03,Jordan Love,HerbJu00,Justin Herbert,comp,,15.0,4,0,2020,2020,4619.285259129892,6.894817620419928,31.799821448499035,52.19946154812802,True,2023.0,False,False
LoveJo03,Jordan Love,HerbJu00,Justin Herbert,comp,,15.0,4,1,2021,2020,5358.882267447501,6.991690862276763,38.73060717612102,61.43592306660773,True,2023.0,False,False
LoveJo03,Jordan Love,HerbJu00,Justin Herbert,comp,,15.0,4,2,2022,2020,4912.205278138406,6.24482490910582,25.31840116343124,41.94529867267731,True,2023.0,False,False
LoveJo03,Jordan Love,HerbJu00,Justin Herbert,comp,,15.0,4,3,2023,2020,3370.991661493139,6.172268238118623,20.126554562970767,41.00874686381642,True,2023.0,False,False
LoveJo03,Jordan Love,StafMa00,Matthew Stafford,comp,36.0,,4,0,2009,2009,2473.9852859209914,3.7518601257296815,14.353841349156768,51.45785005771949,False,,False,False
LoveJo03,Jordan Love,StafMa00,Matthew Stafford,comp,36.0,,4,1,2010,2009,567.1802664099255,5.904298557624983,6.579172134080883,63.11700395971127,False,,False,False
LoveJo03,Jordan Love,StafMa00,Matthew Stafford,comp,36.0,,4,2,2011,2009,5299.773519921544,7.165142266197106,44.64981992228223,39.40403889801371,False,,False,False
LoveJo03,Jordan Love,StafMa00,Matthew Stafford,comp,36.0,,4,3,2012,2009,5261.409113309456,5.951964240885889,21.63226884428025,62.54044227359782,False,,False,False
LoveJo03,Jordan Love,TagoTu00,Tua Tagovailoa,comp,37.0,,4,0,2020,2020,1943.738633108705,5.443277068752575,11.283807610757725,56.13302586030874,True,2024.0,False,False
LoveJo03,Jordan Love,TagoTu00,Tua Tagovailoa,comp,37.0,,4,1,2021,2020,2803.433330656791,5.844852361126329,16.30762407415622,42.38764709024894,True,2024.0,False,False
LoveJo03,Jordan Love,TagoTu00,Tua Tagovailoa,comp,37.0,,4,2,2022,2020,3637.404563304288,8.403405866433394,25.31840116343124,35.864776260667576,True,2024.0,False,False
LoveJo03,Jordan Love,TagoTu00,Tua Tagovailoa,comp,37.0,,4,3,2023,2020,4710.564790510043,7.4948971462869,29.18350411630761,20.301359833572484,True,2024.0,False,False
LoveJo03,Jordan Love,DarnSa00,Sam Darnold,comp,8.0,,4,0,2018,2018,3051.8422431192357,5.303245611617845,17.666515929183518,42.3740863839048,False,,False,False
LoveJo03,Jordan Love,DarnSa00,Sam Darnold,comp,8.0,,4,1,2019,2018,3127.71375391385,5.555208734393046,19.61674454128854,29.488697996952617,False,,False,False
LoveJo03,Jordan Love,DarnSa00,Sam Darnold,comp,8.0,,4,2,2020,2018,2451.152462448575,4.193339371483465,9.23220622698359,63.2559666418252,False,,False,False
LoveJo03,Jordan Love,DarnSa00,Sam Darnold,comp,8.0,,4,3,2021,2018,2771.175198121366,4.376094280705599,9.173038541712874,63.21515763582805,False,,False,False
LoveJo03,Jordan Love,JackLa00,Lamar Jackson,comp,,16.0,4,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0,False,False
LoveJo03,Jordan Love,JackLa00,Lamar Jackson,comp,,16.0,4,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0,False,False
LoveJo03,Jordan Love,JackLa00,Lamar Jackson,comp,,16.0,4,2,2020,2018,3802.571366487232,6.753695622341158,26.670817989063707,54.857275272574455,True,2023.0,False,False
LoveJo03,Jordan Love,JackLa00,Lamar Jackson,comp,,16.0,4,3,2021,2018,3678.435175680198,5.814672400569739,16.30762407415622,59.02872335530964,True,2023.0,False,False
LoveJo03,Jordan Love,LoveJo03,Jordan Love,target,,,4,1,2021,2020,441.5331890786316,4.537054070340748,2.0384530092695274,26.165214253240087,True,2023.0,False,False
LoveJo03,Jordan Love,LoveJo03,Jordan Love,target,,,4,2,2022,2020,195.0404879162609,10.280869303736914,1.0127360465372497,0.0,True,2023.0,False,False
