target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,22.0,,4,0,2004,2004,1138.7491686625751,3.342889103127569,6.863094497399268,71.11225927220427,True,2009.0,False,False
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,22.0,,4,1,2005,2004,4047.1070376626058,5.850962365591397,27.25633802816905,48.05295250572516,True,2009.0,False,False
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,22.0,,4,2,2006,2004,3429.6670625227634,5.175154039477027,27.06307809318188,32.75098967958469,True,2009.0,False,False
MahoPa00,Patrick Mahomes,MannEl00,Eli Manning,comp,22.0,,4,3,2007,2004,3566.734228582613,4.988562813503916,25.75285032157472,50.69239929706181,True,2009.0,False,False
MahoPa00,Patrick Mahomes,WinsJa00,Jameis Winston,comp,,43.0,4,0,2015,2015,4359.659177893504,6.557301912947047,23.319695571955723,49.16891029487041,False,,False,False
MahoPa00,Patrick Mahomes,WinsJa00,Jameis Winston,comp,,43.0,4,1,2016,2015,4347.776823851235,6.076625072628171,29.483103851176477,36.42571961299991,False,,False,False
MahoPa00,Patrick Mahomes,WinsJa00,Jameis Winston,comp,,43.0,4,2,2017,2015,3708.2385517345615,6.794535564391428,19.874800855751293,50.77616237413282,False,,False,False
MahoPa00,Patrick Mahomes,WinsJa00,Jameis Winston,comp,,43.0,4,3,2018,2015,3326.2336535894965,6.457005153076689,19.74492956791099,58.29181313433536,False,,False,False
MahoPa00,Patrick Mahomes,TagoTu00,Tua Tagovailoa,comp,36.0,36.0,4,0,2020,2020,1943.738633108705,5.443277068752575,11.283807610757725,56.13302586030874,True,2024.0,False,False
MahoPa00,Patrick Mahomes,TagoTu00,Tua Tagovailoa,comp,36.0,36.0,4,1,2021,2020,2803.433330656791,5.844852361126329,16.30762407415622,42.38764709024894,True,2024.0,False,False
MahoPa00,Patrick Mahomes,TagoTu00,Tua Tagovailoa,comp,36.0,36.0,4,2,2022,2020,3637.404563304288,8.403405866433394,25.31840116343124,35.864776260667576,True,2024.0,False,False
MahoPa00,Patrick Mahomes,TagoTu00,Tua Tagovailoa,comp,36.0,36.0,4,3,2023,2020,4710.564790510043,7.4948971462869,29.18350411630761,20.301359833572484,True,2024.0,False,False
MahoPa00,Patrick Mahomes,RyanMa00,Matt Ryan,comp,,33.0,4,0,2008,2008,3701.993000285493,7.24025619393121,17.789776713356083,40.52507285007891,True,2013.0,False,False
MahoPa00,Patrick Mahomes,RyanMa00,Matt Ryan,comp,,33.0,4,1,2009,2008,3088.575314844521,5.772092501122587,24.29111612934222,55.70312268748135,True,2013.0,False,False
MahoPa00,Patrick Mahomes,RyanMa00,Matt Ryan,comp,,33.0,4,2,2010,2008,3975.4558233530856,6.408324044251506,30.702803292377453,43.92943475595904,True,2013.0,False,False
MahoPa00,Patrick Mahomes,RyanMa00,Matt Ryan,comp,,33.0,4,3,2011,2008,4414.060783499942,7.011163564201466,31.58157994502889,43.49313727422268,True,2013.0,False,False
MahoPa00,Patrick Mahomes,AlleJo02,Josh Allen,comp,1.0,1.0,4,0,2018,2018,2748.9954271187253,4.422744908925569,10.392068193637362,65.42734581556284,True,2021.0,False,False
MahoPa00,Patrick Mahomes,AlleJo02,Josh Allen,comp,1.0,1.0,4,1,2019,2018,3647.6480234400337,5.76731670425169,20.649204780303727,58.437309950005,True,2021.0,False,False
MahoPa00,Patrick Mahomes,AlleJo02,Josh Allen,comp,1.0,1.0,4,2,2020,2018,5018.545144765845,7.882671606971321,37.95462559982143,58.36558938884375,True,2021.0,False,False
MahoPa00,Patrick Mahomes,AlleJo02,Josh Allen,comp,1.0,1.0,4,3,2021,2018,5211.704537754625,6.418271611701546,36.692154166851495,64.36642706297062,True,2021.0,False,False
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,,,4,0,2017,2017,299.59388134376513,6.135364203666886,0.0,15.958222460441744,True,2020.0,False,False
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,,,4,1,2018,2017,5456.3240104253,8.997300283832566,51.96034096818681,58.51136798606543,True,2020.0,False,False
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,,,4,2,2019,2017,4306.434134925453,8.464118035311587,26.843966214394843,45.25921047883936,True,2020.0,False,False
MahoPa00,Patrick Mahomes,MahoPa00,Patrick Mahomes,target,,,4,3,2020,2017,5102.440259975425,8.396758885686841,38.9804262917085,56.55827605622017,True,2020.0,False,False
MahoPa00,Patrick Mahomes,BurrJo01,Joe Burrow,comp,,5.0,4,0,2020,2020,2860.520193290502,5.765841635789764,13.335408994531852,57.51508899702089,True,2023.0,False,False
MahoPa00,Patrick Mahomes,BurrJo01,Joe Burrow,comp,,5.0,4,1,2021,2020,4767.147148750797,7.555050125999782,34.65370115758196,41.86434280518414,True,2023.0,False,False
MahoPa00,Patrick Mahomes,BurrJo01,Joe Burrow,comp,,5.0,4,2,2022,2020,4757.379323813127,6.786980126295071,35.44576162880373,50.80843303594573,True,2023.0,False,False
MahoPa00,Patrick Mahomes,BurrJo01,Joe Burrow,comp,,5.0,4,3,2023,2020,2403.410771147845,5.561053363889344,15.094915922228076,39.28313127796276,True,2023.0,False,False
MahoPa00,Patrick Mahomes,TannRy00,Ryan Tannehill,comp,37.0,,4,0,2012,2012,3620.8990658059374,5.357792251262169,12.979361306568151,52.19815123613514,True,2015.0,False,False
MahoPa00,Patrick Mahomes,TannRy00,Ryan Tannehill,comp,37.0,,4,1,2013,2012,4276.47609798449,5.1117637234161,25.78336683652003,56.76979805103661,True,2015.0,False,False
MahoPa00,Patrick Mahomes,TannRy00,Ryan Tannehill,comp,37.0,,4,2,2014,2012,4475.374524838021,5.9482292968858514,28.81165981751065,65.05731438508924,True,2015.0,False,False
MahoPa00,Patrick Mahomes,TannRy00,Ryan Tannehill,comp,37.0,,4,3,2015,2012,4455.971272540269,6.0176481840864975,25.43966789667897,43.28249145675212,True,2015.0,False,False
MahoPa00,Patrick Mahomes,CutlJa00,Jay Cutler,comp,7.0,,4,0,2006,2006,1070.39226239225,6.025580154180666,10.148654284943206,34.115614249567386,False,,False,False
MahoPa00,Patrick Mahomes,CutlJa00,Jay Cutler,comp,7.0,,4,1,2007,2006,3877.841443234312,6.520320689849516,22.393782888325845,60.85762976296339,False,,False,False
MahoPa00,Patrick Mahomes,CutlJa00,Jay Cutler,comp,7.0,,4,2,2008,2006,4936.687053992449,6.827117466745407,27.79652611461888,55.213772394444085,False,,False,False
MahoPa00,Patrick Mahomes,CutlJa00,Jay Cutler,comp,7.0,,4,3,2009,2006,3999.001900063447,4.947507858105074,29.811824340556363,51.45785005771949,False,,False,False
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,12.0,12.0,4,0,2016,2016,1129.0936287557265,2.865565669700909,5.26483997342437,28.368940508566904,True,2019.0,False,False
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,12.0,12.0,4,1,2017,2016,3928.348342109573,7.828927545836092,29.289180208475585,27.8989903154576,True,2019.0,False,False
MahoPa00,Patrick Mahomes,GoffJa00,Jared Goff,comp,12.0,12.0,4,2,2018,2016,4874.004461538413,7.78281655598115,33.25461821963956,35.7874408320025,True,2019.0,False,False
