target_qb_id,target_qb_name,qb_id,qb_name,qb_type,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
ManzJo00,Johnny Manziel,ManzJo00,Johnny Manziel,target,3,0,2014,2014,209.59054248552715,1.5814331749868045,False,
ManzJo00,Johnny Manziel,ManzJo00,Johnny Manziel,target,3,1,2015,2014,1772.5523802011187,5.355808705295258,False,
ManzJo00,Johnny Manziel,CarrDa00,David Carr,comp,3,0,2002,2002,3053.1658995873145,3.3881575125992995,False,
ManzJo00,Johnny Manziel,CarrDa00,David Carr,comp,3,1,2003,2002,2292.4084381525545,5.113436949480025,False,
ManzJo00,Johnny Manziel,CarrDa00,David Carr,comp,3,2,2004,2002,4045.8342448772382,5.904729350384211,False,
ManzJo00,Johnny Manziel,TeboTi00,Tim Tebow,comp,3,0,2010,2010,915.1754848116196,6.932921999719928,False,
ManzJo00,Johnny Manziel,TeboTi00,Tim Tebow,comp,3,1,2011,2010,2474.816055334748,4.97864469785902,False,
ManzJo00,Johnny Manziel,TeboTi00,Tim Tebow,comp,3,2,2012,2010,145.66241605667255,3.2781902875791475,False,
ManzJo00,Johnny Manziel,LosmJ.00,J.P. Losman,comp,3,0,2004,2004,49.648618670817285,-2.2598346896532164,False,
ManzJo00,Johnny Manziel,LosmJ.00,J.P. Losman,comp,3,1,2005,2004,1573.7579162592226,3.85560752688172,False,
ManzJo00,Johnny Manziel,LosmJ.00,J.P. Losman,comp,3,2,2006,2004,3351.9349453323543,5.382575043063281,False,
ManzJo00,Johnny Manziel,StafMa00,Matthew Stafford,comp,3,0,2009,2009,2473.9852859209914,3.7518601257296815,False,
ManzJo00,Johnny Manziel,StafMa00,Matthew Stafford,comp,3,1,2010,2009,567.1802664099255,5.904298557624983,False,
ManzJo00,Johnny Manziel,StafMa00,Matthew Stafford,comp,3,2,2011,2009,5299.773519921544,7.165142266197106,False,
ManzJo00,Johnny Manziel,YounBr01,Bryce Young,comp,3,0,2023,2023,3138.3711780111616,3.68732907731762,False,
ManzJo00,Johnny Manziel,YounBr01,Bryce Young,comp,3,1,2024,2023,2652.0,5.11,False,
ManzJo00,Johnny Manziel,RussJa00,JaMarcus Russell,comp,3,0,2007,2007,394.9071377902041,2.7737237220312227,False,
ManzJo00,Johnny Manziel,RussJa00,JaMarcus Russell,comp,3,1,2008,2007,2663.6800651038398,5.4740881352119,False,
ManzJo00,Johnny Manziel,RussJa00,JaMarcus Russell,comp,3,2,2009,2007,1386.4734381308797,2.3809881567130677,False,
ManzJo00,Johnny Manziel,MannEl00,Eli Manning,comp,3,0,2004,2004,1138.7491686625751,3.342889103127569,False,
ManzJo00,Johnny Manziel,MannEl00,Eli Manning,comp,3,1,2005,2004,4047.1070376626058,5.850962365591397,False,
ManzJo00,Johnny Manziel,MannEl00,Eli Manning,comp,3,2,2006,2004,3429.6670625227634,5.175154039477027,False,
ManzJo00,Johnny Manziel,RichAn03,Anthony Richardson,comp,3,0,2023,2023,714.9069169079738,6.20232798603154,False,
ManzJo00,Johnny Manziel,RichAn03,Anthony Richardson,comp,3,1,2024,2023,2313.0,4.74,False,
ManzJo00,Johnny Manziel,LockJa00,Jake Locker,comp,3,0,2011,2011,619.480954830548,8.45856336296048,False,
ManzJo00,Johnny Manziel,LockJa00,Jake Locker,comp,3,1,2012,2011,2548.575747601498,5.224615770829265,False,
ManzJo00,Johnny Manziel,LockJa00,Jake Locker,comp,3,2,2013,2011,1453.6515958217572,5.80696358980069,False,
