target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
MayeDr00,Drake Maye,MariMa01,Marcus Mariota,comp,35.0,35.0,2,0,2015,2015,3145.512027293315,6.21110895481009,20.13973708487085,50.9002099531405,False,,False,True
MayeDr00,Drake Maye,MariMa01,Marcus Mariota,comp,35.0,35.0,2,1,2016,2015,3857.310813170015,7.255368397753367,27.37716786180673,68.08545722056057,False,,False,True
MayeDr00,Drake Maye,MayeDr00,Drake Maye,target,,,2,0,2024,2024,2697.0,5.1,15.0,64.8,False,,False,True
MayeDr00,Drake Maye,MurrKy00,Kyler Murray,comp,,37.0,2,0,2019,2019,4323.663925533533,5.605710631978438,20.649204780303727,52.28032904954237,True,2022.0,False,True
MayeDr00,Drake Maye,MurrKy00,Kyler Murray,comp,,37.0,2,1,2020,2019,4841.657853661309,6.501692054343353,26.670817989063707,60.704465466356616,True,2022.0,False,True
MayeDr00,Drake Maye,TrubMi00,Mitchell Trubisky,comp,57.0,57.0,2,0,2017,2017,2487.444436599084,5.121254417936823,7.322295052118896,43.52242489211385,False,,False,True
MayeDr00,Drake Maye,TrubMi00,Mitchell Trubisky,comp,57.0,57.0,2,1,2018,2017,3703.2677768652993,6.669539805450686,24.940963664729672,64.54912640864254,False,,False,True
MayeDr00,Drake Maye,LawrTr00,Trevor Lawrence,comp,,24.0,2,0,2021,2021,4007.064900884842,4.567234030897338,12.230718055617164,53.0630545055709,True,2024.0,False,True
MayeDr00,Drake Maye,LawrTr00,Trevor Lawrence,comp,,24.0,2,1,2022,2021,4427.6201483670775,6.686581012000766,25.31840116343124,61.52664203338662,True,2024.0,False,True
MayeDr00,Drake Maye,TannRy00,Ryan Tannehill,comp,55.0,,2,0,2012,2012,3620.8990658059374,5.357792251262169,12.979361306568151,52.19815123613514,True,2015.0,False,True
MayeDr00,Drake Maye,TannRy00,Ryan Tannehill,comp,55.0,,2,1,2013,2012,4276.47609798449,5.1117637234161,25.78336683652003,56.76979805103661,True,2015.0,False,True
MayeDr00,Drake Maye,AlleJo02,Josh Allen,comp,1.0,,2,0,2018,2018,2748.9954271187253,4.422744908925569,10.392068193637362,65.42734581556284,True,2021.0,False,True
MayeDr00,Drake Maye,AlleJo02,Josh Allen,comp,1.0,,2,1,2019,2018,3647.6480234400337,5.76731670425169,20.649204780303727,58.437309950005,True,2021.0,False,True
MayeDr00,Drake Maye,MahoPa00,Patrick Mahomes,comp,,31.0,2,0,2017,2017,299.59388134376513,6.135364203666886,0.0,15.958222460441744,True,2020.0,False,True
MayeDr00,Drake Maye,MahoPa00,Patrick Mahomes,comp,,31.0,2,1,2018,2017,5456.3240104253,8.997300283832566,51.96034096818681,58.51136798606543,True,2020.0,False,True
MayeDr00,Drake Maye,WentCa00,Carson Wentz,comp,,61.0,2,0,2016,2016,4017.734070830331,5.172244418006252,16.847487914957984,54.24141425237992,False,,False,True
MayeDr00,Drake Maye,WentCa00,Carson Wentz,comp,,61.0,2,1,2017,2016,3663.4013722137274,7.534835707974373,34.51939095998908,59.25745543003193,False,,False,True
MayeDr00,Drake Maye,WatsDe00,Deshaun Watson,comp,59.0,,2,0,2017,2017,2005.4447567501013,7.291449359399159,19.874800855751293,68.18513233097836,True,2020.0,False,True
MayeDr00,Drake Maye,WatsDe00,Deshaun Watson,comp,59.0,,2,1,2018,2017,4792.703302880557,6.952919341949349,27.019377303457144,57.63314857914513,True,2020.0,False,True
MayeDr00,Drake Maye,BortBl00,Blake Bortles,comp,3.0,,2,0,2014,2014,3418.1751708301413,3.8872647720643374,11.738083629356192,73.39498464021801,True,2018.0,False,True
MayeDr00,Drake Maye,BortBl00,Blake Bortles,comp,3.0,,2,1,2015,2014,4854.539408897631,6.2009268089825325,37.09951568265684,70.98328598907348,True,2018.0,False,True
MayeDr00,Drake Maye,FlacJo00,Joe Flacco,comp,11.0,11.0,2,0,2008,2008,3291.4728961341957,5.463759667032255,15.566054624186574,45.37758966384241,True,2013.0,False,True
MayeDr00,Drake Maye,FlacJo00,Joe Flacco,comp,11.0,11.0,2,1,2009,2008,3821.91663749226,6.30807251908397,23.186974487099395,40.3944122953098,True,2013.0,False,True
MayeDr00,Drake Maye,BurrJo01,Joe Burrow,comp,6.0,6.0,2,0,2020,2020,2860.520193290502,5.765841635789764,13.335408994531852,57.51508899702089,True,2023.0,False,True
MayeDr00,Drake Maye,BurrJo01,Joe Burrow,comp,6.0,6.0,2,1,2021,2020,4767.147148750797,7.555050125999782,34.65370115758196,41.86434280518414,True,2023.0,False,True
MayeDr00,Drake Maye,FreeJo00,Josh Freeman,comp,12.0,12.0,2,0,2009,2009,2100.0228784912497,3.803396665918276,11.041416422428282,72.94150245681739,False,,False,True
MayeDr00,Drake Maye,FreeJo00,Josh Freeman,comp,12.0,12.0,2,1,2010,2009,3962.990322992428,7.138646688138917,27.41321722533701,72.45832054574853,False,,False,True
MayeDr00,Drake Maye,JackLa00,Lamar Jackson,comp,20.0,20.0,2,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0,False,True
MayeDr00,Drake Maye,JackLa00,Lamar Jackson,comp,20.0,20.0,2,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0,False,True
