target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
PeniMi00,Michael Penix,HerbJu00,Justin Herbert,comp,,19.0,2,0,2020,2020,4619.285259129892,6.894817620419928,31.799821448499035,52.19946154812802,True,2023.0,False,True
PeniMi00,Michael Penix,HerbJu00,Justin Herbert,comp,,19.0,2,1,2021,2020,5358.882267447501,6.991690862276763,38.73060717612102,61.43592306660773,True,2023.0,False,True
PeniMi00,Michael Penix,WatsDe00,Deshaun Watson,comp,59.0,,2,0,2017,2017,2005.4447567501013,7.291449359399159,19.874800855751293,68.18513233097836,True,2020.0,False,True
PeniMi00,Michael Penix,WatsDe00,Deshaun Watson,comp,59.0,,2,1,2018,2017,4792.703302880557,6.952919341949349,27.019377303457144,57.63314857914513,True,2020.0,False,True
PeniMi00,Michael Penix,PeniMi00,Michael Penix,target,,,2,0,2024,2024,786.0,6.29,3.0,14.3,False,,False,True
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,,35.0,2,0,2015,2015,3145.512027293315,6.21110895481009,20.13973708487085,50.9002099531405,False,,False,True
PeniMi00,Michael Penix,MariMa01,Marcus Mariota,comp,,35.0,2,1,2016,2015,3857.310813170015,7.255368397753367,27.37716786180673,68.08545722056057,False,,False,True
PeniMi00,Michael Penix,FlacJo00,Joe Flacco,comp,,11.0,2,0,2008,2008,3291.4728961341957,5.463759667032255,15.566054624186574,45.37758966384241,True,2013.0,False,True
PeniMi00,Michael Penix,FlacJo00,Joe Flacco,comp,,11.0,2,1,2009,2008,3821.91663749226,6.30807251908397,23.186974487099395,40.3944122953098,True,2013.0,False,True
PeniMi00,Michael Penix,JackLa00,Lamar Jackson,comp,20.0,,2,0,2018,2018,1926.8374601911655,6.062297941524979,6.235240916182418,55.98648719116955,True,2023.0,False,True
PeniMi00,Michael Penix,JackLa00,Lamar Jackson,comp,20.0,,2,1,2019,2018,4391.569570871261,8.2722108244871,37.16856860454671,62.649981092426806,True,2023.0,False,True
PeniMi00,Michael Penix,CutlJa00,Jay Cutler,comp,8.0,8.0,2,0,2006,2006,1070.39226239225,6.025580154180666,10.148654284943206,34.115614249567386,False,,False,True
PeniMi00,Michael Penix,CutlJa00,Jay Cutler,comp,8.0,8.0,2,1,2007,2006,3877.841443234312,6.520320689849516,22.393782888325845,60.85762976296339,False,,False,True
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,27.0,,2,0,2011,2011,619.480954830548,8.45856336296048,4.356079992417778,77.44504500395776,False,,False,True
PeniMi00,Michael Penix,LockJa00,Jake Locker,comp,27.0,,2,1,2012,2011,2548.575747601498,5.224615770829265,10.816134422140127,59.37691795625629,False,,False,True
PeniMi00,Michael Penix,GoffJa00,Jared Goff,comp,14.0,,2,0,2016,2016,1129.0936287557265,2.865565669700909,5.26483997342437,28.368940508566904,False,,False,True
PeniMi00,Michael Penix,GoffJa00,Jared Goff,comp,14.0,,2,1,2017,2016,3928.348342109573,7.828927545836092,29.289180208475585,27.8989903154576,False,,False,True
PeniMi00,Michael Penix,FreeJo00,Josh Freeman,comp,12.0,,2,0,2009,2009,2100.0228784912497,3.803396665918276,11.041416422428282,72.94150245681739,False,,False,True
PeniMi00,Michael Penix,FreeJo00,Josh Freeman,comp,12.0,,2,1,2010,2009,3962.990322992428,7.138646688138917,27.41321722533701,72.45832054574853,False,,False,True
PeniMi00,Michael Penix,BridTe00,Teddy Bridgewater,comp,,5.0,2,0,2014,2014,3213.7216514447496,5.570725893824485,14.939379164635154,54.958164498595245,False,,False,True
PeniMi00,Michael Penix,BridTe00,Teddy Bridgewater,comp,,5.0,2,1,2015,2014,3507.194680594468,5.803823121707789,14.839806273062733,44.55211120615019,False,,False,True
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,,38.0,2,0,2011,2011,4927.877762757386,6.405514003018616,22.869419960193337,65.92122230736885,True,2015.0,False,True
PeniMi00,Michael Penix,NewtCa00,Cam Newton,comp,,38.0,2,1,2012,2011,4762.437858306812,6.812489191375416,20.55065540206624,63.27048634683048,True,2015.0,False,True
PeniMi00,Michael Penix,RussJa00,JaMarcus Russell,comp,49.0,,2,0,2007,2007,394.9071377902041,2.7737237220312227,2.2393782888325844,26.75060648921468,False,,False,True
PeniMi00,Michael Penix,RussJa00,JaMarcus Russell,comp,49.0,,2,1,2008,2007,2663.6800651038398,5.4740881352119,14.454193579601816,92.59126677073046,False,,False,True
PeniMi00,Michael Penix,MurrKy00,Kyler Murray,comp,,37.0,2,0,2019,2019,4323.663925533533,5.605710631978438,20.649204780303727,52.28032904954237,True,2022.0,False,True
PeniMi00,Michael Penix,MurrKy00,Kyler Murray,comp,,37.0,2,1,2020,2019,4841.657853661309,6.501692054343353,26.670817989063707,60.704465466356616,True,2022.0,False,True
PeniMi00,Michael Penix,LuckAn00,Andrew Luck,comp,,29.0,2,0,2012,2012,4782.066127137144,5.7982990711556175,24.87710917092229,64.7305744932958,True,2016.0,False,True
PeniMi00,Michael Penix,LuckAn00,Andrew Luck,comp,,29.0,2,1,2013,2012,4325.927038168362,6.195457632780314,24.70905988499836,66.45054256079233,True,2016.0,False,True
PeniMi00,Michael Penix,WinsJa00,Jameis Winston,comp,,63.0,2,0,2015,2015,4359.659177893504,6.557301912947047,23.319695571955723,49.16891029487041,False,,False,True
PeniMi00,Michael Penix,WinsJa00,Jameis Winston,comp,,63.0,2,1,2016,2015,4347.776823851235,6.076625072628171,29.483103851176477,36.42571961299991,False,,False,True
PeniMi00,Michael Penix,BollKy00,Kyle Boller,comp,2.0,,2,0,2003,2003,1400.4454506643608,3.9133446041938966,8.064950365988178,33.85302669763655,False,,False,True
PeniMi00,Michael Penix,BollKy00,Kyle Boller,comp,2.0,,2,1,2004,2003,2902.8596618597003,4.332217653897411,14.870038077698414,59.02317519592955,False,,False,True
PeniMi00,Michael Penix,VickMi00,Michael Vick,comp,58.0,,2,0,2001,2001,1144.1956842620957,4.516473693220725,2.338149259805669,97.93788449097768,True,2004.0,False,True
PeniMi00,Michael Penix,VickMi00,Michael Vick,comp,58.0,,2,1,2002,2001,3944.469375493284,6.201164830158594,18.568694290836547,78.85065008378227,True,2004.0,False,True
PeniMi00,Michael Penix,LeftBy00,Byron Leftwich,comp,,25.0,2,0,2003,2003,3100.68368690967,5.468246860260272,16.129900731976356,63.92846243330507,False,,False,True
PeniMi00,Michael Penix,LeftBy00,Byron Leftwich,comp,,25.0,2,1,2004,2003,3263.0762356203104,5.977627243598832,17.15773624349817,43.80515171167783,False,,False,True
PeniMi00,Michael Penix,MannEl00,Eli Manning,comp,32.0,,2,0,2004,2004,1138.7491686625751,3.342889103127569,6.863094497399268,71.11225927220427,False,,False,True
PeniMi00,Michael Penix,MannEl00,Eli Manning,comp,32.0,,2,1,2005,2004,4047.1070376626058,5.850962365591397,27.25633802816905,48.05295250572516,False,,False,True
