player_id,player_name,similarity_score,year_3_Pass_ANY/A_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
BollKy00,Kyle Boller,0.6993806926972582,8.566487448112273,False,,2003,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,1,False
YounVi00,Vince Young,0.9494936925232406,6.648213684328694,False,,2006,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,2,False
BortBl00,Blake Bortles,1.3014684145360589,6.297621769383697,True,2018.0,2014,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,3,False
TrubMi00,Mitchell Trubisky,1.3186654382801464,6.0480856319473055,False,,2017,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,4,False
BradSa00,Sam Bradford,1.3351370090344956,6.236351742567642,False,,2010,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,5,False
FielJu00,Justin Fields,1.36456752788526,5.86,False,,2021,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,6,False
JoneDa05,Daniel Jones,1.3811904086321805,5.913507831934611,True,2023.0,2019,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,7,False
FreeJo00,Josh Freeman,1.3816651358573555,6.453937128671446,False,,2009,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,8,False
GrosRe00,Rex Grossman,1.389875144194213,5.403317143421906,False,,2003,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,9,False
TannRy00,Ryan Tannehill,1.4512616915379923,6.0176481840864975,True,2015.0,2012,RamsPa00,Patrick Ramsey,4,Pass_ANY/A_adj,10,False
