target_qb_id,target_qb_name,qb_id,qb_name,qb_type,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,got_paid,payment_year
RoseJo01,Josh Rosen,PickKe00,Kenny Pickett,comp,3,0,2022,2022,2655.164580344562,4.718758371832372,False,
RoseJo01,Josh Rosen,PickKe00,Kenny Pickett,comp,3,1,2023,2022,2129.6806332574142,5.300535548644078,False,
RoseJo01,Josh Rosen,PickKe00,Kenny Pickett,comp,3,2,2024,2022,306.0,5.5,False,
RoseJo01,Josh Rosen,LeinMa00,Matt Leinart,comp,3,0,2006,2006,2726.926705760825,5.392946093242593,False,
RoseJo01,Josh Rosen,LeinMa00,Matt Leinart,comp,3,1,2007,2006,721.726838030373,4.315831313757537,False,
RoseJo01,Josh Rosen,LeinMa00,Matt Leinart,comp,3,2,2008,2006,280.9921323580129,7.333212407548016,False,
RoseJo01,Josh Rosen,BollKy00,Kyle Boller,comp,3,0,2003,2003,1400.4454506643608,3.9133446041938966,False,
RoseJo01,Josh Rosen,BollKy00,Kyle Boller,comp,3,1,2004,2003,2902.8596618597003,4.332217653897411,False,
RoseJo01,Josh Rosen,BollKy00,Kyle Boller,comp,3,2,2005,2003,1964.5639316087352,4.385623655913977,False,
RoseJo01,Josh Rosen,TeboTi00,Tim Tebow,comp,3,0,2010,2010,915.1754848116196,6.932921999719928,False,
RoseJo01,Josh Rosen,TeboTi00,Tim Tebow,comp,3,1,2011,2010,2474.816055334748,4.97864469785902,False,
RoseJo01,Josh Rosen,TeboTi00,Tim Tebow,comp,3,2,2012,2010,145.66241605667255,3.2781902875791475,False,
RoseJo01,Josh Rosen,WeedBr00,Brandon Weeden,comp,3,0,2012,2012,3611.601464781044,5.101683635045049,False,
RoseJo01,Josh Rosen,WeedBr00,Brandon Weeden,comp,3,1,2013,2012,1828.654558882792,4.610810878521322,False,
RoseJo01,Josh Rosen,WeedBr00,Brandon Weeden,comp,3,2,2014,2012,310.2761952481824,6.417557852043226,False,
RoseJo01,Josh Rosen,RoseJo01,Josh Rosen,target,3,0,2018,2018,2455.294991467224,3.5726062994295784,False,
RoseJo01,Josh Rosen,RoseJo01,Josh Rosen,target,3,1,2019,2018,587.8399148639121,2.171581596171827,False,
RoseJo01,Josh Rosen,YounVi00,Vince Young,comp,3,0,2006,2006,2889.7439782542488,4.68771468104933,False,
RoseJo01,Josh Rosen,YounVi00,Vince Young,comp,3,1,2007,2006,3080.6946743792846,4.584923913656088,False,
RoseJo01,Josh Rosen,YounVi00,Vince Young,comp,3,2,2008,2006,256.96678275119393,3.604635394696138,False,
RoseJo01,Josh Rosen,GabbBl00,Blaine Gabbert,comp,3,0,2011,2011,2395.050112990346,3.77761082229303,False,
RoseJo01,Josh Rosen,GabbBl00,Blaine Gabbert,comp,3,1,2012,2011,1774.8087289742089,4.825086329530557,False,
RoseJo01,Josh Rosen,GabbBl00,Blaine Gabbert,comp,3,2,2013,2011,528.5069232151393,1.2370468210666965,False,
RoseJo01,Josh Rosen,ManuEJ00,EJ Manuel,comp,3,0,2013,2013,2223.231852433276,4.9788578666072825,False,
RoseJo01,Josh Rosen,ManuEJ00,EJ Manuel,comp,3,1,2014,2013,914.3901118241135,5.652348251243159,False,
RoseJo01,Josh Rosen,ManuEJ00,EJ Manuel,comp,3,2,2015,2013,640.3729697258377,4.989251455503188,False,
RoseJo01,Josh Rosen,RussJa00,JaMarcus Russell,comp,3,0,2007,2007,394.9071377902041,2.7737237220312227,False,
RoseJo01,Josh Rosen,RussJa00,JaMarcus Russell,comp,3,1,2008,2007,2663.6800651038398,5.4740881352119,False,
RoseJo01,Josh Rosen,RussJa00,JaMarcus Russell,comp,3,2,2009,2007,1386.4734381308797,2.3809881567130677,False,
