player_id,player_name,similarity_score,year_1_total_yards_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
GrifRo01,Robert Griffin III,152.1985465398189,3803.601482476207,False,,2012,StroCJ00,C.j. Stroud,4,total_yards_adj,1,False
MayfBa00,Baker Mayfield,190.68403542516964,4021.635831344833,False,,2018,StroCJ00,C.j. Stroud,4,total_yards_adj,2,False
WentCa00,Carson Wentz,289.9362905476574,3663.4013722137274,False,,2016,StroCJ00,C.j. Stroud,4,total_yards_adj,3,False
WinsJa00,Jameis Winston,338.2925302882375,4347.776823851235,False,,2015,StroCJ00,C.j. Stroud,4,total_yards_adj,4,False
LuckAn00,Andrew Luck,401.9836059021736,4325.927038168362,True,2016.0,2012,StroCJ00,C.j. Stroud,4,total_yards_adj,5,False
TannRy00,Ryan Tannehill,430.21842154481715,4276.47609798449,True,2015.0,2012,StroCJ00,C.j. Stroud,4,total_yards_adj,6,False
FlacJo00,Joe Flacco,509.5322042673412,3821.91663749226,True,2013.0,2008,StroCJ00,C.j. Stroud,4,total_yards_adj,7,False
MariMa01,Marcus Mariota,574.8535413027879,3857.310813170015,False,,2015,StroCJ00,C.j. Stroud,4,total_yards_adj,8,False
BridTe00,Teddy Bridgewater,662.8306663885222,3507.194680594468,False,,2014,StroCJ00,C.j. Stroud,4,total_yards_adj,9,False
JoneDa05,Daniel Jones,671.5044196217075,3402.3006963306816,True,2023.0,2019,StroCJ00,C.j. Stroud,4,total_yards_adj,10,False
