target_qb_id,target_qb_name,qb_id,qb_name,qb_type,yards_comp_rank,anya_comp_rank,decision_year,years_since_draft,season,draft_year,total_yards_adj,Pass_ANY/A_adj,Pass_TD_adj,Rush_Rushing_Succ%_adj,got_paid,payment_year,is_projected,is_projection_analysis
WillCa03,Caleb Williams,RamsPa00,Patrick Ramsey,comp,,33.0,4,0,2002,2002,1633.8793157847217,5.2390954130007685,10.444890538595558,34.302260205939184,False,,False,False
WillCa03,Caleb Williams,RamsPa00,Patrick Ramsey,comp,,33.0,4,1,2003,2002,2360.2060999093765,5.217792805591862,16.129900731976356,38.79295334021012,False,,False,False
WillCa03,Caleb Williams,RamsPa00,Patrick Ramsey,comp,,33.0,4,2,2004,2002,1778.899443439496,4.353045623387302,11.43849082899878,14.222451854440854,False,,False,False
WillCa03,Caleb Williams,RamsPa00,Patrick Ramsey,comp,,33.0,4,3,2005,2002,297.05470708507414,8.137306451612902,1.1356807511737106,19.917600603822315,False,,False,False
WillCa03,Caleb Williams,DarnSa00,Sam Darnold,comp,,9.0,4,0,2018,2018,3051.8422431192357,5.303245611617845,17.666515929183518,42.3740863839048,False,,False,False
WillCa03,Caleb Williams,DarnSa00,Sam Darnold,comp,,9.0,4,1,2019,2018,3127.71375391385,5.555208734393046,19.61674454128854,29.488697996952617,False,,False,False
WillCa03,Caleb Williams,DarnSa00,Sam Darnold,comp,,9.0,4,2,2020,2018,2451.152462448575,4.193339371483465,9.23220622698359,63.2559666418252,False,,False,False
WillCa03,Caleb Williams,DarnSa00,Sam Darnold,comp,,9.0,4,3,2021,2018,2771.175198121366,4.376094280705599,9.173038541712874,63.21515763582805,False,,False,False
WillCa03,Caleb Williams,RyanMa00,Matt Ryan,comp,37.0,,4,0,2008,2008,3701.993000285493,7.24025619393121,17.789776713356083,40.52507285007891,True,2013.0,False,False
WillCa03,Caleb Williams,RyanMa00,Matt Ryan,comp,37.0,,4,1,2009,2008,3088.575314844521,5.772092501122587,24.29111612934222,55.70312268748135,True,2013.0,False,False
WillCa03,Caleb Williams,RyanMa00,Matt Ryan,comp,37.0,,4,2,2010,2008,3975.4558233530856,6.408324044251506,30.702803292377453,43.92943475595904,True,2013.0,False,False
WillCa03,Caleb Williams,RyanMa00,Matt Ryan,comp,37.0,,4,3,2011,2008,4414.060783499942,7.011163564201466,31.58157994502889,43.49313727422268,True,2013.0,False,False
WillCa03,Caleb Williams,TannRy00,Ryan Tannehill,comp,41.0,41.0,4,0,2012,2012,3620.8990658059374,5.357792251262169,12.979361306568151,52.19815123613514,True,2015.0,False,False
WillCa03,Caleb Williams,TannRy00,Ryan Tannehill,comp,41.0,41.0,4,1,2013,2012,4276.47609798449,5.1117637234161,25.78336683652003,56.76979805103661,True,2015.0,False,False
WillCa03,Caleb Williams,TannRy00,Ryan Tannehill,comp,41.0,41.0,4,2,2014,2012,4475.374524838021,5.9482292968858514,28.81165981751065,65.05731438508924,True,2015.0,False,False
WillCa03,Caleb Williams,TannRy00,Ryan Tannehill,comp,41.0,41.0,4,3,2015,2012,4455.971272540269,6.0176481840864975,25.43966789667897,43.28249145675212,True,2015.0,False,False
WillCa03,Caleb Williams,HerbJu00,Justin Herbert,comp,17.0,,4,0,2020,2020,4619.285259129892,6.894817620419928,31.799821448499035,52.19946154812802,True,2023.0,False,False
WillCa03,Caleb Williams,HerbJu00,Justin Herbert,comp,17.0,,4,1,2021,2020,5358.882267447501,6.991690862276763,38.73060717612102,61.43592306660773,True,2023.0,False,False
WillCa03,Caleb Williams,HerbJu00,Justin Herbert,comp,17.0,,4,2,2022,2020,4912.205278138406,6.24482490910582,25.31840116343124,41.94529867267731,True,2023.0,False,False
WillCa03,Caleb Williams,HerbJu00,Justin Herbert,comp,17.0,,4,3,2023,2020,3370.991661493139,6.172268238118623,20.126554562970767,41.00874686381642,True,2023.0,False,False
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,,26.0,4,0,2013,2013,2223.231852433276,4.9788578666072825,11.817376466738349,49.5988761919583,False,,False,False
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,,26.0,4,1,2014,2013,914.3901118241135,5.652348251243159,5.335492558798269,29.357993856087205,False,,False,False
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,,26.0,4,2,2015,2013,640.3729697258377,4.989251455503188,3.179958487084871,67.86694660418732,False,,False,False
WillCa03,Caleb Williams,ManuEJ00,EJ Manuel,comp,,26.0,4,3,2016,2013,156.33604090463902,3.891885288990952,0.0,56.73788101713381,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,0,2012,2012,3611.601464781044,5.101683635045049,15.142588190996175,63.14881233462504,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,1,2013,2012,1828.654558882792,4.610810878521322,9.668762563695012,59.7576821589859,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,2,2014,2012,310.2761952481824,6.417557852043226,3.2012955352789616,0.0,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,1116.810459201861,6.628576933739948,5.299930811808119,36.12645286923577,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,1099.392314425318,6.628576933739948,5.299930811808119,38.43485241359588,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,1086.072556655021,6.628576933739948,5.299930811808119,33.01011348434962,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,804.3084499756521,6.0176481840864975,2.119972324723248,36.12645286923577,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,786.8903051991094,6.0176481840864975,2.119972324723248,38.43485241359588,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,773.570547428812,6.0176481840864975,2.119972324723248,33.01011348434962,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,360.6580565495918,8.094805932908233,3.179958487084871,36.12645286923577,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,343.239911773049,8.094805932908233,3.179958487084871,38.43485241359588,False,,False,False
WillCa03,Caleb Williams,WeedBr00,Brandon Weeden,comp,45.0,45.0,4,3,2015,2012,329.9201540027516,8.094805932908233,3.179958487084871,33.01011348434962,False,,False,False
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,46.0,46.0,4,0,2016,2016,4017.734070830331,5.172244418006252,16.847487914957984,54.24141425237992,False,,False,False
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,46.0,46.0,4,1,2017,2016,3663.4013722137274,7.534835707974373,34.51939095998908,59.25745543003193,False,,False,False
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,46.0,46.0,4,2,2018,2016,3218.5096183678384,6.973160737413539,21.823343206638462,48.41184480648191,False,,False,False
WillCa03,Caleb Williams,WentCa00,Carson Wentz,comp,46.0,46.0,4,3,2019,2016,4339.88019904702,6.322837577690994,27.87642645341003,67.94282432264907,False,,False,False
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,14.0,,4,0,2012,2012,4147.763123883265,7.652525452567572,21.63226884428025,68.98916492048632,False,,False,False
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,14.0,,4,1,2013,2012,3803.601482476207,5.602493040864046,17.188911224346686,63.94071991011492,False,,False,False
WillCa03,Caleb Williams,GrifRo01,Robert Griffin III,comp,14.0,,4,2,2014,2012,1921.2466394506653,5.274844848181792,4.268394047038616,49.43886165365085,False,,False,False
WillCa03,Caleb Williams,LeinMa00,Matt Leinart,comp,,21.0,4,0,2006,2006,2726.926705760825,5.392946093242593,12.403910792708364,43.39506132544972,False,,False,False
WillCa03,Caleb Williams,LeinMa00,Matt Leinart,comp,,21.0,4,1,2007,2006,721.726838030373,4.315831313757537,2.2393782888325844,85.06692863570268,False,,False,False
WillCa03,Caleb Williams,LeinMa00,Matt Leinart,comp,,21.0,4,2,2008,2006,280.9921323580129,7.333212407548016,1.1118610445847552,32.78727576867226,False,,False,False
WillCa03,Caleb Williams,LeinMa00,Matt Leinart,comp,,21.0,4,3,2009,2006,446.8798684884654,3.762167433767401,0.0,0.0,False,,False,False
WillCa03,Caleb Williams,GrosRe00,Rex Grossman,comp,,15.0,4,0,2003,2003,461.871570718352,5.363891004148434,2.304271533139479,0.0,False,,False,False
WillCa03,Caleb Williams,GrosRe00,Rex Grossman,comp,,15.0,4,1,2004,2003,691.9116006252196,5.49858394533133,1.143849082899878,77.51236260670265,False,,False,False
WillCa03,Caleb Williams,GrosRe00,Rex Grossman,comp,,15.0,4,2,2005,2003,272.82684090437664,4.676612903225806,1.1356807511737106,,False,,False,False
WillCa03,Caleb Williams,GrosRe00,Rex Grossman,comp,,15.0,4,3,2006,2003,3356.136681396701,5.403317143421906,25.935449839299302,22.789230318711013,False,,False,False
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,28.0,,4,0,2018,2018,3918.715847308615,6.851712364628398,28.05858412282088,42.26430895803976,False,,False,False
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,28.0,,4,1,2019,2018,4021.635831344833,5.343100764534403,22.714125258334096,61.67782621340639,False,,False,False
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,28.0,,4,2,2020,2018,3768.2046927869214,7.015779333058874,26.670817989063707,49.222710176748,False,,False,False
WillCa03,Caleb Williams,MayfBa00,Baker Mayfield,comp,28.0,,4,3,2021,2018,3169.36152160552,5.442452887038458,17.32685057879098,50.86517650829873,False,,False,False
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,,42.0,4,0,2017,2017,2487.444436599084,5.121254417936823,7.322295052118896,43.52242489211385,False,,False,False
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,,42.0,4,1,2018,2017,3703.2677768652993,6.669539805450686,24.940963664729672,64.54912640864254,False,,False,False
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,,42.0,4,2,2019,2017,3376.025442089123,5.090591276607446,17.551824063258167,47.31153744566024,False,,False,False
WillCa03,Caleb Williams,TrubMi00,Mitchell Trubisky,comp,,42.0,4,3,2020,2017,2274.2651713440387,6.0480856319473055,16.41281107019305,67.61478114991735,False,,False,False
WillCa03,Caleb Williams,BradSa00,Sam Bradford,comp,4.0,4.0,4,0,2010,2010,3713.6803157792738,4.865388881109089,19.737516402242647,37.36526634414908,False,,False,False
WillCa03,Caleb Williams,BradSa00,Sam Bradford,comp,4.0,4.0,4,1,2011,2010,2268.667710834281,4.609095813069485,6.534119988626667,41.26271997810869,False,,False,False
WillCa03,Caleb Williams,BradSa00,Sam Bradford,comp,4.0,4.0,4,2,2012,2010,3952.5135023604903,5.777810381858247,22.713882286494265,40.51744606441259,False,,False,False
WillCa03,Caleb Williams,BradSa00,Sam Bradford,comp,4.0,4.0,4,3,2013,2010,1769.931567414443,6.236351742567642,15.04029732130335,23.90307286359436,False,,False,False
WillCa03,Caleb Williams,WinsJa00,Jameis Winston,comp,47.0,,4,0,2015,2015,4359.659177893504,6.557301912947047,23.319695571955723,49.16891029487041,False,,False,False
WillCa03,Caleb Williams,WinsJa00,Jameis Winston,comp,47.0,,4,1,2016,2015,4347.776823851235,6.076625072628171,29.483103851176477,36.42571961299991,False,,False,False
WillCa03,Caleb Williams,WinsJa00,Jameis Winston,comp,47.0,,4,2,2017,2015,3708.2385517345615,6.794535564391428,19.874800855751293,50.77616237413282,False,,False,False
WillCa03,Caleb Williams,WinsJa00,Jameis Winston,comp,47.0,,4,3,2018,2015,3326.2336535894965,6.457005153076689,19.74492956791099,58.29181313433536,False,,False,False
WillCa03,Caleb Williams,MurrKy00,Kyler Murray,comp,29.0,,4,0,2019,2019,4323.663925533533,5.605710631978438,20.649204780303727,52.28032904954237,True,2022.0,False,False
WillCa03,Caleb Williams,MurrKy00,Kyler Murray,comp,29.0,,4,1,2020,2019,4841.657853661309,6.501692054343353,26.670817989063707,60.704465466356616,True,2022.0,False,False
