player_id,player_name,similarity_score,year_1_Pass_ANY/A_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
CarrDa00,David Carr,0.19773646249497373,5.113436949480025,False,,2002,YounBr01,Bryce Young,4,Pass_ANY/A_adj,1,False
GabbBl00,Blaine Gabbert,0.22199147090594326,4.825086329530557,False,,2011,YounBr01,Bryce Young,4,Pass_ANY/A_adj,2,False
SancMa00,Mark Sanchez,0.4624440796507423,5.533994118470803,True,2012.0,2009,YounBr01,Bryce Young,4,Pass_ANY/A_adj,3,False
StafMa00,Matthew Stafford,0.59763071565538,5.904298557624983,False,,2009,YounBr01,Bryce Young,4,Pass_ANY/A_adj,4,False
MannEl00,Eli Manning,0.600868297041976,5.850962365591397,False,,2004,YounBr01,Bryce Young,4,Pass_ANY/A_adj,5,False
BollKy00,Kyle Boller,0.6025209272051762,4.332217653897411,False,,2003,YounBr01,Bryce Young,4,Pass_ANY/A_adj,6,False
AlleJo02,Josh Allen,0.6925127593467468,5.76731670425169,True,2021.0,2018,YounBr01,Bryce Young,4,Pass_ANY/A_adj,7,False
YounVi00,Vince Young,0.7696731040556795,4.584923913656088,False,,2006,YounBr01,Bryce Young,4,Pass_ANY/A_adj,8,False
BortBl00,Blake Bortles,0.8293156392533312,6.2009268089825325,True,2018.0,2014,YounBr01,Bryce Young,4,Pass_ANY/A_adj,9,False
BradSa00,Sam Bradford,0.8645719081623622,4.609095813069485,False,,2010,YounBr01,Bryce Young,4,Pass_ANY/A_adj,10,False
