player_id,player_name,similarity_score,year_3_Pass_ANY/A_adj,got_paid,payment_year,draft_year,target_qb_id,target_qb_name,decision_year,metric,comp_rank,is_projection
RamsPa00,Patrick Ramsey,0.9494936925232406,8.137306451612902,False,,2002,YounVi00,Vince Young,4,Pass_ANY/A_adj,1,False
GrosRe00,Rex Grossman,1.0364023908688196,5.403317143421906,False,,2003,YounVi00,Vince Young,4,Pass_ANY/A_adj,2,False
BollKy00,Kyle Boller,1.124687551025594,8.566487448112273,False,,2003,YounVi00,Vince Young,4,Pass_ANY/A_adj,3,False
FielJu00,Justin Fields,1.1348803726104564,5.86,False,,2021,YounVi00,Vince Young,4,Pass_ANY/A_adj,4,False
VickMi00,Michael Vick,1.2044603381203915,5.071610570788556,True,2004.0,2001,YounVi00,Vince Young,4,Pass_ANY/A_adj,5,False
JoneMa05,Mac Jones,1.2425098652524995,4.97,False,,2021,YounVi00,Vince Young,4,Pass_ANY/A_adj,6,False
DarnSa00,Sam Darnold,1.2965472441159895,4.376094280705599,False,,2018,YounVi00,Vince Young,4,Pass_ANY/A_adj,7,False
BortBl00,Blake Bortles,1.3389016358192734,6.297621769383697,True,2018.0,2014,YounVi00,Vince Young,4,Pass_ANY/A_adj,8,False
BradSa00,Sam Bradford,1.3633702712635989,6.236351742567642,False,,2010,YounVi00,Vince Young,4,Pass_ANY/A_adj,9,False
TrubMi00,Mitchell Trubisky,1.36482099792127,6.0480856319473055,False,,2017,YounVi00,Vince Young,4,Pass_ANY/A_adj,10,False
