name,draft_year,draft_team
Chad Pennington,2000,NYJ
Michael Vick,2001,ATL
David Carr,2002,HOU
Joey Harrington,2002,DET
Patrick Ramsey,2002,WAS
Carson Palmer,2003,CIN
Byron Leftwich,2003,JAX
Kyle Boller,2003,BAL
Rex Grossman,2003,CHI
Eli Manning,2004,NYG
Philip Rivers,2004,SDG
Ben Roethlisberger,2004,PIT
J.P. Losman,2004,BUF
Alex Smith,2005,SFO
Aaron Rodgers,2005,GNB
Jason Campbell,2005,WAS
Vince Young,2006,TEN
Matt Leinart,2006,ARI
Jay Cutler,2006,DEN
JaMarcus Russell,2007,OAK
Brady Quinn,2007,CLE
Matt Ryan,2008,ATL
Joe Flacco,2008,BAL
Matthew Stafford,2009,DET
Mark Sanchez,2009,NYJ
Josh Freeman,2009,TAM
Sam Bradford,2010,STL
Tim Tebow,2010,DEN
Cam Newton,2011,CAR
Jake Locker,2011,TEN
Blaine Gabbert,2011,JAX
Christian Ponder,2011,MIN
Andrew Luck,2012,IND
Robert Griffin III,2012,WAS
Ryan Tannehill,2012,MIA
Brandon Weeden,2012,CLE
EJ Manuel,2013,BUF
Blake Bortles,2014,JAX
Johnny Manziel,2014,CLE
Teddy Bridgewater,2014,MIN
Jameis Winston,2015,TAM
Marcus Mariota,2015,TEN
Jared Goff,2016,LAR
Carson Wentz,2016,PHI
Paxton Lynch,2016,DEN
Mitchell Trubisky,2017,CHI
Patrick Mahomes,2017,KAN
Deshaun Watson,2017,HOU
Baker Mayfield,2018,CLE
Sam Darnold,2018,NYJ
Josh Allen,2018,BUF
Josh Rosen,2018,ARI
Lamar Jackson,2018,BAL
Kyler Murray,2019,ARI
Daniel Jones,2019,NYG
Dwayne Haskins,2019,WAS
Joe Burrow,2020,CIN
Tua Tagovailoa,2020,MIA
Justin Herbert,2020,LAC
Jordan Love,2020,GNB
Trevor Lawrence,2021,JAX
Zach Wilson,2021,NYJ
Trey Lance,2021,SFO
Justin Fields,2021,CHI
Mac Jones,2021,NWE
Kenny Pickett,2022,PIT
Bryce Young,2023,CAR
C.J. Stroud,2023,HOU
Anthony Richardson,2023,IND
Caleb Williams,2024,CHI
Jayden Daniels,2024,WAS
Drake Maye,2024,NWE
Michael Penix,2024,ATL
J.J. McCarthy,2024,MIN
Bo Nix,2024,DEN
