name,draft_year,draft_team,pick_number
Chad Pennington,2000,NYJ,18
Michael Vick,2001,ATL,1
David Carr,2002,HOU,1
Joey Harrington,2002,DET,3
Patrick Ramsey,2002,WAS,32
Carson Palmer,2003,CIN,1
Byron Leftwich,2003,JAX,7
Kyle Boller,2003,BAL,19
Rex Grossman,2003,CHI,22
Eli Manning,2004,NYG,1
Philip Rivers,2004,SDG,4
Ben Roethlisberger,2004,PIT,11
J.P. Losman,2004,BUF,22
Alex Smith,2005,SFO,1
Aaron Rodgers,2005,GNB,24
Jason Campbell,2005,WAS,25
Vince Young,2006,TEN,3
Matt Leinart,2006,ARI,10
Jay Cutler,2006,DEN,11
JaMarcus Russell,2007,OAK,1
Brady Quinn,2007,CLE,22
Matt Ryan,2008,ATL,3
Joe Flacco,2008,BAL,18
Matthew Stafford,2009,DET,1
Mark Sanchez,2009,NYJ,5
Josh Freeman,2009,TAM,17
Sam Bradford,2010,STL,1
Tim Tebow,2010,DEN,25
Cam Newton,2011,CAR,1
Jake Locker,2011,TEN,8
Blaine Gabbert,2011,JAX,10
Christian Ponder,2011,MIN,12
Andrew Luck,2012,IND,1
Robert Griffin III,2012,WAS,2
Ryan Tannehill,2012,MIA,8
Brandon Weeden,2012,CLE,22
EJ Manuel,2013,BUF,16
Blake Bortles,2014,JAX,3
Johnny Manziel,2014,CLE,22
Teddy Bridgewater,2014,MIN,32
Jameis Winston,2015,TAM,1
Marcus Mariota,2015,TEN,2
Jared Goff,2016,LAR,1
Carson Wentz,2016,PHI,2
Paxton Lynch,2016,DEN,26
Mitchell Trubisky,2017,CHI,2
Patrick Mahomes,2017,KAN,10
Deshaun Watson,2017,HOU,12
Baker Mayfield,2018,CLE,1
Sam Darnold,2018,NYJ,3
Josh Allen,2018,BUF,7
Josh Rosen,2018,ARI,10
Lamar Jackson,2018,BAL,32
Kyler Murray,2019,ARI,1
Daniel Jones,2019,NYG,6
Dwayne Haskins,2019,WAS,15
Joe Burrow,2020,CIN,1
Tua Tagovailoa,2020,MIA,5
Justin Herbert,2020,LAC,6
Jordan Love,2020,GNB,26
Trevor Lawrence,2021,JAX,1
Zach Wilson,2021,NYJ,2
Trey Lance,2021,SFO,3
Justin Fields,2021,CHI,11
Mac Jones,2021,NWE,15
Kenny Pickett,2022,PIT,20
Bryce Young,2023,CAR,1
C.J. Stroud,2023,HOU,2
Anthony Richardson,2023,IND,4
Caleb Williams,2024,CHI,1
Jayden Daniels,2024,WAS,2
Drake Maye,2024,NWE,3
Michael Penix,2024,ATL,8
J.J. McCarthy,2024,MIN,10
Bo Nix,2024,DEN,12
