Player,Team,Year,Years,,Value,APY,Guaranteed,,APY as % Of,,Inflated,Inflated,Inflated
,,Signed,,,,,,,Cap At Signing,,Value,APY,Guaranteed
Joe Burrow,Bengals,2023,5,,"$275,000,000 ","$55,000,000 ","$146,510,000 ",,24.50%,,"$341,548,043 ","$68,309,609 ","$181,964,377 "
Aaron Rodgers,NYJ/GB,2022,3,,"$150,815,000 ","$50,271,667 ","$101,415,000 ",,24.10%,,"$202,245,668 ","$67,415,223 ","$135,999,366 "
Josh Allen,Bills,2021,6,,"$258,000,000 ","$43,000,000 ","$100,000,000 ",,23.60%,,"$394,704,658 ","$65,784,110 ","$152,986,301 "
Russell Wilson,Broncos,2022,5,,"$245,000,000 ","$49,000,000 ","$124,000,000 ",,23.50%,,"$328,549,472 ","$65,709,894 ","$166,286,263 "
Dak Prescott,Cowboys,2024,4,,"$240,000,000 ","$60,000,000 ","$129,000,000 ",,23.50%,,"$262,364,918 ","$65,591,229 ","$141,021,143 "
Justin Herbert,Chargers,2023,5,,"$262,500,000 ","$52,500,000 ","$133,738,375 ",,23.40%,,"$326,023,132 ","$65,204,626 ","$166,102,110 "
Lamar Jackson,Ravens,2023,5,,"$260,000,000 ","$52,000,000 ","$135,000,000 ",,23.10%,,"$322,918,149 ","$64,583,630 ","$167,669,039 "
Patrick Mahomes,Chiefs,2020,10,,"$450,000,000 ","$45,000,000 ","$63,081,905 ",,22.70%,,"$633,905,146 ","$63,390,515 ","$88,862,098 "
Jalen Hurts,Eagles,2023,5,,"$255,000,000 ","$51,000,000 ","$110,000,000 ",,22.70%,,"$316,708,185 ","$63,341,637 ","$136,619,217 "
Kyler Murray,Cardinals,2022,5,,"$230,500,000 ","$46,100,000 ","$103,300,000 ",,22.10%,,"$309,104,707 ","$61,820,941 ","$138,527,185 "
Deshaun Watson,Browns,2022,5,,"$230,000,000 ","$46,000,000 ","$230,000,000 ",,22.10%,,"$308,434,198 ","$61,686,840 ","$308,434,198 "
Dak Prescott,Cowboys,2021,4,,"$160,000,000 ","$40,000,000 ","$95,000,000 ",,21.90%,,"$244,778,082 ","$61,194,521 ","$145,336,986 "
Trevor Lawrence,Jaguars,2024,5,,"$275,000,000 ","$55,000,000 ","$142,000,000 ",,21.50%,,"$300,626,468 ","$60,125,294 ","$155,232,576 "
Jordan Love,Packers,2024,4,,"$220,000,000 ","$55,000,000 ","$100,800,000 ",,21.50%,,"$240,501,175 ","$60,125,294 ","$110,193,265 "
Tua Tagovailoa,Dolphins,2024,4,,"$212,400,000 ","$53,100,000 ","$93,171,000 ",,20.80%,,"$232,192,952 ","$58,048,238 ","$101,853,341 "
Jared Goff,Lions,2024,4,,"$212,000,000 ","$53,000,000 ","$113,611,832 ",,20.80%,,"$231,755,677 ","$57,938,919 ","$124,198,996 "
Josh Allen,Bills,2025,6,,"$330,000,000 ","$55,000,000 ","$147,000,000 ",,19.70%,,"$330,000,000 ","$55,000,000 ","$147,000,000 "
Deshaun Watson,Texans,2020,4,,"$156,000,000 ","$39,000,000 ","$74,894,247 ",,19.70%,,"$219,753,784 ","$54,938,446 ","$105,501,886 "
Derek Carr,Raiders,2022,3,,"$121,422,481 ","$40,474,160 ","$24,900,000 ",,19.40%,,"$162,829,763 ","$54,276,587 ","$33,391,354 "
Matt Stafford,Rams,2022,4,,"$160,000,000 ","$40,000,000 ","$63,000,000 ",,19.20%,,"$214,562,920 ","$53,640,730 ","$84,484,150 "
Brett Favre,Packers,1997,5,,"$39,350,000 ","$7,870,000 ","$12,000,000 ",,19.00%,,"$265,029,189 ","$53,005,838 ","$80,822,116 "
Brock Purdy,49ers,2025,5,,"$265,000,000 ","$53,000,000 ","$100,000,000 ",,19.00%,,"$265,000,000 ","$53,000,000 ","$100,000,000 "
Carson Palmer,Bengals,2005,6,,"$97,000,000 ","$16,166,667 ","$24,000,000 ",,18.90%,,"$316,753,216 ","$52,792,204 ","$78,371,930 "
Aaron Rodgers,Packers,2018,4,,"$134,000,000 ","$33,500,000 ","$78,700,000 ",,18.90%,,"$211,133,183 ","$52,783,296 ","$124,001,354 "
Troy Aikman,Cowboys,1999,6,,"$64,500,000 ","$10,750,000 ","$13,000,000 ",,18.80%,,"$314,348,555 ","$52,391,426 ","$63,357,073 "
Russell Wilson,SEA/DEN,2019,4,,"$140,000,000 ","$35,000,000 ","$70,000,000 ",,18.60%,,"$207,693,943 ","$51,923,486 ","$103,846,971 "
Mark Brunell,Jaguars,1997,4,,"$30,500,000 ","$7,625,000 ","$10,000,000 ",,18.40%,,"$205,422,878 ","$51,355,720 ","$67,351,763 "
Drew Bledsoe,Patriots,1995,6,,"$40,462,500 ","$6,743,750 ","$12,900,000 ",,18.20%,,"$304,504,852 ","$50,750,809 ","$97,080,323 "
Steve Young,49ers,1997,6,,"$45,000,000 ","$7,500,000 ",$0 ,,18.10%,,"$303,082,935 ","$50,513,823 ",$0 
Ben Roethlisberger,Steelers,2019,2,,"$68,000,000 ","$34,000,000 ","$37,500,000 ",,18.10%,,"$100,879,915 ","$50,439,957 ","$55,632,306 "
Aaron Rodgers,Packers,2013,5,,"$110,000,000 ","$22,000,000 ","$54,000,000 ",,17.90%,,"$249,691,057 ","$49,938,211 ","$122,575,610 "
Jared Goff,LAR/DET,2019,4,,"$134,000,000 ","$33,500,000 ","$57,042,682 ",,17.80%,,"$198,792,774 ","$49,698,193 ","$84,624,425 "
Daniel Jones,Giants,2023,4,,"$160,000,000 ","$40,000,000 ","$81,000,000 ",,17.80%,,"$198,718,861 ","$49,679,715 ","$100,601,423 "
Kirk Cousins,Falcons,2024,4,,"$180,000,000 ","$45,000,000 ","$90,000,000 ",,17.60%,,"$196,773,688 ","$49,193,422 ","$98,386,844 "
Peyton Manning,Colts,2004,7,,"$98,000,000 ","$14,000,000 ","$34,500,000 ",,17.40%,,"$339,549,775 ","$48,507,111 ","$119,535,380 "
Brett Favre,GB/NYJ,2001,7,,"$80,600,000 ","$11,514,286 ","$11,000,000 ",,17.10%,,"$333,855,352 ","$47,693,623 ","$45,563,386 "
Carson Wentz,PHI/WAS/IND,2019,4,,"$128,000,000 ","$32,000,000 ","$66,470,683 ",,17.00%,,"$189,891,605 ","$47,472,901 ","$98,611,130 "
Matt Ryan,ATL/IND,2018,5,,"$150,000,000 ","$30,000,000 ","$94,500,000 ",,16.90%,,"$236,343,115 ","$47,268,623 ","$148,896,163 "
Matt Ryan,Falcons,2013,5,,"$103,750,000 ","$20,750,000 ","$42,000,000 ",,16.90%,,"$235,504,065 ","$47,100,813 ","$95,336,585 "
Kirk Cousins,Vikings,2022,1,,"$35,000,000 ","$35,000,000 ","$70,000,000 ",,16.80%,,"$46,935,639 ","$46,935,639 ","$93,871,278 "
Derek Carr,Saints,2023,4,,"$150,000,000 ","$37,500,000 ","$60,000,000 ",,16.70%,,"$186,298,932 ","$46,574,733 ","$74,519,573 "
Aaron Rodgers,Jets,2023,3,,"$112,500,000 ","$37,500,000 ","$75,000,000 ",,16.70%,,"$139,724,199 ","$46,574,733 ","$93,149,466 "
Kirk Cousins,Vikings,2020,2,,"$66,000,000 ","$33,000,000 ","$61,000,000 ",,16.60%,,"$92,972,755 ","$46,486,377 ","$85,929,364 "
Drew Brees,Saints,2012,5,,"$100,000,000 ","$20,000,000 ","$40,000,000 ",,16.60%,,"$231,509,121 ","$46,301,824 ","$92,603,648 "
Joe Flacco,Ravens,2013,6,,"$120,600,000 ","$20,100,000 ","$51,000,000 ",,16.30%,,"$273,752,195 ","$45,625,366 ","$115,765,854 "
Matt Stafford,DET/LAR,2017,5,,"$135,000,000 ","$27,000,000 ","$60,500,000 ",,16.20%,,"$225,700,599 ","$45,140,120 ","$101,147,305 "
Michael Vick,Falcons,2004,7,,"$91,000,000 ","$13,000,000 ","$30,000,000 ",,16.10%,,"$315,296,220 ","$45,042,317 ","$103,943,809 "
Peyton Manning,Broncos,2012,5,,"$96,000,000 ","$19,200,000 ","$18,000,000 ",,15.90%,,"$222,248,756 ","$44,449,751 ","$41,671,642 "
Dak Prescott,Cowboys,2020,1,,"$31,409,000 ","$31,409,000 ","$31,409,000 ",,15.80%,,"$44,245,171 ","$44,245,171 ","$44,245,171 "
Andrew Luck,Colts,2016,5,,"$122,970,000 ","$24,594,000 ","$47,000,000 ",,15.80%,,"$221,119,495 ","$44,223,899 ","$84,513,428 "
Kirk Cousins,Vikings,2018,3,,"$84,000,000 ","$28,000,000 ","$84,000,000 ",,15.80%,,"$132,352,144 ","$44,117,381 ","$132,352,144 "
Dan Marino,Dolphins,1996,2,,"$12,850,000 ","$6,425,000 ","$5,800,000 ",,15.80%,,"$88,035,727 ","$44,017,864 ","$39,735,970 "
Drew Bledsoe,NE/BUF,2001,9,,"$95,400,000 ","$10,600,000 ","$8,000,000 ",,15.70%,,"$395,158,816 ","$43,906,535 ","$33,137,008 "
Steve Young,49ers,1998,6,,"$49,175,000 ","$8,195,833 ","$7,500,000 ",,15.60%,,"$262,076,430 ","$43,679,403 ","$39,970,986 "
Drew Brees,Saints,2016,1,,"$24,250,000 ","$24,250,000 ","$24,250,000 ",,15.60%,,"$43,605,333 ","$43,605,333 ","$43,605,333 "
Jimmy Garoppolo,49ers,2018,5,,"$137,500,000 ","$27,500,000 ","$48,700,000 ",,15.50%,,"$216,647,856 ","$43,329,571 ","$76,732,731 "
Russell Wilson,Seahawks,2015,4,,"$87,600,000 ","$21,900,000 ","$31,700,000 ",,15.30%,,"$170,700,168 ","$42,675,042 ","$61,771,636 "
Ben Roethlisberger,Steelers,2015,4,,"$87,400,000 ","$21,850,000 ","$34,250,000 ",,15.20%,,"$170,310,441 ","$42,577,610 ","$66,740,648 "
Derek Carr,Raiders,2017,5,,"$125,025,000 ","$25,005,000 ","$40,000,000 ",,15.00%,,"$209,023,832 ","$41,804,766 ","$66,874,251 "
Peyton Manning,Colts,2011,5,,"$90,000,000 ","$18,000,000 ","$20,000,000 ",,15.00%,,"$208,747,664 ","$41,749,533 ","$46,388,370 "
Ryan Tannehill,Titans,2020,4,,"$118,000,000 ","$29,500,000 ","$62,000,000 ",,14.90%,,"$166,224,016 ","$41,556,004 ","$87,338,042 "
Jacoby Brissett,Colts,2019,1,,"$27,975,000 ","$27,975,000 ","$20,000,000 ",,14.90%,,"$41,501,700 ","$41,501,700 ","$29,670,563 "
Peyton Manning,Colts,1998,6,,"$46,314,000 ","$7,719,000 ","$11,600,000 ",,14.70%,,"$246,828,831 ","$41,138,139 ","$61,821,791 "
Eli Manning,Giants,2015,4,,"$84,000,000 ","$21,000,000 ","$36,500,000 ",,14.70%,,"$163,685,092 ","$40,921,273 ","$71,125,070 "
Tony Romo,Cowboys,2013,6,,"$108,000,000 ","$18,000,000 ","$40,000,000 ",,14.60%,,"$245,151,220 ","$40,858,537 ","$90,796,748 "
Philip Rivers,Chargers,2015,4,,"$83,250,000 ","$20,812,500 ","$37,500,000 ",,14.50%,,"$162,223,618 ","$40,555,905 ","$73,073,702 "
Cam Newton,Panthers,2015,5,,"$103,800,000 ","$20,760,000 ","$41,000,000 ",,14.50%,,"$202,268,007 ","$40,453,601 ","$79,893,914 "
