year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
1,0.0,1.5296367112810707,0.02028005115674226,0.02028005115674226,0.02028005115674226,5,5,5,#050505
1,108.35349894597293,6.8833652007648185,0.030788823078176767,0.030788823078176767,0.030788823078176767,7,7,7,#070707
1,216.70699789194586,10.707456978967494,0.04135198925379469,0.04135198925379469,0.04135198925379469,10,10,10,#0a0a0a
1,325.0604968379188,14.913957934990439,0.056953343248364666,0.056953343248364666,0.056953343248364666,14,14,14,#0e0e0e
1,433.4139957838917,16.634799235181642,0.06481446971677907,0.06481446971677907,0.06481446971677907,16,16,16,#101010
1,541.7674947298647,18.164435946462714,0.07263871883316093,0.07263871883316093,0.07263871883316093,18,18,18,#121212
1,650.1209936758376,20.45889101338432,0.0860152941329937,0.0860152941329937,0.0860152941329937,21,21,21,#151515
1,758.4744926218106,21.797323135755256,0.09481479135648069,0.09481479135648069,0.09481479135648069,24,24,24,#181818
1,866.8279915677834,23.135755258126196,0.10441165355240582,0.10441165355240582,0.10441165355240582,26,26,26,#1a1a1a
1,975.1814905137563,26.195028680688335,0.12961155004400937,0.12961155004400937,0.12961155004400937,33,33,33,#212121
1,1083.5349894597293,27.151051625239006,0.13848673960096142,0.13848673960096142,0.13848673960096142,35,35,35,#232323
1,1191.8884884057022,29.44550669216061,0.16187274202608554,0.16187274202608554,0.16187274202608554,41,41,41,#292929
1,1300.241987351675,30.97514340344168,0.17916888521462096,0.17916888521462096,0.17916888521462096,45,45,45,#2d2d2d
1,1408.595486297648,33.07839388145315,0.2052614778548451,0.2052614778548451,0.2052614778548451,52,52,52,#343434
1,1516.948985243621,35.18164435946463,0.2340703791061944,0.2340703791061944,0.2340703791061944,59,59,59,#3b3b3b
1,1625.302484189594,35.75525812619503,0.2423976012313194,0.2423976012313194,0.2423976012313194,61,61,61,#3d3d3d
1,1733.6559831355669,36.32887189292543,0.2509240176666808,0.2509240176666808,0.2509240176666808,63,63,63,#3f3f3f
1,1842.0094820815398,37.66730401529637,0.27158106249002606,0.27158106249002606,0.27158106249002606,69,69,69,#454545
1,1950.3629810275127,39.19694072657744,0.2964532610048289,0.2964532610048289,0.2964532610048289,75,75,75,#4b4b4b
