years_since_draft,n_paid,n_qbs,pct_got_paid,metric_bin_min,metric_bin_max,metric_bin_mid
0.0,2,5,40.0,-11.725999999999999,106.802,47.538000000000004
0.0,1,3,33.33333333333333,1122.751,1235.634,1179.1925
0.0,3,3,100.0,1912.933,2025.816,1969.3745
0.0,1,4,25.0,2364.466,2477.349,2420.9075000000003
0.0,2,3,66.66666666666666,2815.998,2928.881,2872.4395
0.0,0,4,0.0,3041.765,3154.648,3098.2065000000002
0.0,2,4,50.0,3606.18,3719.064,3662.622
1.0,1,3,33.33333333333333,558.335,671.218,614.7764999999999
1.0,1,3,33.33333333333333,1461.4,1574.283,1517.8415
1.0,0,3,0.0,2251.582,2364.466,2308.024
1.0,2,5,40.0,3041.765,3154.648,3098.2065000000002
1.0,1,4,25.0,3831.947,3944.83,3888.3885
1.0,0,3,0.0,3944.83,4057.713,4001.2715
1.0,2,3,66.66666666666666,4283.48,4396.363,4339.9215
1.0,4,4,100.0,4735.012,4847.895,4791.4535
2.0,1,5,20.0,219.685,332.568,276.12649999999996
2.0,1,3,33.33333333333333,3267.531,3380.414,3323.9725
2.0,2,5,40.0,3606.18,3719.064,3662.622
2.0,2,3,66.66666666666666,3719.064,3831.947,3775.5055
2.0,1,4,25.0,3944.83,4057.713,4001.2715
2.0,3,3,100.0,4283.48,4396.363,4339.9215
2.0,1,3,33.33333333333333,4847.895,4960.779,4904.337
3.0,0,3,0.0,-11.725999999999999,106.802,47.538000000000004
3.0,0,3,0.0,219.685,332.568,276.12649999999996
3.0,0,3,0.0,1009.867,1122.751,1066.309
3.0,1,3,33.33333333333333,2928.881,3041.765,2985.323
3.0,1,4,25.0,3267.531,3380.414,3323.9725
3.0,4,4,100.0,4396.363,4509.246,4452.8045
4.0,0,3,0.0,106.802,219.685,163.2435
4.0,0,5,0.0,784.101,896.984,840.5425
4.0,0,6,0.0,896.984,1009.867,953.4255
4.0,0,11,0.0,1348.517,1461.4,1404.9585000000002
4.0,0,6,0.0,2138.699,2251.582,2195.1405
4.0,0,4,0.0,2251.582,2364.466,2308.024
5.0,2,5,40.0,-11.725999999999999,106.802,47.538000000000004
5.0,0,5,0.0,219.685,332.568,276.12649999999996
5.0,1,3,33.33333333333333,1235.634,1348.517,1292.0755
5.0,3,4,75.0,4396.363,4509.246,4452.8045
6.0,1,6,16.666666666666664,-11.725999999999999,106.802,47.538000000000004
6.0,0,3,0.0,106.802,219.685,163.2435
6.0,2,3,66.66666666666666,1235.634,1348.517,1292.0755
6.0,2,4,50.0,4509.246,4622.129,4565.6875
