player_id,player_name,year
AlleJo02,Josh Allen,2018
BollKy00,Kyle Boller,2003
BortBl00,Blake Bortles,2014
BradSa00,Sam Bradford,2010
BridTe00,Teddy Bridgewater,2014
BurrJo01,Joe Burrow,2020
CampJa00,Jason Campbell,2006
CarrDa00,David Carr,2002
CutlJa00,Jay Cutler,2006
DaniJa02,Jayden Daniels,2024
DarnSa00,Sam Darnold,2018
FielJu00,Justin Fields,2021
FlacJo00,Joe Flacco,2008
FreeJo00,Josh Freeman,2009
GabbBl00,Blaine Gabbert,2011
GoffJa00,Jared Goff,2016
GrifRo01,Robert Griffin III,2012
GrosRe00,Rex Grossman,2003
HarrJo00,Joey Harrington,2002
HaskDw00,Dwayne Haskins,2019
HerbJu00,Justin Herbert,2020
JackLa00,Lamar Jackson,2018
JoneDa05,Daniel Jones,2019
JoneMa05,Mac Jones,2021
LancTr00,Trey Lance,2021
LawrTr00,Trevor Lawrence,2021
LeftBy00,Byron Leftwich,2003
LeinMa00,Matt Leinart,2006
LockJa00,Jake Locker,2011
LosmJ.00,J.P. Losman,2004
LoveJo03,Jordan Love,2021
LuckAn00,Andrew Luck,2012
LyncPa00,Paxton Lynch,2016
MahoPa00,Patrick Mahomes,2017
MannEl00,Eli Manning,2004
ManuEJ00,EJ Manuel,2013
ManzJo00,Johnny Manziel,2014
MariMa01,Marcus Mariota,2015
MayeDr00,Drake Maye,2024
MayfBa00,Baker Mayfield,2018
MurrKy00,Kyler Murray,2019
NewtCa00,Cam Newton,2011
NixxBo00,Bo Nix,2024
PalmCa00,Carson Palmer,2004
PeniMi00,Michael Penix,2024
PennCh01,Chad Pennington,2000
PickKe00,Kenny Pickett,2022
PondCh00,Christian Ponder,2011
QuinBr00,Brady Quinn,2007
RamsPa00,Patrick Ramsey,2002
RichAn03,Anthony Richardson,2023
RivePh00,Philip Rivers,2004
RodgAa00,Aaron Rodgers,2005
RoetBe00,Ben Roethlisberger,2004
RoseJo01,Josh Rosen,2018
RussJa00,JaMarcus Russell,2007
RyanMa00,Matt Ryan,2008
SancMa00,Mark Sanchez,2009
StafMa00,Matthew Stafford,2009
StroCJ00,C.J. Stroud,2023
TagoTu00,Tua Tagovailoa,2020
TannRy00,Ryan Tannehill,2012
TeboTi00,Tim Tebow,2010
TrubMi00,Mitchell Trubisky,2017
VickMi00,Michael Vick,2001
WatsDe00,Deshaun Watson,2017
WeedBr00,Brandon Weeden,2012
WentCa00,Carson Wentz,2016
WillCa03,Caleb Williams,2024
WilsZa00,Zach Wilson,2021
WinsJa00,Jameis Winston,2015
YounBr01,Bryce Young,2023
YounVi00,Vince Young,2006
