Variable,Ridge_Coefficient,Abs_Coefficient
Pass_ANY/A,1.1562576824441786,1.1562576824441786
Pass_TD,1.0440162587764452,1.0440162587764452
total_yards,-0.9935767944659063,0.9935767944659063
Pass_GWD,0.7760047984922733,0.7760047984922733
Rush_Rushing_Succ%,-0.6164102211246396,0.6164102211246396
Rush_Rushing_Yds,0.6046760384848945,0.6046760384848945
Rush_Rushing_TD,0.25044189486922,0.25044189486922
Pass_Sk%,-0.21865856225477578,0.21865856225477578
Pass_Int%,-0.0505215591321684,0.0505215591321684
Pass_4QC,-0.04142946575084961,0.04142946575084961
